source	interaction	target
RAF1	PPI>	IL2RB
MYC	PPI>	MAPK8
AKT1	PPI>	TSC1
PPARG	PPI>	NCOA6
CDKN1B	PPI>	XPO1
PRKCI	PPI>	YWHAZ
ESR1	PPI>	JUND
RAF1	PPI>	JAK1
MAPK8	PPI>	IKBKAP
PRKDC	PPI>	MAPK8
IKBKB	PPI>	HSP90AA1
SMAD4	PPI>	ATF2
MAPK8	PPI>	BAD
SMAD4	PPI>	SMAD2
MAP3K8	PPI>	CHUK
IKBKB	PPI>	CASP8
RAF1	PPI>	PEBP1
NR4A1	PPI>	MAPK1
ATR	PPI>	TP53
SMAD2	PPI>	SMAD4
MAPK1	PPI>	ESR1
MAPK1	PPI>	HSP90AA1
MTOR	PPI>	PDPK1
NRAS	PPI>	SMAD4
TP53	PPI>	CHUK
FOXO1	PPI>	SMAD3
PHB	PPI>	RB1
SPIB	PPI>	MAPK3
PPARG	PPI>	MAPK1
FLT1	PPI>	STAT3
MAPK1	PPI>	RPS6KA3
MYC	PPI>	TBP
BRAF	PPI>	AKT1
MAPK14	PPI>	MAPK8
TP73	PPI>	CABLES1
RB1	PPI>	MAPK1
XPO1	PPI>	FOXO4
STAT3	PPI>	NR3C1
STAT1	PPI>	RELA
NR3C1	PPI>	HSP90AA1
ELK1	PPI>	MAPK3
SMAD2	PPI>	MYC
SMAD2	PPI>	RHEBL1
BRAF	PPI>	RAF1
CHUK	PPI>	RELA
COPS3	PPI>	COPS5
HSP90AA1	PPI>	CHUK
RAB3D	PPI>	AKT1
SMAD3	PPI>	JUNB
RAF1	PPI>	NR3C1
BRAF	PPI>	YWHAZ
STAT1	PPI>	MAPK14
RB1	PPI>	MYC
ELK1	PPI>	MAPK14
MAPK9	PPI>	ELK1
STAT1	PPI>	AKT1
YWHAH	PPI>	TSC2
FOXO4	PPI>	AKT2
TP53	PPI>	PIAS1
TRIB3	PPI>	AKT1
ESR1	PPI>	NCOA6
SMAD3	PPI>	FOS
EEF2K	PPI>	RPS6KA1
MAPK8	PPI>	JDP2
NR3C1	PPI>	PRKDC
ESR1	PPI>	PIK3R3
ELK3	PPI>	MAPK14
TSC2	PPI>	AKT2
FOS	PPI>	RB1
ESR1	PPI>	PIAS1
MTOR	PPI>	RHEB
MAPK8IP1	PPI>	MAPK9
MAP3K5	PPI>	GADD45B
PDPK1	PPI>	PAK1
HSP90AA1	PPI>	EIF2AK2
CDK5	PPI>	PAK1
SMARCA4	PPI>	ESR1
MYC	PPI>	UBB
CDKN1B	PPI>	CDK5
BAD	PPI>	YWHAH
MAPK9	PPI>	MAPK8IP1
ESR1	PPI>	TP53
MEF2A	PPI>	SMAD4
SMAD4	PPI>	PBK
GATA2	PPI>	SPI1
CREB1	PPI>	NR3C1
ESR1	PPI>	COPS5
AKT2	PPI>	ESR1
MAPK1	PPI>	CASP9
CEBPB	PPI>	RB1
TSC22D3	PPI>	FOS
RPS6KA2	PPI>	MAPK3
NR3C1	PPI>	BAG1
AKT2	PPI>	TCL1A
AKT1	PPI>	ESR1
ESR1	PPI>	HSP90AB1
PRKCQ	PPI>	IKBKB
TP73	PPI>	MDM4
YBX1	PPI>	TP53
JAK1	PPI>	EIF2AK2
SMAD3	PPI>	KAT2B
SPAG9	PPI>	MYC
TP53	PPI>	TBP
SPIB	PPI>	CEBPB
CASP9	PPI>	MAPK1
PFKFB2	PPI>	YWHAZ
RAF1	PPI>	BAD
NR3C1	PPI>	MDM2
AKT1	PPI>	PPM1A
STAT5A	PPI>	MAPK1
HSP90AA1	PPI>	MAPK1
PDPK1	PPI>	YWHAH
RPS6KB1	PPI>	CSNK2B
PRKDC	PPI>	JUN
RAF1	PPI>	CDC25A
MAPK9	PPI>	ATF7
ESR1	PPI>	RELA
MAPK14	PPI>	ESR1
CASP9	PPI>	AKT1
SMAD2	PPI>	MAPK8
NR3C1	PPI>	CEBPB
TP53	PPI>	YWHAZ
FOXO1	PPI>	ESR1
SMAD2	PPI>	MEF2A
AKT2	PPI>	PDPK1
MTA2	PPI>	TP53
CHUK	PPI>	NR2C2
HSP90AA1	PPI>	MYC
ESR1	PPI>	TBP
MDM4	PPI>	CSNK1A1
TP53	PPI>	MAPK3
MDM4	PPI>	CHEK1
PDGFRA	PPI>	STAT3
MAPK14	PPI>	MAPK1
MYC	PPI>	CEBPB
TP53	PPI>	ABL1
MAP2K4	PPI>	AKT1
AKT1	PPI>	MAP3K8
MYC	PPI>	GSK3B
RHEBL1	PPI>	AKT1
AKT1	PPI>	AKT1S1
FOXG1	PPI>	FOXO3
HSP90AA1	PPI>	RAF1
TP53	PPI>	TP73
FOXO1	PPI>	FOXG1
AKT1	PPI>	NOS3
PAK1	PPI>	FOXO1
PXN	PPI>	MAPK1
MAPK1	PPI>	SMAD3
EIF4EBP1	PPI>	RHEBL1
PDGFRA	PPI>	STAT5B
AKT1	PPI>	CDKN1A
SGK1	PPI>	FOXO3
YWHAZ	PPI>	CDC25B
RAF1	PPI>	TSC22D3
PXN	PPI>	ABL1
DAXX	PPI>	TP53
FOXG1	PPI>	SMAD4
RAF1	PPI>	KSR1
TP53	PPI>	GSK3B
AKT1	PPI>	TCL1A
CHUK	PPI>	PRKDC
BRAF	PPI>	MAP2K1
RB1	PPI>	CCND1
SMAD2	PPI>	RHOD
MAPK3	PPI>	MAP2K1
MAPK14	PPI>	NCOA3
JDP2	PPI>	MAPK9
SPIB	PPI>	TBP
YAP1	PPI>	ABL1
CDC25A	PPI>	YWHAZ
FOXO4	PPI>	SMAD3
AKT1	PPI>	TNFSF11
PIK3R3	PPI>	IRS1
YBX1	PPI>	GSK3B
ATF2	PPI>	SMAD3
RPS6KA4	PPI>	FOS
COPS5	PPI>	SMAD4
IKBKB	PPI>	CHUK
TP53	PPI>	PPP1CC
MDM2	PPI>	PIAS1
ABL1	PPI>	RB1
MAPK8	PPI>	PRKDC
MAPK14	PPI>	MAP2K1
MAPK3	PPI>	CEBPB
MAPK8	PPI>	HSF1
AKT1	PPI>	RHEBL1
PIN1	PPI>	NCOA3
TBP	PPI>	TP53
MAP2K1	PPI>	MAPK1
ESR1	PPI>	JUN
MAP2K4	PPI>	MAPK8
MDM2	PPI>	TP73
STAT3	PPI>	EIF2AK2
RAF1	PPI>	PPP1CC
BCL10	PPI>	CHUK
YBX1	PPI>	HABP4
CDKN1A	PPI>	RB1
RAF1	PPI>	BAG1
MAPK9	PPI>	JDP2
TERT	PPI>	HSP90AA1
GRB10	PPI>	MAP2K1
CFLAR	PPI>	IKBKB
CDK5	PPI>	MAP2K1
SMAD2	PPI>	AKT1
SMAD3	PPI>	ERBB2IP
AKT1	PPI>	TERT
MAPK13	PPI>	SMAD4
RB1	PPI>	ABL1
BRAF	PPI>	MAPK1
AKT1	PPI>	FOXO3
HSP90AB1	PPI>	ESR1
SPIB	PPI>	CSNK2A2
HSF1	PPI>	MAPK9
MDM2	PPI>	ESR1
MAPK3	PPI>	STAT5A
ESR1	PPI>	HSP90AA1
PRKCQ	PPI>	HABP4
CCND1	PPI>	RB1
MAPK10	PPI>	JUN
TP53	PPI>	SMAD3
MAPK9	PPI>	ELK3
CHUK	PPI>	HSP90AB1
TSC2	PPI>	CCND1
AKT1	PPI>	TRIB3
SMAD3	PPI>	RUNX2
PXN	PPI>	GSK3B
PAK1	PPI>	CDK5
AKT1	PPI>	GATA1
COPS2	PPI>	TP53
MAPK7	PPI>	MEF2A
EIF4EBP1	PPI>	MAPKAPK5
PHB	PPI>	TP53
PRKCZ	PPI>	MAPK1
JUN	PPI>	ABL1
KLF4	PPI>	TP53
MYC	PPI>	MAPK3
TP53	PPI>	MAPK8
PPARG	PPI>	GADD45B
NR3C1	PPI>	NCOA6
GSK3B	PPI>	CEBPA
PPARG	PPI>	NCOA3
IKBKAP	PPI>	IKBKB
SMAD3	PPI>	MAPK1
PRKDC	PPI>	TP53
JUND	PPI>	MAPK3
DUSP1	PPI>	UBB
MAP2K1	PPI>	PEBP1
SMAD3	PPI>	MAPK9
SMAD2	PPI>	TGM2
AKT1	PPI>	RAF1
RELA	PPI>	MYC
TP73	PPI>	TP53
YAP1	PPI>	TP73
MAPK14	PPI>	MAPKAPK5
MDM2	PPI>	COPS5
CDK5	PPI>	MAPK10
ATF2	PPI>	CEBPA
MAPK8	PPI>	MAPK8IP1
BRAF	PPI>	YWHAH
XIAP	PPI>	CHEK1
RB1	PPI>	NCOA6
PTPN1	PPI>	STAT5A
PAK1	PPI>	MAPK1
STAT5B	PPI>	NR3C1
FANCA	PPI>	IKBKB
MAP2K1	PPI>	MYC
JUN	PPI>	SMAD2
PAX2	PPI>	RB1
MAPK9	PPI>	JUND
GRB10	PPI>	BCR
HSF1	PPI>	SMARCA4
RAF1	PPI>	HSPA4
BAD	PPI>	RAF1
CHUK	PPI>	TP53
RPS6KB1	PPI>	MAPK9
AKT1	PPI>	GSK3A
ATF2	PPI>	MAPK14
AKT1	PPI>	SMAD4
RRAS2	PPI>	SMAD4
TBP	PPI>	ESR1
MAP2K1	PPI>	PRKCZ
MAPK1	PPI>	TP53
CASP9	PPI>	MAPK3
SMAD4	PPI>	ESR1
STAT3	PPI>	MAPK3
AKT1	PPI>	RAB3D
STAT5A	PPI>	MAPK3
COPS3	PPI>	COPS2
RB1	PPI>	MDM4
KRT10	PPI>	SMAD3
FOXO4	PPI>	ESR1
HSP90AA1	PPI>	CSNK2A2
TSC22D3	PPI>	NFKB1
MAPK3	PPI>	RPS6KA1
MAPK1	PPI>	NR3C1
GSK3B	PPI>	FOXO1
STAT3	PPI>	NFKB1
MAPK14	PPI>	CSNK2B
CASP9	PPI>	MAP2K1
PDPK1	PPI>	AKT1
YWHAZ	PPI>	RAF1
FOXO4	PPI>	YWHAZ
MDM2	PPI>	TP53
TP53	PPI>	MAPK1
MAP2K4	PPI>	MAPK14
NR3C1	PPI>	SMARCA4
RAF1	PPI>	PHB
CDK5	PPI>	TP53
PRKCZ	PPI>	IKBKB
WWOX	PPI>	UBB
TBP	PPI>	MYC
AKT2	PPI>	TSC2
JDP2	PPI>	JUN
MAPK14	PPI>	ATF2
ESR1	PPI>	FOXO4
TP53	PPI>	CHEK1
SMAD2	PPI>	COPS5
PRKCZ	PPI>	RELA
SPAG9	PPI>	NFKB1
RPS6KB1	PPI>	STK11
MAPK1	PPI>	PTPN1
SMAD2	PPI>	KAT2B
STAT5A	PPI>	ESR1
ESR1	PPI>	CDKN1A
TCL1A	PPI>	AKT1
MAP3K2	PPI>	NFKBIA
GSK3B	PPI>	AKT1
YAP1	PPI>	RUNX2
CCNG1	PPI>	TP53
GSK3B	PPI>	MYC
ACVR1	PPI>	RHEBL1
XIAP	PPI>	AKT2
SMAD3	PPI>	FOXO1
JUND	PPI>	ESR1
AKT1	PPI>	BAD
JUN	PPI>	ESR1
