V1	V2	fdrs
1	GSK-1059615_68	0.9328125	0.299515820290508
2	PD-0325901_92	0.9303705	0.299515820290508
3	GSK-1059615_60	0.2092448	1
4	GSK-1059615_63	0.9829632	0.0785173882637167
5	NVP-BEZ235_57	0.7766989	0.572599214411486
6	NVP-BEZ235_53	0.9998151	0.00896818653828
7	NVP-BEZ235_50	0.9541303	0.210813809584774
8	PD-0325901_81	0.9789892	0.0882658359293873
9	PD-0325901_84	0.9577795	0.20552094150225
10	GSK-2126458_34	0.9693432	0.17039554422732
11	WYE-125132_20	0.9995816	0.00896818653828
12	torin-1_8	0.9965815	0.00896818653828
13	PI-103_30	0.9839480	0.0785173882637167
14	torin-1_4	0.9998018	0.00896818653828
15	PI-103_35	0.9900381	0.036993769470405
16	trametinib_95	0.9146083	0.333804245453887
17	BRD-K94012289_15	0.9368352	0.288457746756576
18	GSK-1059615_33	0.9909716	0.036993769470405
19	AZD-8055_22	0.9991429	0.00896818653828
20	BRD-K94012289_10	0.9994155	0.00896818653828
21	GSK-2126458_29	0.9765412	0.09865005192108
22	GSK-2126458_26	0.9781511	0.0953059823644332
23	GSK-2126458_25	0.9778546	0.0953059823644332
24	BRD-K94012289_19	0.9960193	0.00896818653828
25	PI-103_41	0.9564604	0.20552094150225
26	PI-103_45	0.9908871	0.036993769470405
27	AZD-8055_14	0.9994330	0.00896818653828
28	BRD-A18328003_49	0.9960836	0.00896818653828
29	AZD-8055_18	0.9995737	0.00896818653828
30	sirolimus_7	0.9991325	0.00896818653828
31	selumetinib_85	0.9866841	0.0721829648203024
32	sirolimus_3	0.9426817	0.250419362568895
33	torin-1_13	0.9979302	0.00896818653828
34	BRD-K94012289_96	0.9102802	0.346976044687936
35	selumetinib_88	0.9522950	0.21596362717858
36	AZD-8055_1	0.9992710	0.00896818653828
37	AZD-8055_5	0.9679844	0.175854440381056
38	AZD-8055_9	0.9966486	0.00896818653828
39	AS-605240_90	0.9701668	0.17039554422732
40	AZD-6482_74	0.9923079	0.0319946114338638
41	AZD-6482_77	0.9801038	0.0845571873609257
42	WYE-125132_2	0.5006704	0.868756908853382
43	buparlisib_76	0.9212840	0.320322521531977
44	buparlisib_70	0.9814080	0.0845571873609257
45	WYE-125132_6	0.9996753	0.00896818653828
46	buparlisib_73	0.2590195	1
47	BRD-A18328003_52	0.9976765	0.00896818653828
48	BRD-K29395450_67	0.9836459	0.0785173882637167
49	BRD-A18328003_55	0.9985093	0.00896818653828
50	GSK-2126458_40	0.9720655	0.159719131681749
51	BRD-A18328003_59	0.9827047	0.0845571873609257
52	torin-2_65	0.8614729	0.454014443500425
53	selumetinib_94	0.9690678	0.17039554422732
54	ZSTK-474_36	0.9928622	0.0174088326919553
55	BRD-A18328003_66	0.9997709	0.00896818653828
56	BRD-A18328003_62	0.9997216	0.00896818653828
57	torin-1_37	0.9989887	0.00896818653828
58	GDC-0941_27	0.9676357	0.175854440381056
59	WYE-125132_46	0.9991326	0.00896818653828
60	PD-0325901_79	0.9450769	0.234454019500748
61	PD-184352_93	0.9806017	0.0845571873609257
62	GDC-0941_38	0.9674139	0.175854440381056
63	GDC-0941_32	0.8264722	0.506403599861544
64	sirolimus_12	0.9667517	0.177570093457944
65	sirolimus_17	0.9990138	0.00896818653828
66	torin-2_51	0.9984086	0.00896818653828
67	torin-2_54	0.9981666	0.00896818653828
68	GSK-1059615_44	0.9804264	0.0845571873609257
69	torin-2_58	0.9921907	0.0319946114338638
70	BRD-K94012289_23	0.9993696	0.00896818653828
71	PD-184352_87	0.9832839	0.0785173882637167
72	BRD-K54997624_72	0.9804264	0.0845571873609257
73	BRD-K54997624_71	0.9762998	0.101884479852919
74	trametinib_89	0.9829020	0.0785173882637167
75	BRD-K54997624_75	0.8342815	0.49546711470475
76	trametinib_86	0.9843013	0.0757081793812939
77	BRD-K54997624_78	0.9294489	0.299515820290508
78	trametinib_82	0.9986672	0.00896818653828
79	AZD-8330_91	0.9311686	0.299515820290508
80	sirolimus_24	0.9994035	0.00896818653828
81	ZSTK-474_47	0.9500088	0.217030114226376
82	ZSTK-474_42	0.9927276	0.0253671562082777
83	sirolimus_21	0.9993339	0.00896818653828
84	GDC-0941_43	0.9939764	0.00896818653828
85	GSK-1059615_56	0.9810025	0.0845571873609257
86	NVP-BEZ235_69	0.9989887	0.00896818653828
87	NVP-BEZ235_61	0.8138011	0.513847523193318
88	NVP-BEZ235_64	0.9962938	0.00896818653828
89	WYE-125132_16	0.9732081	0.152748467490704
90	GSK-1059615_39	0.9843843	0.0757081793812939
91	SAR-245408_97	0.9227549	0.320322521531977
92	torin-1_48	0.9960892	0.00896818653828
93	WYE-125132_11	0.9999511	0.00896818653828
94	AZD-8330_83	0.9490062	0.22196261682243
95	AZD-8330_80	0.9829340	0.0785173882637167
