source	interaction	target
PIK3R2	PPI>	FYN
PIK3R1	PPI>	SRC
IGF1R	PPI>	JAK2
GHR	PPI>	PTPN11
GRB2	PPI>	PDGFRB
IRS1	PPI>	GHR
JAK1	PPI>	PTPN2
PTPN11	PPI>	JAK1
GRB2	PPI>	IL2RB
LCK	PPI>	STAT1
CRK	PPI>	FLT1
MTOR	PPI>	AKT1
CRK	PPI>	MAPK8
AKT1	PPI>	SRC
MTOR	PPI>	PDPK1
SRC	PPI>	PTPN11
EGFR	PPI>	FER
IFNAR1	PPI>	LCK
FLT1	PPI>	STAT3
AKT1S1	PPI>	AKT1
SYK	PPI>	MAPK3
GHR	PPI>	JAK1
PIK3R1	PPI>	TYK2
LCK	PPI>	STAT5A
FYN	PPI>	PTPN11
SOCS1	PPI>	JAK2
SHC1	PPI>	SYK
SHC1	PPI>	CSF2RB
IFNAR1	PPI>	MAPK1
SRC	PPI>	IGF1R
TERT	PPI>	AKT1
FES	PPI>	CSF2RB
JAK1	PPI>	PDGFRB
PIK3R1	PPI>	EGFR
YWHAB	PPI>	FER
JAK2	PPI>	STAT1
STAT5A	PPI>	STAT3
PIK3R2	PPI>	IRS1
IL2RB	PPI>	STAT5A
PTK2B	PPI>	FLT1
FES	PPI>	JAK3
YWHAG	PPI>	SRC
FYN	PPI>	FLT1
LCK	PPI>	PTK2B
JAK1	PPI>	ELP2
PIK3R2	PPI>	SYK
JAK2	PPI>	PDGFRB
FES	PPI>	STAT3
PRKCD	PPI>	PTK2B
MAPK3	PPI>	STAT3
YWHAB	PPI>	HSP90AB1
SHC1	PPI>	STAT5A
NFKBIA	PPI>	JAK2
FYN	PPI>	PRKCD
SRC	PPI>	STAP2
PTPN11	PPI>	STAT5A
PTPN11	PPI>	CSF3R
SRC	PPI>	EGFR
PRKCD	PPI>	SRC
PDPK1	PPI>	AKT2
RET	PPI>	STAT3
EGFR	PPI>	PDGFRB
PTPN11	PPI>	STAT1
PDGFRB	PPI>	SRC
PRKCD	PPI>	IGF1R
APPL1	PPI>	AKT1
PTPN11	PPI>	CXCR4
PDGFRB	PPI>	STAT1
JAK2	PPI>	HES1
SHC1	PPI>	SRC
PTPN11	PPI>	JAK2
PTPN11	PPI>	GHR
SOCS1	PPI>	JAK3
PIK3R1	PPI>	PDGFRA
CRK	PPI>	EGFR
PTK2	PPI>	LCK
GRB2	PPI>	FLT1
PIK3R2	PPI>	EGFR
JAK1	PPI>	PTPN11
IRS1	PPI>	FES
JAK2	PPI>	PTK2B
PIK3CA	PPI>	APPL1
PTPN11	PPI>	PDGFRB
SOCS1	PPI>	RELA
PIK3CA	PPI>	PIK3R1
SHC1	PPI>	PDGFRB
PTK2	PPI>	SYK
PRKCD	PPI>	RAC1
RPS6KB1	PPI>	MAPK3
JAK2	PPI>	CSF3R
SRC	PPI>	BMX
SHC1	PPI>	JAK2
RET	PPI>	MAPK8
JAK1	PPI>	CSF3R
SRC	PPI>	PDGFRB
SYK	PPI>	IL2RB
JAK2	PPI>	CXCR4
PDGFRA	PPI>	STAT3
PIK3R1	PPI>	IFNAR1
PRKCD	PPI>	MAPK3
PIK3R1	PPI>	AKT1
GRB2	PPI>	CSF3R
PIK3R1	PPI>	LCK
RHEBL1	PPI>	AKT1
HSP90AB1	PPI>	STAT3
CRK	PPI>	STAT5A
GAB2	PPI>	SYK
RPS6KA1	PPI>	MAPK1
FES	PPI>	JAK2
PIK3R1	PPI>	IL2RB
PIK3R3	PPI>	INSR
GAB2	PPI>	MAPK3
SRC	PPI>	STAT1
STAP2	PPI>	STAT3
APPL1	PPI>	AKT2
GRB2	PPI>	GHR
TYK2	PPI>	PDGFRB
CSF2RB	PPI>	STAT3
PTPN11	PPI>	EGFR
PIK3R1	PPI>	IGF1R
IL7R	PPI>	JAK1
YWHAB	PPI>	PRKCD
IL2RB	PPI>	JAK3
IRS2	PPI>	FES
IGF1R	PPI>	YWHAZ
HSP90AA1	PPI>	STAT3
IL2RB	PPI>	STAT3
LCK	PPI>	IL2RB
PIK3CA	PPI>	RPS6KB1
JAK3	PPI>	STAT5A
IRS1	PPI>	PRKCD
SYK	PPI>	JAK1
PDGFRB	PPI>	PTPN11
EGFR	PPI>	PRKCD
IL7R	PPI>	TSLP
HES5	PPI>	STAT3
MST1R	PPI>	YWHAZ
PIK3R1	PPI>	JAK1
GHR	PPI>	STAT3
IRS1	PPI>	JAK3
MTOR	PPI>	RHEBL1
JAK2	PPI>	PTPN11
RPS6KB1	PPI>	MAPK8
PIK3R1	PPI>	GRB2
IRS2	PPI>	JAK3
STAT1	PPI>	STAT3
PIK3CA	PPI>	LCK
RET	PPI>	MAPK1
PIK3CA	PPI>	IRS2
PTK2B	PPI>	JAK1
LEPR	PPI>	STAT3
TERT	PPI>	HSP90AA1
SOCS1	PPI>	PDGFRB
GRB2	PPI>	MAPK1
IL7R	PPI>	PTK2B
PDGFRB	PPI>	JAK1
PDGFRB	PPI>	STAT5A
AKT2	PPI>	FOXO4
PTK2	PPI>	SRC
PDPK1	PPI>	PRKCD
PIK3R1	PPI>	NFKBIA
RAC1	PPI>	STAT1
PDGFRA	PPI>	JAK1
SHC1	PPI>	PTPN11
JAK3	PPI>	IL7R
PRKCD	PPI>	LCK
PIK3R1	PPI>	PTK2B
INSR	PPI>	STAT5A
SHC1	PPI>	CSF3R
JAK2	PPI>	IL23R
JAK1	PPI>	GHR
PTK2	PPI>	STAT1
MTOR	PPI>	STAT3
