source	interaction	target
PIK3R2	PPI>	FYN
RAF1	PPI>	IL2RB
PTPN11	PPI>	CAV1
PIK3R1	PPI>	ERBB2
MST1R	PPI>	GRB2
KHDRBS1	PPI>	STUB1
IGF1R	PPI>	JAK2
GHR	PPI>	PTPN11
RAF1	PPI>	JAK1
AXL	PPI>	SHC1
SRC	PPI>	ESR1
SRC	PPI>	PTK2
SOCS1	PPI>	FYN
LCK	PPI>	STAT1
PTPN6	PPI>	PTPN11
CRK	PPI>	FLT1
SOS1	PPI>	SHC1
CRK	PPI>	MAPK8
SYK	PPI>	TNFRSF1A
MAPK1	PPI>	ESR1
CSF2RA	PPI>	CSF2RB
MTOR	PPI>	PDPK1
MAPK3	PPI>	DUSP3
SRC	PPI>	PTPN11
EGFR	PPI>	FER
TYK2	PPI>	IFNAR2
IRS2	PPI>	JAK3
SYK	PPI>	MAPK3
CRKL	PPI>	BCAR1
BRAF	PPI>	AKT1
GHR	PPI>	JAK1
IL6R	PPI>	STAT3
ESR1	PPI>	SRC
RB1	PPI>	MAPK1
EPOR	PPI>	GRB2
RASA1	PPI>	FES
CDH2	PPI>	PTPN1
IGF1R	PPI>	PTPN1
PIK3R2	PPI>	TGFBR1
BCAR1	PPI>	HCK
BCAR1	PPI>	FYN
CBL	PPI>	FYN
FES	PPI>	CSF2RB
HCK	PPI>	CSF2RB
LCK	PPI>	PTPN6
CRK	PPI>	SOS1
STAT3	PPI>	PDGFRB
TYK2	PPI>	STAT2
PIK3R2	PPI>	IRS1
IRS1	PPI>	GHR
SHC1	PPI>	ESR1
PIK3R1	PPI>	CSF2RA
EGFR	PPI>	CAMK2G
EIF2AK2	PPI>	STAT3
PTK2B	PPI>	FLT1
MAPK8	PPI>	SHC1
IL2RB	PPI>	GRB2
EPOR	PPI>	PTPN11
YWHAG	PPI>	PAK1
PIK3R1	PPI>	ARAF
SYK	PPI>	SHC1
YWHAG	PPI>	SRC
FYN	PPI>	FLT1
LCK	PPI>	PTK2B
JAK1	PPI>	ELP2
PIK3R2	PPI>	SYK
INSR	PPI>	CALM3
PIK3R1	PPI>	PTPN6
SYK	PPI>	RPS6KA1
PDPK1	PPI>	PAK1
PRKCD	PPI>	PTK2B
GAB1	PPI>	PDGFRB
ARHGAP1	PPI>	PTPN11
FYN	PPI>	PRKCD
PTPN11	PPI>	GRB2
RET	PPI>	STAT3
PTK2B	PPI>	PTK2
GRB2	PPI>	IL2RB
AKT2	PPI>	ESR1
KIT	PPI>	CSF2RB
PIK3R1	PPI>	PECAM1
IL7R	PPI>	STAT3
CD19	PPI>	SYK
YWHAB	PPI>	TSC2
JAK2	PPI>	PTPN6
GRB2	PPI>	KDR
PDGFRB	PPI>	STAT1
GRB10	PPI>	EGFR
PTPN11	PPI>	JAK2
PTPN11	PPI>	GHR
ERBB2	PPI>	IL6ST
SHC1	PPI>	ERBB2
EGFR	PPI>	CTNNB1
TYK2	PPI>	EIF2AK2
ARHGAP17	PPI>	LCK
ERBB2	PPI>	PAK1
PTK2	PPI>	LCK
GRB2	PPI>	FLT1
IFNAR1	PPI>	TYK2
EPOR	PPI>	JAK2
JAK1	PPI>	PTPN11
IGF1R	PPI>	PIK3R1
SRC	PPI>	IL6R
BCAR1	PPI>	LCK
TEC	PPI>	BMX
PIK3CA	PPI>	APPL1
CRKL	PPI>	SOS1
MAPK1	PPI>	DUSP3
MET	PPI>	SRC
GRB2	PPI>	PAK1
ABL1	PPI>	HCK
CBL	PPI>	STAT5A
PTK2	PPI>	SYK
PIK3R3	PPI>	AXL
JAK1	PPI>	GRB2
FGFR1	PPI>	RPS6KA1
SRC	PPI>	BMX
SOCS1	PPI>	JAK3
RET	PPI>	MAPK8
PTK2B	PPI>	PTPN6
ABL1	PPI>	PTPN6
TSHR	PPI>	JAK2
JAK1	PPI>	IL2RG
STAT3	PPI>	STAT5B
PIK3R2	PPI>	HCK
PDGFRA	PPI>	STAT3
MAPK1	PPI>	LCK
PIK3R1	PPI>	IFNAR1
PRKCD	PPI>	MAPK3
IFNGR1	PPI>	STAT1
MET	PPI>	BAG1
JAK2	PPI>	IFNGR1
MAPK1	PPI>	TNFRSF1A
AXL	PPI>	PIK3R1
PIK3R1	PPI>	AKT1
CRK	PPI>	GRB2
PRKCD	PPI>	PTPN6
JAK3	PPI>	IL7R
GNB2L1	PPI>	STAT3
YWHAB	PPI>	RPS6KA1
SOS1	PPI>	ESR1
CDH2	PPI>	CTNNB1
PIK3R1	PPI>	TUBG1
PIK3R1	PPI>	IL2RB
PIK3R3	PPI>	INSR
GAB2	PPI>	MAPK3
ESR1	PPI>	STAT5A
PDGFRA	PPI>	STAT5B
KHDRBS1	PPI>	MAPK1
PTPN6	PPI>	CTNNB1
GHR	PPI>	STAT5B
GRB2	PPI>	GHR
RET	PPI>	SHC1
PRKCZ	PPI>	SRC
YWHAB	PPI>	AKAP13
RASA1	PPI>	PDGFRB
SRC	PPI>	GRB2
IL7R	PPI>	JAK1
YWHAB	PPI>	PRKCD
IFNAR1	PPI>	STAT3
PRKCD	PPI>	IL6ST
GAB1	PPI>	PTPN11
IRS2	PPI>	FES
FASLG	PPI>	SRC
AXL	PPI>	PTPN11
LCK	PPI>	IL2RB
PIK3CA	PPI>	RPS6KB1
STAT5B	PPI>	STAT3
PDGFRB	PPI>	EIF2AK2
PDGFRB	PPI>	PTPN11
EGFR	PPI>	PRKCD
PTPN6	PPI>	SHC1
RAF1	PPI>	SRC
PIK3R3	PPI>	IRS1
GRB2	PPI>	FYN
CCR5	PPI>	STAT3
PIK3R1	PPI>	CRK
IRS1	PPI>	MAPK8
LCK	PPI>	MAPK1
PRKCZ	PPI>	JAK1
GAB1	PPI>	RET
SHC1	PPI>	IL2RG
JAK2	PPI>	PTPN11
CBL	PPI>	SYK
GRB10	PPI>	FYN
PIK3R1	PPI>	GRB2
FLT1	PPI>	STAT3
STAT3	PPI>	PTPN11
RET	PPI>	MAPK1
STAT3	PPI>	EIF2AK2
HCK	PPI>	STAT3
IRS1	PPI>	FER
ARHGAP17	PPI>	SRC
GRB10	PPI>	KDR
ESR1	PPI>	IGF1R
GAB1	PPI>	MAPK1
LEPR	PPI>	STAT3
MAPK1	PPI>	RPS6KA1
SOCS1	PPI>	PDGFRB
AXL	PPI>	GRB2
RB1	PPI>	GNB2L1
GRB10	PPI>	GHR
PTK2	PPI>	SRC
ABL1	PPI>	BCAR1
PRKCZ	PPI>	FYN
GRB2	PPI>	ESR1
MST1R	PPI>	SRC
PTK2B	PPI>	BCAR1
GRB2	PPI>	PTPN11
TGFBR1	PPI>	CTNNB1
KIT	PPI>	STAT5A
SHC1	PPI>	PTPN11
BRAF	PPI>	MAPK1
PIK3R1	PPI>	PTK2B
IRS1	PPI>	TYK2
MAPK3	PPI>	STAT5A
ERBB2	PPI>	PTPN11
IL6ST	PPI>	STAT3
JAK1	PPI>	IFNGR1
SHC1	PPI>	CSF3R
ERBB2	PPI>	PTK2B
GTF2H1	PPI>	ESR1
SOS1	PPI>	GRB2
GRB2	PPI>	MET
LCK	PPI>	SYK
PTPN11	PPI>	PTK2
PRKCZ	PPI>	MAPK1
FES	PPI>	JAK1
GRB2	PPI>	PIK3R1
IRS1	PPI>	PTPN11
CALM1	PPI>	ESR1
YWHAG	PPI>	AKAP13
JAK1	PPI>	CSF3R
AKAP13	PPI>	ESR1
CBL	PPI>	SRC
CBLB	PPI>	GRB2
JAK1	PPI>	JAK3
MAP2K1	PPI>	PEBP1
PTPN11	PPI>	FLT1
FYN	PPI>	CSF2RB
PIK3R1	PPI>	TSHR
SOCS1	PPI>	EGFR
SYK	PPI>	PIK3R1
MAPK1	PPI>	CAV1
SRC	PPI>	PTPN2
CD5	PPI>	FYN
NTRK1	PPI>	MAPK3
PTK2	PPI>	FYN
SOS1	PPI>	ERBB2
RET	PPI>	GRB2
YWHAQ	PPI>	TSC2
PIK3R1	PPI>	RET
PECAM1	PPI>	FYN
PIK3R2	PPI>	CRKL
ESR1	PPI>	EGFR
FYN	PPI>	PTK2B
ERBB2	PPI>	JAK2
YWHAB	PPI>	SRC
PTK2B	PPI>	SRC
BCAR1	PPI>	ESR1
GAB1	PPI>	GRB2
PIK3R1	PPI>	JAK2
AKT1	PPI>	PAK1
PIK3R1	PPI>	RRAS2
PAK1	PPI>	MAPK1
EGFR	PPI>	JAK2
IRS1	PPI>	JAK2
INSR	PPI>	IGF1R
GRB2	PPI>	EGFR
EGFR	PPI>	PIK3R1
EGFR	PPI>	PAK1
IL7R	PPI>	IL2RG
DUSP3	PPI>	STAT1
PIK3R1	PPI>	AXL
IGF1R	PPI>	PIK3R3
CBL	PPI>	LCK
MAP2K1	PPI>	PRKCZ
STAT3	PPI>	GNB2L1
IRS2	PPI>	IGF1R
CSF3R	PPI>	STAT3
STAT3	PPI>	MAPK3
MAPK3	PPI>	PTPN11
SRC	PPI>	KIT
PAK1	PPI>	ESR1
KHDRBS1	PPI>	FYN
PIK3R1	PPI>	CD40
SOS1	PPI>	MAPK1
PAK1	PPI>	BMX
MAPK3	PPI>	RPS6KA1
IFNAR1	PPI>	IFNAR2
FYN	PPI>	PDGFRB
IL2RB	PPI>	GNB2L1
SOCS1	PPI>	JAK1
FYN	PPI>	SOS1
PTPN11	PPI>	ERBB2
PAK1	PPI>	ERBB2
ELP2	PPI>	STAT3
NTRK1	PPI>	PTPN11
CRK	PPI>	KIT
