source	interaction	target
RAF1	PPI>	IL2RB
EP300	PPI>	STAT1
MAPK3	PPI>	RPS6KA4
GRB10	PPI>	SRC
EP300	PPI>	FOXO3
EP300	PPI>	STAT3
MAP2K1	PPI>	GRB10
MAPK1	PPI>	CASP8
PRKCI	PPI>	YWHAZ
MAPK3	PPI>	STAT5A
RAF1	PPI>	SRC
MAPK1	PPI>	STAT3
MAPK3	PPI>	UBTF
JAK2	PPI>	STAT1
MAPK14	PPI>	MAPKAPK2
RPS6KA4	PPI>	FOS
MAPK1	PPI>	NR3C1
BRAF	PPI>	YWHAG
MYC	PPI>	EP300
MAP2K1	PPI>	BRAF
UBTF	PPI>	RB1
RPS6KA1	PPI>	CREB1
PRKCZ	PPI>	CASP8
PRKCZ	PPI>	JAK1
SPIB	PPI>	RB1
RAF1	PPI>	PRKG1
CDK5	PPI>	SRC
AKT1	PPI>	CREB1
ABL1	PPI>	RB1
CASP10	PPI>	RB1
YWHAZ	PPI>	FOXO3
CASP9	PPI>	CASP3
PEBP1	PPI>	PRKCB
PRKCB	PPI>	RB1
GRB10	PPI>	PDGFRB
MAPK3	PPI>	DUSP3
EP300	PPI>	STAT5A
CASP9	PPI>	SRF
YWHAZ	PPI>	FOXO1
MAP2K1	PPI>	CASP9
PHB	PPI>	RB1
RAF1	PPI>	PDGFRB
EP300	PPI>	MDM4
RAF1	PPI>	PPP1CC
STAT5B	PPI>	STAT1
MAPK14	PPI>	RPS6KA4
CDK5	PPI>	PTPN2
GRB10	PPI>	KDR
BRAF	PPI>	AKT1
CCND2	PPI>	RB1
PTPN2	PPI>	STAT1
MAPK1	PPI>	RPS6KA1
ELK1	PPI>	MAPK1
MAP2K1	PPI>	PAK1
GSK3B	PPI>	FOXO1
RPS6KA5	PPI>	CREB1
MAPK3	PPI>	CASP9
EP300	PPI>	ABL1
RAF1	PPI>	BAG1
MAPK1	PPI>	STAT5B
MAPK1	PPI>	RB1
CASP9	PPI>	CASP10
CDK5	PPI>	GSK3B
MYC	PPI>	GTF2I
MAPK1	PPI>	RPS6KA2
BRAF	PPI>	RAF1
PEBP1	PPI>	RAF1
MAPK1	PPI>	RAF1
MAP2K1	PPI>	RPS6KA4
PRKCZ	PPI>	CASP6
BRAF	PPI>	MAPK1
GSK3B	PPI>	CREB1
MAPK3	PPI>	RPS6KA2
AKT1	PPI>	FOXO3
CDK5	PPI>	CCND2
GRB10	PPI>	JAK2
MAP2K1	PPI>	RPS6KA2
STAT5A	PPI>	STAT1
ELK1	PPI>	MAPK14
EP300	PPI>	CEBPB
TNFRSF1A	PPI>	STAT1
AKT1	PPI>	FOXO1
MAPK3	PPI>	GTF2I
CEBPB	PPI>	CREB1
MAP2K1	PPI>	CDK5
RAF1	PPI>	JAK1
MAP2K1	PPI>	ELK1
CEBPB	PPI>	FOXO1
STAT3	PPI>	STAT1
PRKCZ	PPI>	AKT1
MYC	PPI>	SP1
MAP2K1	PPI>	PLK3
RAF1	PPI>	AKT1
PAK1	PPI>	SMAD4
MAPK1	PPI>	SMAD4
MAP2K1	PPI>	PRKCI
FOS	PPI>	RB1
PRKCZ	PPI>	MAPK1
BRAF	PPI>	SGK1
MYC	PPI>	RAF1
RAF1	PPI>	YWHAG
AKT1	PPI>	STAT1
MAPK1	PPI>	SP1
JAK1	PPI>	STAT1
FADD	PPI>	STAT1
ID2	PPI>	RB1
GRB10	PPI>	AKT1
PRKCI	PPI>	CHUK
EP300	PPI>	AKT1
CDK5	PPI>	PAK1
MAPK1	PPI>	MAPK14
MAPK3	PPI>	STAT3
SGK1	PPI>	CREB1
MAP2K1	PPI>	MAPK1
ATF1	PPI>	CREB1
MAPK3	PPI>	HSF1
EP300	PPI>	RB1
MYC	PPI>	CEBPB
EP300	PPI>	SP3
PAK1	PPI>	RAF1
RPS6KA4	PPI>	ATF1
MAP2K1	PPI>	PEBP1
MAPK1	PPI>	RPS6KA3
NR3C1	PPI>	CREB1
CDK1	PPI>	RB1
EP300	PPI>	SP1
PRKCI	PPI>	SRC
RAF1	PPI>	JAK2
RPS6KA2	PPI>	MAPK1
CDK5	PPI>	ABL1
GRB10	PPI>	MAPK1
HSPA8	PPI>	RB1
MAPK1	PPI>	CASP9
CEBPB	PPI>	RB1
PRKCZ	PPI>	RAF1
MAPK9	PPI>	RB1
MYC	PPI>	CDK1
RPS6KA5	PPI>	STAT1
MAPK14	PPI>	CREB1
EP300	PPI>	RUNX2
PDGFRB	PPI>	STAT1
MAPK1	PPI>	PAK1
PRKCZ	PPI>	CASP9
CASP6	PPI>	RB1
MAPK14	PPI>	STAT1
MAPK3	PPI>	MYC
PAK1	PPI>	MAPK1
IKBKB	PPI>	FOXO3
PPP1CC	PPI>	RB1
GRB10	PPI>	RAF1
MAP2K1	PPI>	MYC
ELK1	PPI>	SRF
MAPK3	PPI>	CEBPB
PAK1	PPI>	AKT1
PRKG1	PPI>	CREB1
RPS6KA3	PPI>	CREB1
EP300	PPI>	SMAD4
KDR	PPI>	STAT1
YWHAG	PPI>	FOXO3
