source	interaction	target
ARAF	PPI>	PIK3R1
PIK3R2	PPI>	FYN
JAK1	PPI>	RAF1
PIK3CA	PPI>	LCK
PIK3R2	PPI>	SOCS6
PIK3R3	PPI>	TEC
PIK3CA	PPI>	RPS6KB1
PIK3R1	PPI>	SRC
CRKL	PPI>	ABL1
SOCS6	PPI>	PIK3R1
PIK3R1	PPI>	NTRK1
MAPK1	PPI>	RB1
MAP2K1	PPI>	GRB10
PDGFRB	PPI>	PIK3R1
MAPK3	PPI>	UBTF
PIK3R3	PPI>	IRS1
SHC1	PPI>	MAPK1
PIK3R1	PPI>	JAK1
MAP2K1	PPI>	BRAF
UBTF	PPI>	RB1
YWHAG	PPI>	MDM4
PDGFRB	PPI>	RAF1
TEC	PPI>	PIK3R1
PIK3R1	PPI>	CBL
KIT	PPI>	ABL1
MAP2K1	PPI>	EGFR
MTOR	PPI>	IRS1
ABL1	PPI>	RB1
TGFBR1	PPI>	PIK3R1
MTOR	PPI>	PDPK1
PDGFRB	PPI>	PIK3R3
PEBP1	PPI>	PRKCB
PRKCB	PPI>	RB1
PIK3R1	PPI>	MAPK8
PIK3R1	PPI>	CRKL
CBL	PPI>	ABL1
RET	PPI>	MAPK1
PIK3CA	PPI>	IRS2
HRAS	PPI>	DGKZ
MTOR	PPI>	RPS6KB1
PIK3CA	PPI>	HRAS
PIK3CA	PPI>	NRAS
PIK3R2	PPI>	SHC1
YWHAB	PPI>	CDK14
PIK3R1	PPI>	EPOR
JAK2	PPI>	RAF1
RAF1	PPI>	BAG1
ESR1	PPI>	PIK3R1
HRAS	PPI>	RAF1
PIK3R1	PPI>	TYK2
KIT	PPI>	PIK3R1
PRKCZ	PPI>	RAF1
PIK3R1	PPI>	AKT1
NRAS	PPI>	RAF1
JAK2	PPI>	ABL1
MAP2K1	PPI>	ARAF
PIK3R2	PPI>	SOCS1
PIK3R2	PPI>	YWHAB
SOCS1	PPI>	PIK3R1
BRAF	PPI>	RAF1
PIK3R2	PPI>	TGFBR1
MAP2K1	PPI>	HRAS
PEBP1	PPI>	RAF1
IFNAR1	PPI>	MAPK1
MAPK1	PPI>	RAF1
PEBP1	PPI>	MAPK1
BRAF	PPI>	MAPK1
AKT1	PPI>	MDM4
GAB2	PPI>	MAPK1
TGFBR1	PPI>	CDK14
MTOR	PPI>	TERT
MTOR	PPI>	RPS6KA1
PIK3CA	PPI>	PRKCD
ESR1	PPI>	BAG1
IFNAR1	PPI>	GNB2L1
PIK3R1	PPI>	EGFR
