source	interaction	target
ERBB2	PPI>	SRC
JAK1	PPI>	RAF1
PTPN11	PPI>	CAV1
PIK3R1	PPI>	ERBB2
KHDRBS1	PPI>	STUB1
PIK3R1	PPI>	SRC
CBL	PPI>	SHC1
WBP11	PPI>	SRC
CALM3	PPI>	ESR1
SRC	PPI>	ESR1
AKT1	PPI>	AKT2
JAK2	PPI>	PTPN6
PDGFRB	PPI>	RAF1
PTPN11	PPI>	CHUK
MAP2K1	PPI>	EGFR
MAPK1	PPI>	ESR1
MAPK1	PPI>	HSP90AA1
MTOR	PPI>	PDPK1
RB1	PPI>	PIK3R1
GTF2H1	PPI>	ESR1
HRAS	PPI>	DGKZ
HRAS	PPI>	CAV1
PIK3R3	PPI>	RB1
SYK	PPI>	MAPK3
CRKL	PPI>	BCAR1
BRAF	PPI>	AKT1
ESR1	PPI>	PIK3R1
LCK	PPI>	SHC1
PIK3R1	PPI>	TYK2
EPOR	PPI>	STAT5A
RB1	PPI>	MAPK1
LCK	PPI>	STAT5A
MAPK1	PPI>	CAV1
PTPN11	PPI>	SHC1
PIK3R1	PPI>	RRAS2
CDH2	PPI>	PTPN1
IGF1R	PPI>	PTPN1
BRAF	PPI>	RAF1
IFNAR1	PPI>	MAPK1
MAPK1	PPI>	TSC2
CRKL	PPI>	SHC1
TERT	PPI>	AKT1
ERBB2	PPI>	EGFR
PIK3R1	PPI>	EGFR
PECAM1	PPI>	LCK
NTRK1	PPI>	CAV1
LCK	PPI>	PTPN6
EPOR	PPI>	PTPN6
SHC1	PPI>	ESR1
PIK3R1	PPI>	CSF2RA
HRAS	PPI>	PIK3R1
IL2RB	PPI>	STAT5A
ESR1	PPI>	PIK3R3
YWHAG	PPI>	PAK1
PIK3R1	PPI>	ARAF
SYK	PPI>	SHC1
CDK14	PPI>	RB1
TERT	PPI>	ABL1
BCAR1	PPI>	SRC
PIK3R1	PPI>	WBP11
INSR	PPI>	CALM3
PIK3R1	PPI>	PTPN6
SYK	PPI>	RPS6KA1
PRKCI	PPI>	CHUK
PDPK1	PPI>	PAK1
INSR	PPI>	CALM1
YWHAG	PPI>	IGF1R
SHC1	PPI>	STAT5A
STAT3	PPI>	SRC
RASA1	PPI>	EGFR
PDGFRA	PPI>	CAV1
KIT	PPI>	PRKCB
PIK3R3	PPI>	PIK3CA
PTPN11	PPI>	STAT5A
SRC	PPI>	EGFR
PRKCD	PPI>	SRC
PDPK1	PPI>	AKT2
PDPK1	PPI>	PRKCB
TEC	PPI>	PIK3R1
AKT2	PPI>	ESR1
PDGFRB	PPI>	SRC
PPM1A	PPI>	AKT1
GNB2L1	PPI>	RB1
APPL1	PPI>	AKT1
EGFR	PPI>	CALM3
YWHAG	PPI>	PRKCB
GRB10	PPI>	EGFR
SHC1	PPI>	SRC
IL2RB	PPI>	SHC1
SHC1	PPI>	ERBB2
EGFR	PPI>	CTNNB1
PIK3R1	PPI>	PDGFRA
GRB10	PPI>	RAF1
PTPN6	PPI>	ABL1
PTK2	PPI>	LCK
STAT3	PPI>	LCK
IGF1R	PPI>	PIK3R1
PTPN11	PPI>	PRKCB
BCAR1	PPI>	LCK
PIK3CA	PPI>	APPL1
CBL	PPI>	PTPN6
SYN1	PPI>	SRC
RPS6KB1	PPI>	CSNK2B
MET	PPI>	SRC
TGFBR1	PPI>	PAK1
MAPK3	PPI>	CAV1
TSC2	PPI>	ESR1
CTNNB1	PPI>	SRC
CBL	PPI>	STAT5A
GHR	PPI>	PTPN6
RPS6KB1	PPI>	MAPK3
PIK3R1	PPI>	RB1
TERT	PPI>	SRC
ABL1	PPI>	PTPN6
MAPK1	PPI>	LCK
PIK3R1	PPI>	IFNAR1
PRKCD	PPI>	MAPK3
MET	PPI>	BAG1
IGF1R	PPI>	GNB2L1
AKT1	PPI>	SRC
PIK3R1	PPI>	AKT1
PRKCD	PPI>	PTPN6
PIK3R1	PPI>	LCK
SYN1	PPI>	PAK1
CRK	PPI>	STAT5A
ERBB2	PPI>	CAV1
YWHAG	PPI>	ABL1
YWHAG	PPI>	MDM4
RPS6KA1	PPI>	MAPK1
PIK3R1	PPI>	IL2RB
PIK3R3	PPI>	INSR
GAB2	PPI>	MAPK3
CTNNB1	PPI>	PTPN1
CTNNB1	PPI>	ESR1
EGFR	PPI>	ERBB2
PTK2	PPI>	TSC2
IGF1R	PPI>	INS
KHDRBS1	PPI>	MAPK1
PTPN6	PPI>	CTNNB1
