source	interaction	target
PIK3R2	PPI>	FYN
IL2RB	PPI>	LCK
LCK	PPI>	JAK3
PIK3R1	PPI>	SRC
IFNAR1	PPI>	LCK
SHC1	PPI>	EGFR
GHR	PPI>	PTPN11
PTPN11	PPI>	STAT5B
AKT1	PPI>	CHUK
TGFBR1	PPI>	CHUK
SRC	PPI>	HSP90AA1
IRS1	PPI>	GHR
JAK1	PPI>	PTPN2
PIK3R1	PPI>	SYK
PTPN11	PPI>	JAK1
SRC	PPI>	STAP2
EGFR	PPI>	PDGFRB
AKT1	PPI>	AKT2
AKT1	PPI>	YWHAZ
CRK	PPI>	FLT1
MTOR	PPI>	AKT1
SRC	PPI>	STAT5A
PIK3R1	PPI>	JAK3
CRK	PPI>	MAPK8
MTOR	PPI>	IRS1
PDPK1	PPI>	SRC
IRS1	PPI>	JAK1
YWHAZ	PPI>	FOXO3
TSLP	PPI>	STAT3
MTOR	PPI>	PDPK1
PIK3R1	PPI>	PDGFRB
MAPK8	PPI>	STAT3
IGF1R	PPI>	JAK1
PDPK1	PPI>	SGK1
SRC	PPI>	PTPN11
EGFR	PPI>	FER
JAK2	PPI>	CSF2RB
PIK3R2	PPI>	SHC1
FLT1	PPI>	STAT3
AKT1S1	PPI>	AKT1
PTPN2	PPI>	STAT3
RET	PPI>	MAPK3
SYK	PPI>	MAPK3
PTPN11	PPI>	RET
EGFR	PPI>	JAK2
PIK3R1	PPI>	TUB
PTK2B	PPI>	PTPN11
PTK2B	PPI>	JAK3
PTK2B	PPI>	JAK2
PIK3R1	PPI>	TYK2
PIK3R1	PPI>	NTRK1
JAK2	PPI>	STAT5B
CRK	PPI>	PDGFRA
LCK	PPI>	STAT5A
FYN	PPI>	PTPN11
IGF1R	PPI>	PTPN11
LCK	PPI>	CSF3R
SOCS1	PPI>	JAK2
IGF1R	PPI>	PRKCD
PIK3R2	PPI>	YWHAB
PIK3R2	PPI>	TGFBR1
IFNAR1	PPI>	MAPK1
IL7R	PPI>	STAT5A
MST1R	PPI>	JAK2
RAC1	PPI>	STAT3
TERT	PPI>	AKT1
EGFR	PPI>	STAT5B
EGFR	PPI>	PTPN2
JAK3	PPI>	FES
MTOR	PPI>	TERT
FES	PPI>	CSF2RB
JAK1	PPI>	PDGFRB
IL23R	PPI>	STAT3
PIK3R1	PPI>	EGFR
YWHAB	PPI>	FER
PTPN11	PPI>	LCK
JAK2	PPI>	STAT1
IRS1	PPI>	AKT1
STAT5A	PPI>	STAT3
PIK3R2	PPI>	IRS1
MAPK1	PPI>	STAT3
PTK2	PPI>	JAK2
AKT1	PPI>	HSP90AA1
IL2RB	PPI>	STAT5A
AKT1	PPI>	IKBKB
PTK2B	PPI>	FLT1
IRS1	PPI>	YWHAZ
JAK2	PPI>	GHR
FES	PPI>	JAK3
LCK	PPI>	PTPN11
YWHAG	PPI>	SRC
FYN	PPI>	FLT1
