source	interaction	target
ERBB2	PPI>	SRC
JAK1	PPI>	RAF1
RAF1	PPI>	IL2RB
IL2RB	PPI>	LCK
PIK3R1	PPI>	ERBB2
EP300	PPI>	STAT1
INSR	PPI>	MAPK3
PIK3R1	PPI>	SRC
IFNAR1	PPI>	LCK
GSK3B	PPI>	MYC
GHR	PPI>	PTPN11
PTPN11	PPI>	STAT5B
SRC	PPI>	HSP90AA1
RAF1	PPI>	JAK1
CRKL	PPI>	SYK
JAK2	PPI>	STAT1
SRC	PPI>	PTK2
PTPN11	PPI>	JAK1
JAK2	PPI>	HSPA8
MYC	PPI>	EP300
LCK	PPI>	STAT1
UBTF	PPI>	RB1
PDGFRB	PPI>	RAF1
MAPK3	PPI>	MAPK8
PRKCZ	PPI>	CASP8
PIK3R1	PPI>	KIT
CDK5	PPI>	SRC
CRK	PPI>	MAPK8
PTK2	PPI>	GSK3B
SYK	PPI>	TNFRSF1A
ABL1	PPI>	JAK2
RB1	PPI>	CDK1
IRS1	PPI>	JAK1
MAPK1	PPI>	TNFRSF1A
MAPK1	PPI>	HSP90AA1
PIK3R1	PPI>	PDGFRB
PEBP1	PPI>	PRKCB
IGF1R	PPI>	JAK1
MAPK3	PPI>	DUSP3
EP300	PPI>	STAT5A
PIK3R1	PPI>	CRKL
SRC	PPI>	PTPN11
PHB	PPI>	RB1
AKT1	PPI>	GSK3B
MAPK8	PPI>	TP73
PTK2	PPI>	PTPN11
CRKL	PPI>	ABL1
CDK5	PPI>	PTPN2
RET	PPI>	MAPK3
SYK	PPI>	MAPK3
CRKL	PPI>	PTPN11
BRAF	PPI>	AKT1
GHR	PPI>	JAK1
MAPK14	PPI>	MAPK8
CCND2	PPI>	RB1
JAK2	PPI>	STAT5B
MAP2K1	PPI>	PAK1
EPOR	PPI>	STAT5A
LCK	PPI>	STAT5A
MAPK3	PPI>	CASP9
EP300	PPI>	ABL1
IGF1R	PPI>	PTPN11
SHC1	PPI>	MAPK8
MAPK1	PPI>	STAT5B
MAP2K2	PPI>	RAF1
JAK2	PPI>	ABL1
RET	PPI>	PTK2
PDGFRB	PPI>	PTPN11
SHC1	PPI>	SYK
BRAF	PPI>	RAF1
GRB10	PPI>	KIT
PEBP1	PPI>	RAF1
IFNAR1	PPI>	MAPK1
MAPK1	PPI>	RAF1
PEBP1	PPI>	MAPK1
PTK2	PPI>	PDGFRB
MST1R	PPI>	JAK2
CDK5	PPI>	CCND2
GRB10	PPI>	JAK2
JAK1	PPI>	PDGFRB
RB1	PPI>	MYC
ELK1	PPI>	MAPK14
CASP6	PPI>	RB1
PTPN11	PPI>	LCK
PIK3R1	PPI>	SYK
MAPK8	PPI>	ATF2
RB1	PPI>	RAF1
MAP2K1	PPI>	CDK5
IRS1	PPI>	AKT1
TIAM1	PPI>	MYC
DUSP3	PPI>	SYK
ERBB2	PPI>	UBB
MAP2K2	PPI>	MAPK3
PTK2	PPI>	JAK2
JAK1	PPI>	PTPN2
AKT1	PPI>	HSP90AA1
IL2RB	PPI>	STAT5A
KHDRBS1	PPI>	LCK
EPOR	PPI>	PTPN11
LCK	PPI>	PTPN11
MAP2K1	PPI>	PRKCI
FOS	PPI>	RB1
YWHAG	PPI>	SRC
CTNNB1	PPI>	EP300
MYC	PPI>	RAF1
CRKL	PPI>	STAT5A
AKT1	PPI>	STAT1
MAPK1	PPI>	SP1
JAK1	PPI>	STAT1
FADD	PPI>	STAT1
ID2	PPI>	RB1
IRS1	PPI>	MAPK9
PRKCZ	PPI>	MAPK3
JAK2	PPI>	PDGFRB
ELF3	PPI>	MYC
PDGFRB	PPI>	BAG1
RAF1	PPI>	MYC
TP73	PPI>	MYC
MAPK3	PPI>	STAT3
MAPK3	PPI>	HSF1
SHC1	PPI>	STAT5A
PIK3R1	PPI>	RB1
SRC	PPI>	TIAM1
KIT	PPI>	PRKCB
JAK2	PPI>	GTF2I
PTPN11	PPI>	STAT5A
MAP2K1	PPI>	RAF1
CDK1	PPI>	RB1
EP300	PPI>	SP1
RAF1	PPI>	JAK2
RET	PPI>	STAT3
LCK	PPI>	HSP90AA1
PIK3R1	PPI>	JAK1
HSPA8	PPI>	RB1
PTPN11	PPI>	STAT1
CEBPB	PPI>	RB1
IL2RB	PPI>	STAT1
JAK1	PPI>	TNFRSF1A
PTPN11	PPI>	TNFRSF1A
PDGFRB	PPI>	SRC
PRKCZ	PPI>	RAF1
