Index	Drug	Dose	Role	Pathway	Drug Class
1	afatinib	0.04	HER2	EGF	ERBB
2	canertinib	0.04	EGFR	EGF	ERBB
3	neratinib	0.04	HER2	EGF	ERBB
4	pelitinib	0.04	EGFR	EGF	ERBB
5	afatinib	0.12	HER2	EGF	ERBB
6	canertinib	0.12	EGFR	EGF	ERBB
7	neratinib	0.12	HER2	EGF	ERBB
8	canertinib	0.37	EGFR	EGF	ERBB
9	erlotinib	0.37	EGFR	EGF	ERBB
10	gefitinib	0.37	EGFR	EGF	ERBB
11	pelitinib	0.37	EGFR	EGF	ERBB
12	afatinib	1.11	HER2	EGF	ERBB
13	canertinib	1.11	EGFR	EGF	ERBB
14	erlotinib	1.11	EGFR	EGF	ERBB
15	lapatinib	1.11	EGFR	EGF	ERBB
16	pelitinib	1.11	EGFR	EGF	ERBB
17	erlotinib	3.33	EGFR	EGF	ERBB
18	gefitinib	3.33	EGFR	EGF	ERBB
19	lapatinib	3.33	EGFR	EGF	ERBB
20	neratinib	3.33	HER2	EGF	ERBB
21	lapatinib	10	EGFR	EGF	ERBB
22	canertinib	3.33	EGFR	EGF	ERBB
23	pelitinib	3.33	EGFR	EGF	ERBB
24	erlotinib	10	EGFR	EGF	ERBB
25	afatinib	10	HER2	EGF	ERBB
26	canertinib	10	EGFR	EGF	ERBB
27	pelitinib	10	EGFR	EGF	ERBB
28	neratinib	0.37	HER2	EGF	ERBB
