Name	Regulon	Size	NES	p.value	FDR	Ledge
6884	6884	134	3.47	0.000521	0.0981	9631, 23463, 4893, 51093, + 52 genes
190	190	61	3.28	0.00105	0.0981	4291, 6707, 3860, 6698, + 19 genes
4605	4605	419	3.13	0.00174	0.113	57658, 55969, 22948, 5902, + 205 genes
23028	23028	195	3.06	0.0022	0.123	10574, 23463, 9410, 51154, + 89 genes
51114	51114	204	3	0.00267	0.123	90634, 23788, 51377, 6897, + 72 genes
10626	10626	67	3	0.00271	0.123	6707, 29968, 30851, 8722, + 37 genes
1876	1876	217	2.99	0.00275	0.123	10574, 7411, 55969, 51081, + 78 genes
63946	63946	130	2.92	0.00352	0.123	10650, 2678, 23387, 2108, + 36 genes
3182	3182	120	2.9	0.00373	0.123	5687, 54205, 23334, 6636, + 59 genes
79366	79366	117	2.87	0.00408	0.123	7411, 55969, 28977, 22898, + 37 genes
51193	51193	266	2.83	0.00459	0.13	7411, 10772, 5708, 4291, + 108 genes
9232	9232	426	2.82	0.00477	0.13	57658, 55969, 23788, 22948, + 212 genes
84844	84844	224	2.79	0.0052	0.13	55969, 23788, 54205, 5902, + 95 genes
2967	2967	172	2.76	0.00586	0.13	9631, 28977, 79657, 55703, + 55 genes
7756	7756	88	2.74	0.00624	0.13	10772, 3838, 10197, 5501, + 38 genes
55854	55854	415	2.71	0.00671	0.13	57658, 7411, 28977, 3913, + 211 genes
79710	79710	197	2.71	0.00672	0.13	9631, 90864, 55027, 8764, + 90 genes
3608	3608	212	2.71	0.00675	0.13	6051, 51377, 23334, 114881, + 89 genes
1054	1054	263	2.7	0.00684	0.13	23788, 22948, 54205, 9319, + 119 genes
3066	3066	296	2.7	0.00704	0.13	22948, 10576, 6993, 5110, + 141 genes
3068	3068	176	2.69	0.00706	0.13	5902, 4291, 10092, 9867, + 67 genes
23435	23435	284	2.68	0.00726	0.13	23463, 7411, 28977, 23788, + 147 genes
9889	9889	112	2.68	0.00742	0.13	51377, 51065, 7027, 6502, + 32 genes
2023	2023	199	2.66	0.00775	0.13	23463, 6723, 51154, 25924, + 79 genes
1789	1789	197	2.66	0.00785	0.13	3913, 51065, 23590, 819, + 60 genes
3159	3159	191	2.65	0.00808	0.13	5902, 6182, 51154, 23590, + 78 genes
2305	2305	492	2.65	0.00812	0.13	57658, 7411, 23788, 22948, + 208 genes
11177	11177	180	2.64	0.00831	0.13	5687, 9958, 78987, 10038, + 73 genes
4801	4801	160	2.64	0.00841	0.13	28977, 55703, 5985, 57326, + 59 genes
3091	3091	130	2.6	0.00927	0.13	80328, 64122, 9334, 4860, + 50 genes
5036	5036	354	2.6	0.00932	0.13	10574, 708, 28977, 23788, + 162 genes
23589	23589	64	2.59	0.00964	0.13	10747, 79077, 2237, 9088, + 24 genes
4783	4783	110	2.58	0.00991	0.13	9334, 6278, 29968, 51555, + 37 genes
6873	6873	240	2.57	0.0101	0.13	196403, 10772, 51377, 8764, + 84 genes
10153	10153	283	2.57	0.0101	0.13	9631, 28977, 3913, 51377, + 121 genes
1869	1869	343	2.57	0.0103	0.13	55969, 51081, 5902, 6182, + 143 genes
221302	221302	130	2.57	0.0103	0.13	3913, 51377, 6993, 5110, + 56 genes
10943	10943	243	2.57	0.0103	0.13	6830, 9688, 57798, 4926, + 101 genes
865	865	250	2.54	0.011	0.133	7411, 80328, 9688, 55027, + 109 genes
6942	6942	134	2.53	0.0113	0.133	196403, 819, 10412, 6502, + 39 genes
8882	8882	152	2.53	0.0113	0.133	57658, 54205, 9688, 7157, + 70 genes
10113	10113	157	2.52	0.0116	0.135	10574, 55969, 51081, 6182, + 78 genes
402381	402381	110	2.51	0.0119	0.135	10574, 11045, 23387, 9823, + 32 genes
4904	4904	408	2.5	0.0124	0.136	79187, 22948, 4329, 6723, + 186 genes
84733	84733	257	2.49	0.0129	0.137	51065, 80328, 9688, 23387, + 114 genes
3607	3607	259	2.49	0.0129	0.137	7283, 51081, 22948, 6182, + 100 genes
2553	2553	144	2.48	0.0131	0.138	28977, 10772, 10576, 114881, + 77 genes
7019	7019	155	2.47	0.0137	0.138	9631, 10772, 4893, 6502, + 77 genes
1788	1788	122	2.44	0.0148	0.143	51065, 7260, 819, 1486, + 47 genes
55922	55922	293	2.44	0.0148	0.143	7411, 28977, 3913, 22948, + 131 genes
5307	5307	64	2.43	0.0153	0.146	23387, 7582, 6707, 4726, + 11 genes
22809	22809	33	2.39	0.0169	0.15	6723, 79763, 79149, 3276, + 14 genes
84108	84108	111	2.38	0.0175	0.15	9837, 55055, 64755, 5983, + 49 genes
7004	7004	107	2.38	0.0175	0.15	5902, 51154, 7157, 26959, + 42 genes
147657	147657	33	2.38	0.0175	0.15	28977, 10014, 1434, 26973, + 9 genes
79733	79733	168	2.38	0.0175	0.15	3913, 23788, 10576, 10038, + 85 genes
7153	7153	206	2.37	0.0177	0.15	10576, 9319, 5985, 6897, + 113 genes
9219	9219	117	2.37	0.0179	0.15	79073, 51154, 5436, 51155, + 50 genes
8089	8089	188	2.35	0.0189	0.152	7411, 28977, 10772, 79657, + 77 genes
56938	56938	256	2.34	0.0194	0.153	80328, 11010, 1628, 283, + 104 genes
9971	9971	29	2.33	0.0196	0.153	55079, 79799, 11061, 7227, + 2 genes
57116	57116	248	2.33	0.0197	0.153	51377, 7157, 9319, 23590, + 117 genes
10906	10906	132	2.32	0.0204	0.154	5687, 9114, 2570, 4940, + 43 genes
84524	84524	113	2.32	0.0206	0.155	10772, 10038, 7374, 7203, + 47 genes
7752	7752	65	2.3	0.0212	0.156	4123, 3913, 55839, 80010, + 25 genes
6877	6877	214	2.3	0.0217	0.157	3913, 23590, 10940, 6502, + 121 genes
7678	7678	203	2.29	0.0218	0.157	9631, 51377, 51065, 9334, + 77 genes
29028	29028	195	2.29	0.0222	0.157	10772, 57326, 10940, 7374, + 107 genes
65243	65243	125	2.28	0.0225	0.158	9631, 51065, 8878, 283, + 47 genes
5933	5933	282	2.27	0.0231	0.159	9631, 81888, 4893, 283, + 96 genes
9221	9221	260	2.27	0.0233	0.159	9631, 22948, 10576, 5708, + 116 genes
51123	51123	286	2.27	0.0234	0.159	6830, 55969, 3913, 22948, + 89 genes
7029	7029	98	2.26	0.0236	0.159	1173, 5708, 4291, 6184, + 35 genes
56829	56829	25	2.26	0.0236	0.159	81576, 6625, 2067, 79183, + 6 genes
5245	5245	229	2.26	0.0239	0.159	10574, 7283, 51181, 51081, + 89 genes
6940	6940	91	2.26	0.0241	0.159	3913, 10772, 23590, 57326, + 44 genes
1870	1870	154	2.25	0.0244	0.16	10940, 51309, 23649, 8318, + 76 genes
7080	7080	41	2.25	0.0247	0.161	1562, 1510, 6707, 5631, + 11 genes
7690	7690	72	2.24	0.0251	0.162	9631, 10772, 22948, 9319, + 33 genes
7584	7584	71	2.23	0.0257	0.165	27343, 79777, 51099, 9256, + 30 genes
140690	140690	45	2.22	0.0265	0.168	7027, 10808, 4605, 1024, + 14 genes
5591	5591	176	2.22	0.0265	0.168	9631, 196403, 81888, 4893, + 55 genes
83463	83463	212	2.21	0.0268	0.168	8260, 1175, 6182, 79763, + 80 genes
54680	54680	38	2.21	0.0271	0.17	1846, 26135, 10885, 23173, + 13 genes
11166	11166	66	2.21	0.0272	0.17	1562, 6707, 3860, 6698, + 24 genes
90333	90333	33	2.21	0.0274	0.17	79657, 113251, 79184, 4905, + 3 genes
6657	6657	78	2.2	0.028	0.171	1510, 10057, 6707, 5631, + 15 genes
80320	80320	125	2.2	0.0281	0.171	6278, 79017, 5029, 57016, + 37 genes
6945	6945	153	2.18	0.0292	0.174	708, 7283, 29887, 51081, + 56 genes
84287	84287	70	2.15	0.0317	0.179	1892, 7390, 960, 53, + 19 genes
91661	91661	44	2.15	0.0317	0.179	79657, 8764, 10043, 8458, + 14 genes
7576	7576	39	2.14	0.0325	0.182	79657, 140467, 10592, 3931, + 7 genes
79149	79149	66	2.13	0.0329	0.183	57798, 5708, 29968, 4605, + 20 genes
51538	51538	128	2.13	0.0329	0.183	9410, 51154, 26155, 5436, + 40 genes
7290	7290	139	2.12	0.0337	0.185	51065, 5902, 10940, 27440, + 49 genes
339487	339487	197	2.11	0.0352	0.188	55969, 5687, 54205, 5436, + 81 genes
85416	85416	28	2.1	0.0355	0.188	80328, 29968, 9314, 23428, + 7 genes
91464	91464	78	2.09	0.037	0.191	1510, 2678, 2108, 92086, + 21 genes
23261	23261	93	2.08	0.038	0.191	23463, 6723, 51154, 23590, + 29 genes
6596	6596	110	2.07	0.038	0.191	9631, 28977, 3376, 55171, + 37 genes
3146	3146	251	2.07	0.0382	0.191	10772, 54205, 23590, 7027, + 85 genes
79755	79755	44	2.07	0.0388	0.193	5602, 64816, 7039, 51442, + 13 genes
144348	144348	122	2.06	0.0395	0.195	28977, 10576, 55703, 5985, + 40 genes
10745	10745	98	2.06	0.0395	0.195	29887, 4893, 79084, 515, + 27 genes
6664	6664	126	2.04	0.0411	0.2	80328, 10200, 79777, 10971, + 37 genes
7181	7181	73	2.04	0.0414	0.201	28977, 5985, 5501, 51184, + 20 genes
1390	1390	73	2.03	0.0423	0.203	4329, 23590, 4926, 10869, + 17 genes
23440	23440	31	2.03	0.0426	0.203	10797, 7353, 79980, 86, + 8 genes
84885	84885	89	2.02	0.043	0.204	79763, 1892, 4957, 8270, + 28 genes
2000	2000	104	2.02	0.0435	0.206	6502, 4940, 57128, 7703, + 36 genes
347853	347853	124	2.01	0.044	0.207	2108, 10014, 79017, 801, + 39 genes
254887	254887	102	2.01	0.0445	0.209	54892, 58190, 7043, 4436, + 42 genes
6883	6883	122	2	0.0451	0.209	5687, 51154, 378708, 11083, + 34 genes
11108	11108	76	2	0.0455	0.209	3338, 5501, 51184, 113251, + 33 genes
7027	7027	116	2	0.0456	0.209	6502, 10808, 6414, 5983, + 50 genes
9355	9355	54	2	0.0456	0.209	80328, 6698, 6241, 4605, + 16 genes
10302	10302	117	1.98	0.0476	0.215	55969, 23788, 5902, 5685, + 44 genes
6941	6941	106	1.98	0.0478	0.215	7027, 9837, 23649, 23, + 41 genes
3198	3198	98	1.98	0.0482	0.216	11010, 231, 8935, 9076, + 32 genes
3428	3428	166	1.97	0.0484	0.216	11010, 6275, 231, 55106, + 44 genes
195828	195828	146	1.97	0.0487	0.216	5985, 57326, 10038, 7374, + 89 genes
1029	1029	130	1.97	0.0491	0.216	23590, 7027, 6502, 91754, + 45 genes
80829	80829	78	1.96	0.05	0.218	9631, 90864, 81576, 7037, + 41 genes
10732	10732	95	1.88	0.06	0.241	55969, 9319, 4291, 7379, + 25 genes
1871	1871	370	1.88	0.06	0.241	4893, 7157, 23590, 7027, + 174 genes
204219	204219	84	1.88	0.06	0.241	6707, 3860, 6698, 2877, + 31 genes
25921	25921	120	1.88	0.06	0.241	90634, 23788, 79073, 10307, + 46 genes
29893	29893	155	1.88	0.06	0.241	7283, 6480, 5436, 990, + 58 genes
51087	51087	74	1.88	0.06	0.241	9319, 9837, 79019, 4605, + 23 genes
51304	51304	132	1.88	0.06	0.241	10650, 9114, 2108, 7416, + 45 genes
6908	6908	77	1.88	0.06	0.241	6993, 5110, 29074, 55379, + 28 genes
7574	7574	102	1.88	0.06	0.241	5985, 7374, 1967, 6427, + 22 genes
85460	85460	86	1.88	0.06	0.241	4893, 93129, 3930, 29997, + 31 genes
8880	8880	87	1.88	0.06	0.241	9631, 55171, 80010, 10592, + 38 genes
8896	8896	170	1.88	0.06	0.241	54205, 8260, 1175, 6636, + 62 genes
9480	9480	99	1.88	0.06	0.241	54892, 10797, 6241, 55839, + 33 genes
25888	25888	60	1.81	0.07	0.262	1434, 26973, 1024, 55759, + 34 genes
29128	29128	111	1.81	0.07	0.262	10038, 9837, 1786, 8318, + 73 genes
4613	4613	73	1.81	0.07	0.262	8878, 9334, 10007, 5729, + 27 genes
6887	6887	26	1.81	0.07	0.262	55151, 7464, 2243, 8687, + 5 genes
7699	7699	71	1.81	0.07	0.262	23102, 1967, 5501, 10094, + 24 genes
7775	7775	100	1.81	0.07	0.262	708, 50628, 7157, 5694, + 25 genes
116225	116225	177	1.75	0.08	0.277	10574, 8260, 6723, 6182, + 65 genes
148206	148206	33	1.75	0.08	0.277	8878, 54892, 6502, 55055, + 9 genes
162239	162239	73	1.75	0.08	0.277	8764, 283131, 3425, 6996, + 29 genes
25806	25806	29	1.75	0.08	0.277	79187, 9867, 9120, 80208, 1051
344022	344022	67	1.75	0.08	0.277	2678, 9131, 92086, 2539, + 15 genes
387328	387328	25	1.75	0.08	0.277	79657, 6452, 22904, 51321, + 6 genes
4150	4150	102	1.75	0.08	0.277	26155, 2288, 79077, 8683, + 26 genes
51042	51042	275	1.75	0.08	0.277	54998, 8260, 1175, 6723, + 75 genes
7705	7705	157	1.75	0.08	0.277	51377, 55703, 8764, 6502, + 58 genes
84324	84324	148	1.75	0.08	0.277	55969, 5687, 1175, 6993, + 59 genes
10155	10155	100	1.7	0.09	0.291	1200, 79763, 3276, 10856, + 31 genes
1875	1875	168	1.7	0.09	0.291	22948, 9319, 10940, 55847, + 67 genes
2130	2130	134	1.7	0.09	0.291	8260, 5902, 6182, 26155, + 31 genes
26574	26574	122	1.7	0.09	0.291	7283, 22948, 50628, 80347, + 28 genes
3975	3975	80	1.7	0.09	0.291	6707, 6278, 820, 4784, + 26 genes
468	468	116	1.7	0.09	0.291	4329, 6897, 27440, 637, + 38 genes
654364	654364	89	1.7	0.09	0.291	54998, 6182, 51154, 55651, + 26 genes
7157	7157	186	1.7	0.09	0.291	708, 22948, 23590, 6414, + 92 genes
7474	7474	90	1.7	0.09	0.291	8038, 9635, 51304, 26039, + 27 genes
90441	90441	120	1.7	0.09	0.291	54998, 22948, 8260, 9114, + 30 genes
126208	126208	209	1.64	0.1	0.312	54998, 8260, 6723, 6182, + 46 genes
2002	2002	109	1.64	0.1	0.312	8260, 54555, 7167, 29968, + 36 genes
220992	220992	95	1.64	0.1	0.312	708, 79017, 55775, 118, + 21 genes
284695	284695	57	1.64	0.1	0.312	10772, 5983, 7112, 8458, + 16 genes
29841	29841	164	1.64	0.1	0.312	8605, 10200, 10971, 5194, + 50 genes
60313	60313	85	1.64	0.1	0.312	9410, 8891, 26292, 6118, + 32 genes
6493	6493	36	1.64	0.1	0.312	4436, 55388, 7534, 5307, + 8 genes
6721	6721	106	1.64	0.1	0.312	162, 79019, 56993, 2677, + 33 genes
128209	128209	54	1.6	0.11	0.331	11010, 83716, 9945, 8038, + 15 genes
152518	152518	104	1.6	0.11	0.331	10772, 57326, 6059, 2220, + 20 genes
3200	3200	73	1.6	0.11	0.331	27295, 2295, 3198, 55190, + 5 genes
3297	3297	246	1.6	0.11	0.331	10574, 196403, 6723, 6182, + 77 genes
55081	55081	97	1.6	0.11	0.331	4291, 79023, 55347, 11222, + 21 genes
55897	55897	43	1.6	0.11	0.331	4329, 80208, 23190, 4763, + 4 genes
57615	57615	102	1.6	0.11	0.331	9319, 54892, 9837, 55839, + 38 genes
84243	84243	101	1.6	0.11	0.331	9410, 4329, 51154, 23406, + 25 genes
85437	85437	212	1.6	0.11	0.331	7411, 5687, 79657, 79023, + 62 genes
9014	9014	71	1.6	0.11	0.331	10971, 5194, 4436, 9801, + 28 genes
129025	129025	30	1.55	0.12	0.342	9688, 29968, 55839, 55388, + 2 genes
4775	4775	90	1.55	0.12	0.342	9688, 90864, 10307, 55839, + 34 genes
56033	56033	67	1.55	0.12	0.342	80328, 6707, 29968, 6382, + 13 genes
730130	730130	25	1.55	0.12	0.342	266629, 9211, 265, 23626, + 6 genes
9516	9516	170	1.55	0.12	0.342	3394, 10336, 1911, 51555, + 52 genes
10589	10589	216	1.51	0.13	0.351	54998, 8260, 6182, 51274, + 47 genes
10661	10661	45	1.51	0.13	0.351	54555, 5631, 10535, 118, + 14 genes
11244	11244	32	1.51	0.13	0.351	11236, 6674, 55737, 56949, + 4 genes
127343	127343	45	1.51	0.13	0.351	6698, 55839, 8318, 960, + 17 genes
1748	1748	94	1.51	0.13	0.351	55666, 55379, 7691, 11011, + 25 genes
26298	26298	164	1.51	0.13	0.351	1280, 5631, 4440, 114908, + 48 genes
27097	27097	133	1.51	0.13	0.351	51377, 10092, 25896, 64222, + 43 genes
3065	3065	95	1.51	0.13	0.351	9410, 55735, 553115, 8565, + 22 genes
3097	3097	122	1.51	0.13	0.351	51093, 9334, 60686, 3091, + 41 genes
3172	3172	47	1.51	0.13	0.351	11045, 9390, 79799, 2172, + 12 genes
51663	51663	295	1.51	0.13	0.351	9631, 10772, 8764, 6897, + 99 genes
57822	57822	54	1.51	0.13	0.351	10893, 30851, 9076, 1058, + 6 genes
657	657	83	1.51	0.13	0.351	4123, 8764, 394, 9937, + 31 genes
728489	728489	83	1.51	0.13	0.351	54998, 8260, 79763, 55559, + 24 genes
81931	81931	86	1.51	0.13	0.351	5708, 6502, 55055, 79777, + 31 genes
9970	9970	52	1.51	0.13	0.351	23590, 7203, 3608, 27101, + 17 genes
118472	118472	101	1.48	0.14	0.369	54998, 8260, 1892, 4726, + 32 genes
144455	144455	107	1.48	0.14	0.369	7411, 5985, 54892, 25896, + 53 genes
2101	2101	119	1.48	0.14	0.369	54998, 6182, 54555, 3145, + 28 genes
3148	3148	96	1.48	0.14	0.369	3181, 11130, 6427, 9133, + 43 genes
4603	4603	83	1.48	0.14	0.369	29887, 9319, 5098, 2331, + 22 genes
5467	5467	114	1.48	0.14	0.369	7851, 819, 23, 9120, + 24 genes
6597	6597	207	1.48	0.14	0.369	6182, 26155, 51155, 3838, + 60 genes
10308	10308	177	1.44	0.15	0.382	9958, 78987, 3575, 8722, + 66 genes
1051	1051	162	1.44	0.15	0.382	4329, 25924, 6278, 637, + 57 genes
10573	10573	243	1.44	0.15	0.382	54998, 51181, 6182, 79763, + 70 genes
10660	10660	30	1.44	0.15	0.382	10850, 54866, 79412, 1669, + 6 genes
163071	163071	43	1.44	0.15	0.382	51562, 11131, 7010, 22899, + 5 genes
22823	22823	102	1.44	0.15	0.382	8878, 79084, 5983, 10971, + 20 genes
27300	27300	26	1.44	0.15	0.382	55039, 26354, 10155, 23293, + 8 genes
60436	60436	154	1.44	0.15	0.382	55969, 1486, 3860, 2220, + 39 genes
8543	8543	46	1.44	0.15	0.382	29968, 6490, 26135, 84864, + 15 genes
22880	22880	129	1.41	0.16	0.394	51065, 5902, 10940, 27440, + 33 genes
2304	2304	78	1.41	0.16	0.394	1562, 6707, 3860, 6698, + 32 genes
23316	23316	67	1.41	0.16	0.394	8115, 3394, 10462, 7783, + 20 genes
283248	283248	84	1.41	0.16	0.394	5902, 27440, 9120, 3608, + 22 genes
55502	55502	81	1.41	0.16	0.394	960, 8270, 9088, 5531, + 19 genes
57335	57335	159	1.41	0.16	0.394	50628, 7157, 58190, 8533, + 57 genes
84684	84684	38	1.41	0.16	0.394	6856, 6336, 4864, 23254, + 5 genes
9031	9031	154	1.41	0.16	0.394	9631, 10772, 54892, 6502, + 53 genes
90850	90850	120	1.41	0.16	0.394	26155, 9088, 55210, 51185, + 35 genes
1827	1827	101	1.37	0.17	0.408	9076, 7448, 114908, 51442, + 28 genes
221895	221895	63	1.37	0.17	0.408	11010, 83604, 23568, 26578, + 16 genes
25909	25909	223	1.37	0.17	0.408	9631, 51377, 25896, 2621, + 69 genes
7528	7528	210	1.37	0.17	0.408	28977, 10772, 79023, 80010, + 77 genes
10389	10389	166	1.34	0.18	0.423	7157, 29968, 1736, 51272, + 72 genes
145873	145873	67	1.34	0.18	0.423	5909, 5017, 610, 54852, + 11 genes
