Name	1	2	3	4	5	6	7	8	9	10
A1CF	0.0006176	0.001889	0.004854	0.002203	-0.001102	-0.0008029	-0.0001281	0.003244	NaN	0.0009811
A2M	-0.00107	0.002339	0.002415	-0.00309	-0.003072	0.00316	0.000932	0.006488	NaN	0.002344
A4GALT	0.0019	0.002263	0.0005526	0.0002502	0.001999	0.002218	0.001224	0.0001233	NaN	0.001263
A4GNT	-0.00231	-0.0008733	-0.0001517	-0.001569	-0.0005998	-0.0007954	-0.001197	0.001255	NaN	-0.0009885
AAAS	0.001097	0.002198	0.0009385	0.001936	0.000679	0.002513	0.0007341	-0.0002585	NaN	0.0006028
AACS	-0.003801	-0.001675	-0.003039	-0.001416	-5.937e-05	0.001286	0.001476	0.0004455	NaN	-3.025e-05
AADAC	0.004065	0.003422	0.002864	0.004775	-8.694e-06	-0.0003849	0.0005507	0.00556	NaN	0.001241
AAGAB	-0.00412	-0.001397	-0.002056	0.0001602	0.001141	0.001741	0.0008749	-0.001341	NaN	-0.0001947
AAK1	0.00161	0.002213	0.001426	0.0008047	0.001797	0.001485	0.001883	0.003093	NaN	0.0001598
AAMP	-0.002079	-0.002614	-0.001626	0.0001262	-0.0002935	-0.002879	0.0003571	0.000333	NaN	0.0007357
AANAT	-0.00036	0.0002852	-2.419e-05	-0.000692	-0.0007824	-0.001576	0.0004204	0.001689	NaN	-0.0002057
AARS	0.001666	0.001557	0.001158	0.001954	0.003338	0.00688	0.00924	0.00111	NaN	0.008083
AARSD1	-0.006035	-0.005488	-0.003562	-0.003385	-0.002472	-0.001911	-0.001035	0.001054	NaN	-0.001052
AASDHPPT	-0.001263	-0.001252	-0.002004	-0.002741	-3.91e-06	0.0003194	0.001806	0.001644	NaN	-0.0004482
AASS	0.003457	0.004794	0.003146	0.00112	0.002756	0.001448	-0.0002125	-0.0001539	NaN	-0.0003136
AATF	-0.004018	-0.004689	-0.001776	-0.003362	-0.004866	-0.003492	-0.001155	-0.000425	NaN	-0.001947
AATK	-0.0005068	0.0001871	0.0001609	0.0004168	0.0005835	0.0008972	0.002733	0.000239	NaN	0.002072
ABAT	-0.003585	0.0008655	0.001491	-0.0001496	0.0007278	0.001251	0.00148	0.0005584	NaN	0.001749
ABCA1	0.007621	0.009312	0.007989	0.005577	0.0007875	0.003883	0.0006324	0.003992	NaN	-0.0006607
ABCA11P	-0.001355	-0.0005807	-0.002197	-0.003017	-0.0003309	-0.001235	-0.001567	0.0005301	NaN	-0.001814
ABCA12	-0.003454	-0.002716	-0.003656	-0.004611	-0.003613	-0.002362	-0.001329	0.001158	NaN	-0.00084
ABCA2	0.0009731	0.00212	0.001978	0.001003	0.0006984	0.0005316	0.003795	0.002093	NaN	0.001339
ABCA3	-0.001119	-0.00285	-0.0009171	-0.002386	0.003149	-0.0002747	-0.000975	0.001427	NaN	0.004686
ABCA4	-0.001264	-4.704e-05	0.0007008	0.0003089	0.002033	0.002156	0.002131	-2.861e-05	NaN	0.001232
ABCA5	0.007583	0.008016	0.003077	0.004172	0.003165	0.001203	0.002184	0.002305	NaN	0.002205
ABCA6	0.005696	0.006982	0.006118	0.003853	-0.0005801	0.002372	-0.0004271	0.0002167	NaN	-0.0005147
ABCA7	0.004409	0.005611	0.004314	0.002081	0.004792	0.00292	0.004408	0.001632	NaN	0.00234
ABCA8	0.005941	0.004448	0.004429	0.00232	-0.001058	0.004737	-0.0001453	-0.005413	NaN	-0.0008508
ABCB1	0.003489	0.003494	0.001705	0.0002034	0.002293	0.001519	0.003002	-0.0005623	NaN	0.003776
ABCB11	0.003706	0.003637	0.002443	0.0014	0.002284	0.001027	0.001085	0.002356	NaN	0.0006264
