source	interaction	target
RAF1	PPI>	IL2RB
AKT1	PPI>	TSC1
GHR	PPI>	PTPN11
YWHAZ	PPI>	FOXO3
CDKN1B	PPI>	XPO1
PRKCI	PPI>	YWHAZ
RAF1	PPI>	JAK1
SRC	PPI>	PTK2
IKBKB	PPI>	HSP90AA1
MAPK8	PPI>	BAD
LCK	PPI>	STAT1
CRK	PPI>	FLT1
YWHAZ	PPI>	MAPKAPK2
METTL1	PPI>	RPS6KA1
NR4A1	PPI>	MAPK1
CRK	PPI>	MAPK8
STAT1	PPI>	PRKCD
MS4A2	PPI>	PRKCD
MAPK1	PPI>	HSP90AA1
MTOR	PPI>	PDPK1
AKT1	PPI>	FOXO1
RASA1	PPI>	SYK
SRC	PPI>	PTPN11
EGFR	PPI>	FER
SRC	PPI>	SYN1
MAPK8	PPI>	PRKDC
FLT1	PPI>	STAT3
MAPK1	PPI>	RPS6KA3
SYK	PPI>	MAPK3
BRAF	PPI>	AKT1
GHR	PPI>	JAK1
IL6R	PPI>	STAT3
MAPK8	PPI>	CRK
VAV1	PPI>	JAK2
PDGFRA	PPI>	SHB
IGF1R	PPI>	RASA1
RASA1	PPI>	FES
CSF2RB	PPI>	YWHAZ
PPP2CA	PPI>	PRKCD
IGF1R	PPI>	PTPN1
BRAF	PPI>	RAF1
HSP90AA1	PPI>	CHUK
STAT6	PPI>	CEBPB
SRC	PPI>	IGF1R
AKT1	PPI>	EIF4EBP1
BRAF	PPI>	YWHAZ
STAT1	PPI>	MAPK14
SRC	PPI>	PRKCA
SRC	PPI>	TIAM1
STAT1	PPI>	AKT1
PDPK1	PPI>	RPS6KA3
YWHAH	PPI>	SRC
STAT5B	PPI>	ELP2
SRC	PPI>	YWHAH
EEF2K	PPI>	RPS6KA1
EPOR	PPI>	PTPN11
FES	PPI>	JAK3
TSC2	PPI>	AKT2
FYN	PPI>	FLT1
MTOR	PPI>	RHEB
JAK1	PPI>	ELP2
BCAR1	PPI>	SRC
IGF1R	PPI>	CBL
GAB1	PPI>	PDGFRB
YWHAB	PPI>	HSP90AB1
SRC	PPI>	RAF1
VAV1	PPI>	MAPK1
EGFR	PPI>	SOCS3
FYN	PPI>	PRKCD
AKT1	PPI>	SH2B2
PDGFRB	PPI>	S1PR1
RET	PPI>	STAT3
KDR	PPI>	FYN
SRC	PPI>	RASA1
TEC	PPI>	JAK2
STAT5B	PPI>	STAP2
PIK3R1	PPI>	PECAM1
GRB14	PPI>	PDGFRB
PDGFRB	PPI>	STAT1
JAK2	PPI>	HES1
PTPN11	PPI>	JAK2
PTPN11	PPI>	GHR
CTNND1	PPI>	FER
STAT6	PPI>	JAK1
PDGFRB	PPI>	RAF1
PTK2	PPI>	LCK
SRC	PPI>	GRB10
PRKD1	PPI>	SYK
EPOR	PPI>	JAK2
JAK1	PPI>	PTPN11
IGF1R	PPI>	PIK3R1
SRC	PPI>	IL6R
GRB14	PPI>	PDGFRA
IRS1	PPI>	PTPN11
RAF1	PPI>	BAD
BCAR1	PPI>	LCK
STAT5A	PPI>	MAPK1
STAT5B	PPI>	IL2RB
HSP90AA1	PPI>	MAPK1
PIK3CA	PPI>	APPL1
STAT1	PPI>	JAK2
MET	PPI>	SRC
AKT2	PPI>	MTCP1
KDR	PPI>	CRK
CBL	PPI>	STAT5A
PTK2	PPI>	SYK
RAF1	PPI>	VAV1
PTPN11	PPI>	CHUK
SRC	PPI>	BMX
SOCS1	PPI>	JAK3
RET	PPI>	MAPK8
AKT2	PPI>	PDPK1
PDGFRA	PPI>	STAT3
CTNND1	PPI>	SRC
MAPK1	PPI>	LCK
FLT1	PPI>	PTPN11
PRKCD	PPI>	MAPK3
MS4A2	PPI>	SYK
PIK3R1	PPI>	AKT1
MET	PPI>	CBL
JAK3	PPI>	IL7R
SHB	PPI>	JAK1
AKT1	PPI>	AKT1S1
YWHAB	PPI>	RPS6KA1
PLCG1	PPI>	MET
ABL1	PPI>	ATM
NCF1	PPI>	PRKCD
AKT1	PPI>	NOS3
PIK3R1	PPI>	IL2RB
SRC	PPI>	PIK3R1
PIK3R3	PPI>	INSR
GAB2	PPI>	MAPK3
BRAF	PPI>	YWHAQ
SGK1	PPI>	FOXO3
KHDRBS1	PPI>	MAPK1
PXN	PPI>	ABL1
RAF1	PPI>	YWHAB
GHR	PPI>	STAT5B
PRKCZ	PPI>	SRC
RASA1	PPI>	PDGFRB
EGFR	PPI>	RASA1
CAV1	PPI>	EGFR
YWHAB	PPI>	PRKCD
IFNAR1	PPI>	STAT3
GAB1	PPI>	PTPN11
IRS2	PPI>	FES
IGF1R	PPI>	YWHAZ
CHUK	PPI>	SRC
MAP3K5	PPI>	IGF1R
SOCS3	PPI>	IGF1R
LCK	PPI>	IL2RB
FYN	PPI>	HSP90AA1
PIK3CA	PPI>	RPS6KB1
AKT1S1	PPI>	MTOR
PDGFRB	PPI>	PTPN11
EGFR	PPI>	PRKCD
RAF1	PPI>	SRC
AKT1	PPI>	TNFSF11
PIK3R3	PPI>	IRS1
PTPN2	PPI>	PDGFRB
