source	interaction	target
PIK3R3	directed	AKT1
PIK3R5	directed	AKT3
LAMTOR3	directed	MAPK3
MAP2K2	directed	MAPK1
MAP3K8	directed	IKBKG
PIK3R5	directed	AKT2
AKT1	directed	GSK3B
LAMTOR3	directed	MAPK1
PIK3CG	directed	AKT1
MAP3K1	directed	IKBKB
PIK3CG	directed	AKT2
AKT2	directed	GSK3B
PIK3CA	directed	AKT2
PIK3CG	directed	AKT3
IKBKG	directed	NFKB2
AKT1	directed	IKBKB
PIK3CA	directed	AKT3
MAP2K2	directed	MAP3K8
MAP3K8	directed	IKBKB
PIK3R2	directed	AKT2
AKT3	directed	CHUK
MAP2K1	directed	LAMTOR3
AKT3	directed	IKBKB
MAP3K1	directed	CHUK
MAP2K1	directed	MAPK3
PIK3CA	directed	AKT1
MAPK1	directed	MYC
AKT2	directed	IKBKG
MAP2K1	directed	MAP3K8
MAP3K1	directed	IKBKG
CHUK	directed	NFKB2
PIK3R2	directed	AKT3
PIK3CD	directed	AKT2
PIK3R2	directed	AKT1
MAP2K1	directed	MAPK1
PIK3CD	directed	AKT1
AKT1	directed	IKBKG
MAP3K8	directed	CHUK
AKT3	directed	GSK3B
AKT2	directed	CHUK
MAP3K14	directed	NFKB2
AKT3	directed	IKBKG
AKT1	directed	CHUK
MAP2K2	directed	MAP3K1
MAP2K2	directed	MAPK3
AKT2	directed	IKBKB
PIK3CB	directed	AKT1
MAPK3	directed	MYC
MAP2K2	directed	LAMTOR3
PIK3R1	directed	AKT1
PIK3CB	directed	AKT3
MAP3K8	directed	MAP3K14
PIK3R3	directed	AKT3
PIK3CB	directed	AKT2
GSK3B	directed	MYC
PIK3R5	directed	AKT1
PIK3R1	directed	AKT3
PIK3R3	directed	AKT2
PIK3CD	directed	AKT3
MAP2K1	directed	MAP3K1
IKBKB	directed	NFKB2
PIK3R1	directed	AKT2
