source	interaction	target
PIK3R3	directed	AKT1
PIK3R5	directed	AKT3
MAP3K8	directed	IKBKG
PIK3R5	directed	AKT2
PIK3R2	directed	AKT1
PIK3CG	directed	AKT1
MAP3K1	directed	IKBKB
PIK3CG	directed	AKT2
MAP3K8	directed	CHUK
PIK3CG	directed	AKT3
IKBKG	directed	NFKB2
AKT1	directed	IKBKB
PIK3CA	directed	AKT3
MAP2K2	directed	MAP3K8
MAP3K8	directed	IKBKB
PIK3R2	directed	AKT2
AKT3	directed	CHUK
AKT3	directed	IKBKB
MAP3K1	directed	CHUK
PIK3CA	directed	AKT1
AKT2	directed	IKBKG
MAP2K1	directed	MAP3K8
MAP3K1	directed	IKBKG
CHUK	directed	NFKB2
PIK3R2	directed	AKT3
PIK3CD	directed	AKT2
AKT1	directed	CHUK
PIK3CD	directed	AKT1
AKT1	directed	IKBKG
PIK3CA	directed	AKT2
AKT2	directed	CHUK
MAP3K14	directed	NFKB2
AKT3	directed	IKBKG
PIK3R3	directed	AKT2
AKT2	directed	IKBKB
PIK3CB	directed	AKT1
PIK3R1	directed	AKT1
PIK3CB	directed	AKT3
MAP3K8	directed	MAP3K14
PIK3R3	directed	AKT3
PIK3CB	directed	AKT2
PIK3R5	directed	AKT1
PIK3R1	directed	AKT3
MAP2K2	directed	MAP3K1
PIK3CD	directed	AKT3
MAP2K1	directed	MAP3K1
IKBKB	directed	NFKB2
PIK3R1	directed	AKT2
