source	interaction	target
NR3C1	PPI>	CREB1
MAP2K1	PPI>	GRB10
MAPK3	PPI>	MAPK14
RAF1	PPI>	PRKG1
GRB10	PPI>	SRC
EP300	PPI>	CTNNB1
RAF1	PPI>	PAK1
PRKCI	PPI>	YWHAZ
MAP2K1	PPI>	CDK5
RAF1	PPI>	SRC
MAPK1	PPI>	SMAD4
MAPK14	PPI>	MAPKAPK2
BRAF	PPI>	YWHAG
CDK5	PPI>	ABL1
MAP2K1	PPI>	BRAF
MAPK1	PPI>	PAK1
RPS6KA1	PPI>	CREB1
MAP2K1	PPI>	MYC
ELK1	PPI>	SRF
AKT1	PPI>	CREB1
RPS6KA5	PPI>	CREB1
PAK1	PPI>	AKT1
PRKG1	PPI>	CREB1
RPS6KA3	PPI>	CREB1
MAPK3	PPI>	CEBPB
EP300	PPI>	SMAD4
MAP2K1	PPI>	RAF1
PAK1	PPI>	YWHAG
YWHAZ	PPI>	FOXO1
MAP2K1	PPI>	CASP9
MAP2K1	PPI>	PRKCZ
MAPK1	PPI>	RPS6KA4
BRAF	PPI>	YWHAZ
RPS6KA2	PPI>	CREB1
EP300	PPI>	ABL1
MAPK1	PPI>	RPS6KA3
MAPK14	PPI>	RPS6KA4
MAPK1	PPI>	RPS6KA2
BRAF	PPI>	AKT1
CEBPB	PPI>	CREB1
ELK1	PPI>	CEBPB
CDK5	PPI>	SRC
MAP2K1	PPI>	PAK1
GSK3B	PPI>	FOXO1
CASP9	PPI>	ABL1
EP300	PPI>	AKT1
MAP2K1	PPI>	MAPK1
RPS6KA4	PPI>	MAPK14
CASP9	PPI>	AKT1
PRKCI	PPI>	SRC
MAPK1	PPI>	MAPK14
CDK5	PPI>	GSK3B
MAPK3	PPI>	RPS6KA1
MAP2K1	PPI>	MAPK3
MAPK1	PPI>	NR3C1
MAPK3	PPI>	RPS6KA3
MAP2K1	PPI>	RPS6KA4
YWHAG	PPI>	FOXO1
GSK3B	PPI>	CREB1
SRC	PPI>	FOXO1
ATF1	PPI>	CREB1
ABL1	PPI>	CREB1
MAP2K1	PPI>	EP300
MAP2K1	PPI>	RPS6KA2
ELK1	PPI>	MAPK14
EP300	PPI>	CEBPB
MAPK3	PPI>	RPS6KA4
AKT1	PPI>	FOXO1
PRKCZ	PPI>	GSK3B
CASP9	PPI>	SRF
MAPK1	PPI>	CEBPB
RAF1	PPI>	YWHAZ
MAPKAPK2	PPI>	CREB1
MAPK1	PPI>	RPS6KA1
MAPK3	PPI>	RPS6KA2
MAP2K1	PPI>	ELK1
CEBPB	PPI>	FOXO1
MYC	PPI>	GSK3B
RAF1	PPI>	NR3C1
PRKCZ	PPI>	AKT1
CTNNB1	PPI>	FOXO1
RAF1	PPI>	AKT1
MAP2K1	PPI>	PRKCI
BRAF	PPI>	SGK1
RPS6KA4	PPI>	CREB1
RAF1	PPI>	YWHAG
PAK1	PPI>	FOXO1
MAPK14	PPI>	CREB1
PAK1	PPI>	SMAD4
EP300	PPI>	RPS6KA5
GRB10	PPI>	AKT1
CDK5	PPI>	PAK1
MAP2K1	PPI>	MAPK14
SGK1	PPI>	CREB1
SMAD4	PPI>	FOXO1
MYC	PPI>	CEBPB
PRKCZ	PPI>	SRC
SRF	PPI>	CREB1
RPS6KA4	PPI>	ATF1
