source	interaction	target
ERBB2	PPI>	SRC
JAK1	PPI>	RAF1
PIK3R2	PPI>	FYN
PIK3R1	PPI>	ERBB2
MST1R	PPI>	GRB2
KHDRBS1	PPI>	STUB1
PIK3R1	PPI>	SRC
CBL	PPI>	SHC1
WBP11	PPI>	SRC
CALM3	PPI>	ESR1
AXL	PPI>	SHC1
SRC	PPI>	ESR1
AKT1	PPI>	AKT2
JAK2	PPI>	PTPN6
PDGFRB	PPI>	RAF1
JAK2	PPI>	SHC1
SOS1	PPI>	SHC1
SOS1	PPI>	EGFR
PTPN11	PPI>	CHUK
MAP2K1	PPI>	EGFR
MAPK1	PPI>	ESR1
MAPK1	PPI>	HSP90AA1
MTOR	PPI>	PDPK1
RB1	PPI>	PIK3R1
IGF1R	PPI>	CAV1
MAP2K1	PPI>	PAK1
ERBB3	PPI>	ERBB2
PIK3R3	PPI>	RB1
SYK	PPI>	MAPK3
CRKL	PPI>	BCAR1
BRAF	PPI>	AKT1
ESR1	PPI>	PIK3R1
PIK3R1	PPI>	TYK2
EPOR	PPI>	STAT5A
RB1	PPI>	MAPK1
LCK	PPI>	STAT5A
PIK3R2	PPI>	ERBB3
EPOR	PPI>	GRB2
MAPK1	PPI>	CAV1
PTPN11	PPI>	SHC1
PIK3R1	PPI>	RRAS2
CDH2	PPI>	PTPN1
IGF1R	PPI>	PTPN1
BRAF	PPI>	RAF1
PIK3R2	PPI>	TGFBR1
IFNAR1	PPI>	MAPK1
MAPK1	PPI>	TSC2
CRKL	PPI>	SHC1
TERT	PPI>	AKT1
ERBB2	PPI>	EGFR
PIK3R1	PPI>	EGFR
PECAM1	PPI>	LCK
PIK3R1	PPI>	SYK
LCK	PPI>	PTPN6
STAT3	PPI>	MAPK1
EPOR	PPI>	PTPN6
PIK3R2	PPI>	IRS1
SHC1	PPI>	ESR1
IL2RB	PPI>	STAT5A
ESR1	PPI>	PIK3R3
IL2RB	PPI>	GRB2
CTLA4	PPI>	LCK
YWHAG	PPI>	PAK1
PIK3R1	PPI>	ARAF
SYK	PPI>	SHC1
CDK14	PPI>	RB1
PA2G4	PPI>	RB1
TERT	PPI>	ABL1
PIK3R2	PPI>	SYK
PIK3R1	PPI>	WBP11
INSR	PPI>	CALM3
YWHAB	PPI>	CDC25B
PIK3R1	PPI>	PTPN6
PRKCI	PPI>	CHUK
PDPK1	PPI>	PAK1
EGFR	PPI>	SHC1
YWHAG	PPI>	IGF1R
SHC1	PPI>	STAT5A
STAT3	PPI>	SRC
PTPN1	PPI>	ESR1
PDGFRA	PPI>	CAV1
KIT	PPI>	PRKCB
PIK3R3	PPI>	PIK3CA
PTPN11	PPI>	STAT5A
SRC	PPI>	EGFR
PRKCD	PPI>	SRC
PDPK1	PPI>	AKT2
PDPK1	PPI>	PRKCB
TEC	PPI>	PIK3R1
PIK3R1	PPI>	ERBB3
AKT2	PPI>	ESR1
RPS6KA1	PPI>	GRB2
PDGFRB	PPI>	SRC
PRKCD	PPI>	IGF1R
GNB2L1	PPI>	RB1
APPL1	PPI>	AKT1
ERBB3	PPI>	PIK3R1
IRS1	PPI>	PIK3R1
YWHAB	PPI>	TSC2
UBTF	PPI>	RB1
HSP90AA1	PPI>	ESR1
YWHAG	PPI>	PRKCB
GRB10	PPI>	EGFR
SHC1	PPI>	SRC
IL2RB	PPI>	SHC1
SHC1	PPI>	ERBB2
EGFR	PPI>	CTNNB1
PIK3R1	PPI>	PDGFRA
GRB10	PPI>	RAF1
PTPN6	PPI>	ABL1
PTK2	PPI>	LCK
STAT3	PPI>	LCK
PIK3R2	PPI>	EGFR
IGF1R	PPI>	PIK3R1
PTPN11	PPI>	PRKCB
BCAR1	PPI>	LCK
PIK3CA	PPI>	APPL1
CBL	PPI>	PTPN6
CRKL	PPI>	SOS1
RPS6KB1	PPI>	CSNK2B
MET	PPI>	SRC
TGFBR1	PPI>	PAK1
MAPK3	PPI>	CAV1
TSC2	PPI>	ESR1
GRB2	PPI>	PAK1
CTNNB1	PPI>	SRC
CBL	PPI>	STAT5A
GHR	PPI>	PTPN6
PIK3R3	PPI>	AXL
RPS6KB1	PPI>	MAPK3
PIK3R1	PPI>	RB1
PIK3R2	PPI>	ERBB2
YWHAG	PPI>	AKAP13
SHC1	PPI>	PIK3R1
ABL1	PPI>	PTPN6
ABL1	PPI>	GRB2
ERBB3	PPI>	PA2G4
MAPK1	PPI>	LCK
