source	interaction	target
PIK3R2	PPI>	FYN
RAF1	PPI>	IL2RB
PTPN11	PPI>	CAV1
PIK3R1	PPI>	ERBB2
KHDRBS1	PPI>	STUB1
GHR	PPI>	PTPN11
WBP11	PPI>	SRC
RAF1	PPI>	JAK1
ERBB2	PPI>	PTPN11
AXL	PPI>	SHC1
SRC	PPI>	ESR1
LCK	PPI>	STAT1
PTPN6	PPI>	PTPN11
CRK	PPI>	FLT1
PTPN6	PPI>	ABL1
CRK	PPI>	MAPK8
MAPK1	PPI>	ESR1
CSF2RA	PPI>	CSF2RB
MAPK1	PPI>	HSP90AA1
MTOR	PPI>	PDPK1
SRC	PPI>	PTPN11
EGFR	PPI>	FER
TYK2	PPI>	IFNAR2
IRS2	PPI>	JAK3
SYK	PPI>	MAPK3
CRKL	PPI>	BCAR1
BRAF	PPI>	AKT1
GHR	PPI>	JAK1
IL6R	PPI>	STAT3
ESR1	PPI>	SRC
RB1	PPI>	MAPK1
RASA1	PPI>	FES
CDH2	PPI>	PTPN1
IGF1R	PPI>	PTPN1
BRAF	PPI>	RAF1
PIK3R2	PPI>	TGFBR1
PIK3CA	PPI>	APLP2
FES	PPI>	CSF2RB
LCK	PPI>	PTPN6
EPOR	PPI>	PTPN6
PIK3R2	PPI>	IRS1
IRS1	PPI>	GHR
SHC1	PPI>	ESR1
PIK3R1	PPI>	CSF2RA
EIF2AK2	PPI>	STAT3
ESR1	PPI>	PIK3R3
EPOR	PPI>	PTPN11
FES	PPI>	JAK3
PIK3R1	PPI>	ARAF
SYK	PPI>	SHC1
YWHAG	PPI>	SRC
FYN	PPI>	FLT1
JAK1	PPI>	ELP2
PIK3R2	PPI>	SYK
PIK3R1	PPI>	WBP11
INSR	PPI>	CALM3
YWHAB	PPI>	CDC25B
PIK3R1	PPI>	PTPN6
PDPK1	PPI>	PAK1
YWHAG	PPI>	IGF1R
GAB1	PPI>	PDGFRB
SRC	PPI>	RAF1
PDGFRA	PPI>	CAV1
RET	PPI>	STAT3
AKT2	PPI>	ESR1
KIT	PPI>	CSF2RB
PIK3R1	PPI>	PECAM1
GNB2L1	PPI>	RB1
YWHAB	PPI>	TSC2
PDGFRB	PPI>	STAT1
YWHAG	PPI>	PRKCB
GRB10	PPI>	EGFR
PTPN11	PPI>	JAK2
PTPN11	PPI>	GHR
ERBB2	PPI>	IL6ST
SHC1	PPI>	ERBB2
EGFR	PPI>	CTNNB1
TYK2	PPI>	EIF2AK2
MTOR	PPI>	AKT1
INSR	PPI>	KHDRBS1
JAK1	PPI>	EIF2AK2
EPOR	PPI>	JAK2
JAK1	PPI>	PTPN11
IGF1R	PPI>	PIK3R1
SRC	PPI>	IL6R
BCAR1	PPI>	LCK
TEC	PPI>	BMX
PIK3CA	PPI>	APPL1
RPS6KB1	PPI>	CSNK2B
MET	PPI>	SRC
CBL	PPI>	STAT5A
PTK2	PPI>	SYK
PIK3R3	PPI>	AXL
PTPN11	PPI>	CHUK
SRC	PPI>	BMX
SOCS1	PPI>	JAK3
RET	PPI>	MAPK8
ABL1	PPI>	PTPN6
TSHR	PPI>	JAK2
HRAS	PPI>	MAPK8
PRKCZ	PPI>	IRAK1
PDGFRA	PPI>	STAT3
MAPK1	PPI>	LCK
PIK3R1	PPI>	IFNAR1
PRKCD	PPI>	MAPK3
MET	PPI>	BAG1
YWHAQ	PPI>	CDC25B
AXL	PPI>	PIK3R1
PIK3R1	PPI>	AKT1
PRKCD	PPI>	PTPN6
JAK3	PPI>	IL7R
GNB2L1	PPI>	STAT3
YWHAB	PPI>	RPS6KA1
CDH2	PPI>	CTNNB1
PIK3R1	PPI>	TUBG1
PIK3R1	PPI>	IL2RB
PIK3R3	PPI>	INSR
GAB2	PPI>	MAPK3
ESR1	PPI>	STAT5A
PDGFRA	PPI>	STAT5B
KHDRBS1	PPI>	MAPK1
PTPN6	PPI>	CTNNB1
YWHAQ	PPI>	MDM4
RET	PPI>	SHC1
PRKCZ	PPI>	SRC
YWHAB	PPI>	AKAP13
RASA1	PPI>	PDGFRB
IL7R	PPI>	JAK1
YWHAB	PPI>	PRKCD
IFNAR1	PPI>	STAT3
PRKCD	PPI>	IL6ST
GAB1	PPI>	PTPN11
IRS2	PPI>	FES
IRS2	PPI>	UBTF
AXL	PPI>	PTPN11
LCK	PPI>	IL2RB
PIK3CA	PPI>	RPS6KB1
PDGFRB	PPI>	EIF2AK2
PDGFRB	PPI>	PTPN11
EGFR	PPI>	PRKCD
PTPN6	PPI>	SHC1
RAF1	PPI>	SRC
PIK3R3	PPI>	IRS1
CCR5	PPI>	STAT3
PIK3R1	PPI>	TSHR
GHR	PPI>	STAT3
PRKCZ	PPI>	JAK1
GAB1	PPI>	RET
SRC	PPI>	DGKZ
ABL1	PPI>	RB1
CBL	PPI>	SYK
FLT1	PPI>	STAT3
MAPK3	PPI>	RAF1
MAPK1	PPI>	RB1
IRS1	PPI>	FER
HRAS	PPI>	RAF1
RAF1	PPI>	BAG1
ESR1	PPI>	IGF1R
GAB1	PPI>	MAPK1
LEPR	PPI>	STAT3
MAPK1	PPI>	RPS6KA1
SOCS1	PPI>	PDGFRB
RB1	PPI>	GNB2L1
GRB10	PPI>	GHR
PTK2	PPI>	SRC
ABL1	PPI>	BCAR1
MST1R	PPI>	SRC
TGFBR1	PPI>	CTNNB1
KIT	PPI>	STAT5A
SHC1	PPI>	PTPN11
BRAF	PPI>	MAPK1
PDGFRB	PPI>	STAT5B
MAPK3	PPI>	STAT5A
ESR1	PPI>	HSP90AA1
IL6ST	PPI>	STAT3
SHC1	PPI>	CSF3R
GTF2H1	PPI>	ESR1
SRC	PPI>	CHUK
LCK	PPI>	SYK
PRKCZ	PPI>	MAPK1
FES	PPI>	JAK1
IRS1	PPI>	PTPN11
CALM1	PPI>	ESR1
YWHAG	PPI>	AKAP13
JAK1	PPI>	CSF3R
AKAP13	PPI>	ESR1
CBL	PPI>	SRC
MAP2K1	PPI>	PEBP1
PTPN11	PPI>	FLT1
AKT1	PPI>	RAF1
FYN	PPI>	CSF2RB
PIK3R1	PPI>	CRK
SOCS1	PPI>	EGFR
SYK	PPI>	PIK3R1
SOCS1	PPI>	JAK2
SRC	PPI>	PTPN2
NTRK1	PPI>	MAPK3
JAK1	PPI>	IL7R
PIK3R1	PPI>	RET
IL2RB	PPI>	RAF1
ESR1	PPI>	EGFR
ERBB2	PPI>	JAK2
YWHAB	PPI>	SRC
BCAR1	PPI>	ESR1
PIK3R1	PPI>	JAK2
JAK2	PPI>	STAP2
PAK1	PPI>	MAPK1
EGFR	PPI>	JAK2
IRS1	PPI>	JAK2
INSR	PPI>	IGF1R
EGFR	PPI>	PIK3R1
EGFR	PPI>	PAK1
PIK3R1	PPI>	AXL
IGF1R	PPI>	PIK3R3
CBL	PPI>	LCK
MAP2K1	PPI>	PRKCZ
STAT3	PPI>	GNB2L1
IRS2	PPI>	IGF1R
CSF3R	PPI>	STAT3
STAT3	PPI>	MAPK3
INSR	PPI>	PIK3R3
PIK3R1	PPI>	CD40
IRAK1	PPI>	STAT3
PRKCI	PPI>	SRC
PAK1	PPI>	BMX
MAPK3	PPI>	RPS6KA1
IFNAR1	PPI>	IFNAR2
FYN	PPI>	PDGFRB
IL2RB	PPI>	GNB2L1
SOCS1	PPI>	JAK1
PTPN11	PPI>	ERBB2
PAK1	PPI>	ERBB2
ELP2	PPI>	STAT3
YWHAB	PPI>	RGS3
GAB2	PPI>	PTPN6
PIK3R1	PPI>	KHDRBS1
PECAM1	PPI>	PTPN11
TGFBR1	PPI>	CAV1
IRS2	PPI>	PTPN6
PRKCD	PPI>	GNB2L1
FYN	PPI>	RAF1
PRKCD	PPI>	MAPK1
FYN	PPI>	GNB2L1
AXL	PPI>	PIK3R3
CBL	PPI>	PIK3R1
CTNNB1	PPI>	CHUK
MAPK3	PPI>	SYK
RET	PPI>	PTPN11
IL2RB	PPI>	STAT5B
GAB2	PPI>	PTPN11
LCK	PPI>	CSF2RB
RAF1	PPI>	PAK1
MAPK1	PPI>	PTPN1
PDGFRA	PPI>	PDGFRB
EGFR	PPI>	SRC
STAT5A	PPI>	ESR1
PIK3R1	PPI>	PIK3CA
JAK1	PPI>	FER
SRC	PPI>	KHDRBS1
IL2RB	PPI>	LCK
JAK2	PPI>	SHC1
IFNAR1	PPI>	LCK
PIK3R1	PPI>	TUB
PTPN11	PPI>	STAT5B
PECAM1	PPI>	LCK
TGFBR1	PPI>	CHUK
CRKL	PPI>	SYK
JAK2	PPI>	STAT1
RASA1	PPI>	EGFR
TEK	PPI>	STAT5A
SYN1	PPI>	MAPK3
YWHAQ	PPI>	CDK14
JAK1	PPI>	GNB2L1
MAPK1	PPI>	PRKCD
CRKL	PPI>	IFNAR1
PDPK1	PPI>	SRC
TYK2	PPI>	PTPN1
PIK3R1	PPI>	PDGFRB
MAPK8	PPI>	STAT3
IGF1R	PPI>	JAK1
PIK3R1	PPI>	CRKL
CHUK	PPI>	ESR1
PIK3R1	PPI>	CDH2
MAPK3	PPI>	TSC2
PTPN2	PPI>	STAT3
RET	PPI>	MAPK3
PTPN11	PPI>	RET
IRS1	PPI>	CAV1
LCK	PPI>	ESR1
JAK2	PPI>	STAT5B
PIK3R3	PPI>	ESR1
PRKCD	PPI>	EGFR
IGF1R	PPI>	PTPN11
LCK	PPI>	CSF3R
GAB1	PPI>	MAPK3
JAK2	PPI>	ABL1
