source	interaction	target
PIK3R2	PPI>	FYN
RAF1	PPI>	IL2RB
CBLB	PPI>	EGFR
ERBB2	PPI>	SRC
PIK3R1	PPI>	ERBB2
PTPN11	PPI>	IFNGR1
PIK3R1	PPI>	SRC
IGF1R	PPI>	JAK2
GHR	PPI>	PTPN11
GRB2	PPI>	PDGFRB
RAF1	PPI>	JAK1
JAK1	PPI>	PTPN2
TSHR	PPI>	JAK1
SRC	PPI>	PTK2
PTPN11	PPI>	JAK1
SOCS1	PPI>	FYN
PRKCI	PPI>	RAC1
EGFR	PPI>	PDGFRB
LCK	PPI>	STAT1
PAK1	PPI>	RAC1
PTPN6	PPI>	PTPN11
CRK	PPI>	FLT1
MTOR	PPI>	AKT1
CBL	PPI>	PTPN11
SOS1	PPI>	EGFR
CRK	PPI>	MAPK8
MAP2K1	PPI>	EGFR
SYK	PPI>	TNFRSF1A
STAT3	PPI>	SYK
GRB2	PPI>	KHDRBS1
MAPK1	PPI>	TNFRSF1A
CSF2RA	PPI>	CSF2RB
MTOR	PPI>	PDPK1
MAPK3	PPI>	DUSP3
SRC	PPI>	PTPN11
EGFR	PPI>	FER
TYK2	PPI>	IFNAR2
PTPN11	PPI>	STAT5B
IFNAR1	PPI>	LCK
PTPN6	PPI>	PRKCD
IRS2	PPI>	JAK3
PDGFRB	PPI>	FYN
MAPK1	PPI>	KHDRBS1
PIK3R3	PPI>	RB1
SYK	PPI>	MAPK3
CBLB	PPI>	KIT
BRAF	PPI>	AKT1
JAK1	PPI>	GHR
PIK3R1	PPI>	TYK2
IL6R	PPI>	STAT3
RASA1	PPI>	HCK
ESR1	PPI>	SRC
RB1	PPI>	MAPK1
LCK	PPI>	STAT5A
FYN	PPI>	PTPN11
STAT3	PPI>	STAT1
SOCS1	PPI>	JAK2
RAC1	PPI>	IFNGR1
TEK	PPI>	PTPN11
RET	PPI>	PTK2
RASA1	PPI>	FES
SHC1	PPI>	SYK
PIK3R1	PPI>	AXL
BCAR1	PPI>	HCK
IFNAR1	PPI>	MAPK1
GRB2	PPI>	MET
SRC	PPI>	IGF1R
ERBB2	PPI>	EGFR
GAB2	PPI>	MAPK1
BCAR1	PPI>	FYN
CBL	PPI>	FYN
FES	PPI>	CSF2RB
ABL1	PPI>	HCK
JAK1	PPI>	PDGFRB
HCK	PPI>	CSF2RB
PIK3R1	PPI>	EGFR
YWHAB	PPI>	FER
PIK3R1	PPI>	SYK
FYN	PPI>	KHDRBS1
STAT3	PPI>	PDGFRB
TYK2	PPI>	STAT2
STAT5A	PPI>	STAT3
PIK3R2	PPI>	IRS1
IRS1	PPI>	GHR
PIK3R1	PPI>	CSF2RA
EGFR	PPI>	CAMK2G
IL2RB	PPI>	STAT5A
EIF2AK2	PPI>	STAT3
HCK	PPI>	CSF3R
PTK2B	PPI>	FLT1
CTLA4	PPI>	LCK
EPOR	PPI>	PTPN11
PRKCD	PPI>	RAC1
FES	PPI>	JAK3
YWHAG	PPI>	SRC
FYN	PPI>	FLT1
PTPN11	PPI>	FYN
PTPN11	PPI>	KDR
LCK	PPI>	PTK2B
PTPN11	PPI>	CSF2RB
PIK3R2	PPI>	SYK
PDGFRB	PPI>	TYK2
PIK3R1	PPI>	PTPN6
JAK2	PPI>	PDGFRB
STAT2	PPI>	STAT1
FES	PPI>	STAT3
PRKCD	PPI>	PTK2B
MAPK3	PPI>	STAT3
CTNNB1	PPI>	FYN
PTPN6	PPI>	GHR
GAB1	PPI>	PDGFRB
SHC1	PPI>	STAT5A
STAT3	PPI>	SRC
IFNAR1	PPI>	STAT2
FYN	PPI>	PRKCD
IL7R	PPI>	STAT5A
PIK3R3	PPI>	PIK3CA
PTPN11	PPI>	STAT5A
PTPN11	PPI>	CSF3R
SRC	PPI>	EGFR
PRKCD	PPI>	SRC
IL1RAP	PPI>	STAT3
RET	PPI>	STAT3
PTK2B	PPI>	PTK2
GRB2	PPI>	IL2RB
PTPN11	PPI>	STAT1
BCAR1	PPI>	PTK2B
JAK1	PPI>	TNFRSF1A
KIT	PPI>	CSF2RB
INSR	PPI>	GNB2L1
PDGFRB	PPI>	SRC
FYN	PPI>	PTK2
GHR	PPI>	STAT5A
CD19	PPI>	SYK
FASLG	PPI>	LCK
ESR1	PPI>	MAPK3
GRB2	PPI>	KDR
PDGFRB	PPI>	STAT1
GRB10	PPI>	EGFR
SHC1	PPI>	SRC
PTPN11	PPI>	JAK2
SHC1	PPI>	FYN
PTPN11	PPI>	GHR
ERBB2	PPI>	IL6ST
SOCS1	PPI>	JAK3
PIK3R1	PPI>	PDGFRA
LCK	PPI>	PTPN11
TYK2	PPI>	EIF2AK2
PTK2	PPI>	LCK
STAT3	PPI>	LCK
GRB2	PPI>	FLT1
IFNAR1	PPI>	TYK2
EPOR	PPI>	JAK2
INSR	PPI>	JAK1
JAK1	PPI>	PTPN11
CCR5	PPI>	STAT1
SRC	PPI>	IL6R
BCAR1	PPI>	LCK
IRS1	PPI>	FES
JAK2	PPI>	PTK2B
TEC	PPI>	BMX
PIK3CA	PPI>	APPL1
PTPN11	PPI>	PDGFRB
LCK	PPI>	KIT
STAT3	PPI>	RAC1
TYK2	PPI>	FYN
MAPK1	PPI>	DUSP3
MET	PPI>	SRC
SHC1	PPI>	PDGFRB
CTNNB1	PPI>	SRC
CBL	PPI>	STAT5A
PTK2	PPI>	SYK
HGS	PPI>	MET
PIK3R3	PPI>	AXL
RPS6KB1	PPI>	MAPK3
PIK3R1	PPI>	RB1
JAK2	PPI>	CSF3R
PIK3R2	PPI>	ERBB2
SRC	PPI>	BMX
SHC1	PPI>	JAK2
RET	PPI>	MAPK8
JAK1	PPI>	CSF3R
TSHR	PPI>	JAK2
JAK1	PPI>	IL2RG
SRC	PPI>	PDGFRB
EPOR	PPI>	CSF2RB
SYK	PPI>	IL2RB
STAT3	PPI>	STAT5B
PIK3R2	PPI>	HCK
JAK2	PPI>	CXCR4
PDGFRA	PPI>	STAT3
MAPK1	PPI>	LCK
PIK3R1	PPI>	IFNAR1
PRKCD	PPI>	MAPK3
IFNGR1	PPI>	STAT1
JAK2	PPI>	IFNGR1
CXCR4	PPI>	STAT1
STAT3	PPI>	PDGFRA
AKT1	PPI>	SRC
PIK3R1	PPI>	AKT1
GRB2	PPI>	CSF3R
PIK3R1	PPI>	LCK
JAK3	PPI>	IL7R
GNB2L1	PPI>	STAT3
CRK	PPI>	STAT5A
GAB2	PPI>	SYK
JAK1	PPI>	IGF1R
RPS6KA1	PPI>	MAPK1
FES	PPI>	JAK2
PIK3R1	PPI>	IL2RB
PIK3R3	PPI>	INSR
GAB2	PPI>	MAPK3
PIK3R2	PPI>	AXL
ESR1	PPI>	STAT5A
PDGFRA	PPI>	STAT5B
KHDRBS1	PPI>	MAPK1
GHR	PPI>	STAT5B
GRB2	PPI>	GHR
TYK2	PPI>	PDGFRB
PRKCZ	PPI>	SRC
RASA1	PPI>	PDGFRB
PTPN11	PPI>	EGFR
PIK3R1	PPI>	IGF1R
IL7R	PPI>	JAK1
YWHAB	PPI>	PRKCD
IFNAR1	PPI>	STAT3
PRKCD	PPI>	IL6ST
GAB1	PPI>	PTPN11
IRS2	PPI>	FES
FASLG	PPI>	SRC
PTPN11	PPI>	FLT1
IL2RB	PPI>	STAT3
FYN	PPI>	GNB2L1
AXL	PPI>	PTPN11
LCK	PPI>	IL2RB
PIK3CA	PPI>	RPS6KB1
CTNNB1	PPI>	EGFR
MET	PPI>	STAT3
PDGFRB	PPI>	EIF2AK2
JAK3	PPI>	STAT5A
CD3E	PPI>	LCK
SYK	PPI>	JAK1
CTNNB1	PPI>	FER
PDGFRB	PPI>	PTPN11
EGFR	PPI>	PRKCD
GHR	PPI>	JAK2
RAF1	PPI>	SRC
PTPN6	PPI>	IL6ST
SRC	PPI>	KDR
IFNAR2	PPI>	STAT3
GRB2	PPI>	FYN
CCR5	PPI>	STAT3
PIK3R1	PPI>	CRK
RPS6KB1	PPI>	MAPK1
PIK3R1	PPI>	JAK1
JAK2	PPI>	CSF2RB
LCK	PPI>	MAPK1
PRKCZ	PPI>	JAK1
GAB1	PPI>	RET
PIK3R1	PPI>	CBL
SHC1	PPI>	IL2RG
JAK2	PPI>	PTPN11
CD3E	PPI>	SYK
CBL	PPI>	SYK
RPS6KB1	PPI>	MAPK8
GRB10	PPI>	FYN
PIK3R1	PPI>	GRB2
GRB10	PPI>	PDGFRB
FLT1	PPI>	STAT3
STAT3	PPI>	PTPN11
PIK3CA	PPI>	LCK
RET	PPI>	MAPK1
PIK3CA	PPI>	IRS2
CRK	PPI>	FYN
HCK	PPI>	STAT3
IRS1	PPI>	FER
CRKL	PPI>	SYK
PIK3R1	PPI>	EPOR
GRB10	PPI>	KDR
ESR1	PPI>	IGF1R
GAB1	PPI>	MAPK1
LEPR	PPI>	STAT3
SOCS1	PPI>	PDGFRB
GRB2	PPI>	MAPK1
JAK2	PPI>	TNFRSF1A
IL7R	PPI>	PTK2B
PDGFRB	PPI>	JAK1
RPS6KB1	PPI>	RAC1
CTLA4	PPI>	STAT5B
CD5	PPI>	FYN
RB1	PPI>	GNB2L1
GRB10	PPI>	GHR
PTK2	PPI>	SRC
NTRK1	PPI>	MAPK3
GRB2	PPI>	PTK2
PRKCZ	PPI>	FYN
GRB2	PPI>	TNFRSF1A
RAC1	PPI>	STAT1
PDGFRA	PPI>	JAK1
GRB2	PPI>	PTPN11
