source	interaction	target
IGF1R	PPI>	YWHAZ
SHC1	PPI>	MAPK14
PIK3CA	PPI>	RPS6KB1
PIK3R1	PPI>	SRC
SRC	PPI>	IKBKB
PIK3R1	PPI>	TUB
PIK3R1	PPI>	NTRK1
TGFBR1	PPI>	CHUK
SYK	PPI>	RPS6KA1
MTOR	PPI>	TERT
AKT1	PPI>	IKBKB
MST1R	PPI>	YWHAZ
PIK3R1	PPI>	CRK
PIK3R1	PPI>	JAK1
AKT1	PPI>	AKT2
AKT1	PPI>	YWHAZ
MTOR	PPI>	AKT1
SRC	PPI>	AKT1
PTPN11	PPI>	CHUK
MTOR	PPI>	IRS1
MTOR	PPI>	RHEBL1
AKT1	PPI>	CREB1
YWHAZ	PPI>	FOXO3
MTOR	PPI>	PDPK1
PDPK1	PPI>	AKT1
PIK3R1	PPI>	MAPK8
PDPK1	PPI>	SGK1
ABL1	PPI>	ATM
PIK3CA	PPI>	IRS2
PIK3R2	PPI>	SHC1
AKT1S1	PPI>	AKT1
RPS6KB1	PPI>	XPO1
GAB2	PPI>	AKT1
ATM	PPI>	CREB1
CEBPB	PPI>	CREB1
XPO1	PPI>	FOXO4
AKT1	PPI>	MAPKAPK2
RET	PPI>	MAPK14
AKT2	PPI>	FOXO4
JAK2	PPI>	ABL1
YWHAG	PPI>	FOXO3
PIK3R2	PPI>	TGFBR1
TERT	PPI>	AKT1
AKT1	PPI>	FOXO3
PIK3R1	PPI>	PTPN11
MTOR	PPI>	RPS6KA1
PIK3CA	PPI>	PRKCD
PIK3R1	PPI>	EGFR
AKT1	PPI>	CHUK
PDPK1	PPI>	RPS6KA3
RPS6KA1	PPI>	CREB1
TUB	PPI>	ABL1
IRS1	PPI>	AKT1
PIK3R2	PPI>	IRS1
SRC	PPI>	CHUK
MTOR	PPI>	STAT3
NTRK1	PPI>	ABL1
EGFR	PPI>	YWHAZ
PIK3R3	PPI>	IRS1
YWHAQ	PPI>	YWHAG
PIK3R1	PPI>	MST1R
IRS1	PPI>	YWHAZ
YWHAB	PPI>	YWHAG
PIK3R1	PPI>	IRS1
SRC	PPI>	ABL1
APPL1	PPI>	AKT1
MTOR	PPI>	RHEB
MAPK14	PPI>	CREB1
PIK3R2	PPI>	SYK
PIK3R2	PPI>	EGFR
MTOR	PPI>	AKT1S1
RAC1	PPI>	AKT1
PIK3R1	PPI>	SYK
MAPK8	PPI>	YWHAZ
SGK1	PPI>	CREB1
PIK3CA	PPI>	PIK3R1
PIK3R1	PPI>	AKT1
MTOR	PPI>	RPS6KB1
IRS1	PPI>	YWHAG
PIK3R1	PPI>	YWHAG
PDPK1	PPI>	AKT2
CRK	PPI>	XPO1
YWHAB	PPI>	ABL1
EIF4EBP1	PPI>	MAPK14
CRK	PPI>	ABL1
IRS1	PPI>	CHUK
TGFBR1	PPI>	IKBKB
EIF4EBP1	PPI>	AKT1
PIK3R1	PPI>	RET
TERT	PPI>	ABL1
IGF1R	PPI>	YWHAG
PIK3R3	PPI>	IRS2
PIK3R1	PPI>	SHC1
PIK3R3	PPI>	IGF1R
PIK3R1	PPI>	JAK2
IKBKB	PPI>	FOXO3
CHUK	PPI>	FOXO3
RPS6KA3	PPI>	CREB1
YWHAQ	PPI>	ABL1
ABL1	PPI>	YWHAZ
PIK3R2	PPI>	YWHAB
MST1R	PPI>	AKT1
PIK3CA	PPI>	APPL1
APLP2	PPI>	AKT1
PIK3CA	PPI>	APLP2
AKT1S1	PPI>	YWHAG
TERT	PPI>	XPO1
PDPK1	PPI>	RPS6KA1
STAT3	PPI>	RPS6KA5
YWHAZ	PPI>	FOXO4
PIK3R1	PPI>	ABL1
SRC	PPI>	YWHAG
PIK3R2	PPI>	IGF1R
RHEB	PPI>	ATM
SHC1	PPI>	MAPKAPK2
IRS2	PPI>	YWHAG
RPS6KB1	PPI>	AKT1
ABL1	PPI>	CREB1
EIF4EBP1	PPI>	RPS6KA5
MTOR	PPI>	YWHAQ
PIK3R1	PPI>	GAB2
ABL1	PPI>	YWHAG
PIK3R1	PPI>	RAC1
MAPKAPK2	PPI>	CREB1
MAPK8	PPI>	MAPK14
IRS1	PPI>	IKBKB
PIK3R1	PPI>	IRS2
RPS6KA5	PPI>	CREB1
AKT1	PPI>	FOXO4
RHEBL1	PPI>	AKT1
YWHAB	PPI>	RPS6KA1
EGFR	PPI>	CEBPB
PIK3R2	PPI>	IRS2
IRS2	PPI>	YWHAZ
YWHAB	PPI>	IKBKB
YWHAG	PPI>	ABL1
RPS6KA1	PPI>	CEBPB
PIK3R1	PPI>	TGFBR1
PRKCD	PPI>	YWHAG
AKT1S1	PPI>	AKT2
JAK1	PPI>	ABL1
SGK1	PPI>	FOXO3
PRKCD	PPI>	YWHAZ
EIF4EBP1	PPI>	ATM
APPL1	PPI>	AKT2
MTOR	PPI>	EIF4EBP1
PIK3R1	PPI>	IGF1R
