source	interaction	target
ERBB2	PPI>	SRC
RAF1	PPI>	IL2RB
MYC	PPI>	MAPK8
PIK3R1	PPI>	ERBB2
EP300	PPI>	STAT1
PIK3R1	PPI>	SRC
GHR	PPI>	PTPN11
RAF1	PPI>	JAK1
JAK1	PPI>	PTPN2
SRC	PPI>	PTK2
PTPN11	PPI>	JAK1
CRK	PPI>	STAT5B
LCK	PPI>	STAT1
SP1	PPI>	SMAD4
ERBB2	PPI>	PAK1
CRK	PPI>	MAPK8
PTK2	PPI>	GSK3B
AKT1	PPI>	CREB1
MAPK1	PPI>	TNFRSF1A
MAPK1	PPI>	HSP90AA1
RAF1	PPI>	NRAS
NRAS	PPI>	SMAD4
MAPK3	PPI>	DUSP3
EP300	PPI>	STAT5A
SRC	PPI>	PTPN11
AKT1	PPI>	IRAK1
CDK5	PPI>	PTPN2
SYK	PPI>	MAPK3
BRAF	PPI>	AKT1
JAK1	PPI>	GHR
MAPK14	PPI>	MAPK8
MAP3K7	PPI>	STAT3
CEBPB	PPI>	CREB1
EPOR	PPI>	STAT5A
RB1	PPI>	MAPK1
LCK	PPI>	STAT5A
MAPK1	PPI>	TOB1
MAPK1	PPI>	STAT5B
RET	PPI>	PTK2
SHC1	PPI>	SYK
IFNAR1	PPI>	MAPK1
RAF1	PPI>	NR3C1
GRB10	PPI>	JAK2
MAP2K1	PPI>	RPS6KA2
JAK1	PPI>	PDGFRB
ELK1	PPI>	MAPK14
MAPK3	PPI>	RPS6KA4
JAK2	PPI>	STAT1
PAK1	PPI>	MAPK1
STAT5A	PPI>	STAT3
IRS1	PPI>	GHR
IL2RB	PPI>	STAT5A
EPOR	PPI>	PTPN11
EP300	PPI>	MEF2A
MAPK1	PPI>	IFNAR1
PTPN11	PPI>	KDR
PRKCI	PPI>	SQSTM1
JAK2	PPI>	PDGFRB
CDK5	PPI>	PAK1
MAPK3	PPI>	STAT3
MAPK8	PPI>	JUND
ATF1	PPI>	CREB1
MYC	PPI>	UBB
SHC1	PPI>	STAT5A
MAPK14	PPI>	MAP3K7
MEF2A	PPI>	SMAD4
PTPN11	PPI>	STAT5A
NR3C1	PPI>	CREB1
RET	PPI>	STAT3
PTPN11	PPI>	STAT1
JAK1	PPI>	TNFRSF1A
PDGFRB	PPI>	SRC
RPS6KA2	PPI>	MAPK3
PDGFRB	PPI>	STAT1
SHC1	PPI>	SRC
PTPN11	PPI>	JAK2
PTPN11	PPI>	GHR
PTK2	PPI>	LCK
EPOR	PPI>	JAK2
JAK1	PPI>	PTPN11
MAPK3	PPI>	JUND
CASP9	PPI>	MAPK1
IRS1	PPI>	PTPN11
JUND	PPI>	SMAD4
MAPK1	PPI>	GATA2
EP300	PPI>	CTNNB1
MYC	PPI>	HSP90AA1
EP300	PPI>	STAT5B
ERBB2	PPI>	ERBB2IP
RPS6KA2	PPI>	CREB1
PTPN11	PPI>	PDGFRB
MAPK1	PPI>	DUSP3
MAPK1	PPI>	RPS6KA2
SHC1	PPI>	PDGFRB
CTNNB1	PPI>	SRC
PTK2	PPI>	SYK
ELK1	PPI>	CEBPB
EP300	PPI>	AKT1
PIK3R1	PPI>	RB1
CASP9	PPI>	AKT1
MAPK3	PPI>	MAPK14
MAPK1	PPI>	MAPK14
SRC	PPI>	BMX
SHC1	PPI>	JAK2
RET	PPI>	MAPK8
SYK	PPI>	TNFRSF1A
RB1	PPI>	CEBPB
SRC	PPI>	PDGFRB
PRKCZ	PPI>	IRAK1
SYK	PPI>	IL2RB
MAPK14	PPI>	MAPK1
MAPK1	PPI>	LCK
PIK3R1	PPI>	IFNAR1
PRKCZ	PPI>	GSK3B
MYC	PPI>	CEBPB
ERBB2	PPI>	TOB1
EP300	PPI>	ABL1
AKT1	PPI>	SRC
PIK3R1	PPI>	AKT1
MYC	PPI>	GSK3B
PIK3R1	PPI>	LCK
AKT1	PPI>	GATA2
CRK	PPI>	STAT5A
SYK	PPI>	UBB
GAB2	PPI>	SYK
PTPN11	PPI>	SRC
MAP2K1	PPI>	MAPK14
PIK3R1	PPI>	IL2RB
PAK1	PPI>	FOXO1
GAB2	PPI>	MAPK3
MAPK8	PPI>	STAT3
PRKCI	PPI>	IRAK1
MAPK14	PPI>	MEF2A
KHDRBS1	PPI>	MAPK1
GHR	PPI>	STAT5B
PRKCZ	PPI>	SRC
SRF	PPI>	CREB1
PIK3R1	PPI>	IGF1R
IFNAR1	PPI>	STAT3
GAB1	PPI>	PTPN11
HSP90AA1	PPI>	STAT3
IL2RB	PPI>	STAT3
LCK	PPI>	IL2RB
RB1	PPI>	ATF2
SYK	PPI>	JAK1
PDGFRB	PPI>	PTPN11
RAF1	PPI>	SRC
SRC	PPI>	KDR
RPS6KA4	PPI>	FOS
PIK3R1	PPI>	JAK1
GHR	PPI>	STAT3
PRKCZ	PPI>	JAK1
GAB1	PPI>	RET
KIT	PPI>	ABL1
JAK2	PPI>	PTPN11
MAPK3	PPI>	CEBPB
MAPK8	PPI>	HSF1
GRB10	PPI>	PDGFRB
STAT1	PPI>	STAT3
RET	PPI>	MAPK1
CRK	PPI>	KDR
SRC	PPI>	STAT1
MAPK1	PPI>	RPS6KA3
MAPK14	PPI>	RPS6KA4
PIK3R1	PPI>	EPOR
GRB10	PPI>	KDR
CTNNB1	PPI>	SMAD4
MAPK1	PPI>	RPS6KA1
JAK2	PPI>	TNFRSF1A
SRC	PPI>	SRF
RET	PPI>	MAPK14
KIT	PPI>	JAK2
PTK2	PPI>	SRC
MAPK1	PPI>	KHDRBS1
MST1R	PPI>	SRC
STMN1	PPI>	STAT3
RB1	PPI>	ABL1
KIT	PPI>	STAT5A
SHC1	PPI>	PTPN11
BRAF	PPI>	MAPK1
SHC1	PPI>	RET
PDGFRB	PPI>	STAT5B
LCK	PPI>	NR3C1
TNFRSF1A	PPI>	STAT1
MAPK3	PPI>	STAT5A
ERBB2	PPI>	PTPN11
RPS6KA1	PPI>	CREB1
INSR	PPI>	STAT5A
ATF2	PPI>	SMAD4
GHR	PPI>	JAK1
PTK2	PPI>	STAT1
PTK2	PPI>	PDGFRB
LCK	PPI>	SYK
GAB2	PPI>	LCK
MYC	PPI>	SP1
AKT1	PPI>	GATA1
MAP2K1	PPI>	PLK3
PIK3R1	PPI>	IRS1
PTPN11	PPI>	PTK2
PRKCZ	PPI>	MAPK1
BRAF	PPI>	SGK1
PTPN11	PPI>	TNFRSF1A
MAPK14	PPI>	CREB1
MYC	PPI>	MAPK3
GAB2	PPI>	SRC
CASP9	PPI>	SRF
AKT1	PPI>	MAPKAPK2
MAP2K1	PPI>	PEBP1
MAPK3	PPI>	LCK
ELK1	PPI>	MAPK3
PIK3R1	PPI>	CRK
SRC	PPI>	PTPN2
IFNAR1	PPI>	PTPN11
RPS6KA5	PPI>	STAT3
PIK3R1	PPI>	RET
PTPN11	PPI>	STAT3
ERBB2	PPI>	JAK2
IL2RB	PPI>	SYK
SYK	PPI>	STAT5A
PIK3R1	PPI>	JAK2
AKT1	PPI>	PAK1
PIK3R1	PPI>	RRAS2
MAPK14	PPI>	STAT1
MAP2K1	PPI>	MYC
IRS1	PPI>	JAK2
INSR	PPI>	IGF1R
PRKG1	PPI>	CREB1
EP300	PPI>	SMAD4
DUSP3	PPI>	STAT1
UBB	PPI>	SMAD4
JAK1	PPI>	SYK
AKT1	PPI>	SMAD4
INSR	PPI>	SRC
MST1R	PPI>	AKT1
CASP9	PPI>	MAPK3
IGF1R	PPI>	STAT3
JAK1	PPI>	ABL1
SRC	PPI>	KIT
ABL1	PPI>	JAK2
PIK3R1	PPI>	CD40
SHC1	PPI>	PTPN2
