source	interaction	target
EP300	PPI>	RPS6KA5
ERBB2	PPI>	SRC
CRK	PPI>	KDR
RAF1	PPI>	IL2RB
CASP9	PPI>	ABL1
PIK3R1	PPI>	ERBB2
EP300	PPI>	STAT1
PIK3R1	PPI>	SRC
PIAS2	PPI>	SMAD4
RAF1	PPI>	JAK1
JAK1	PPI>	PTPN2
JAK2	PPI>	STAT1
MYC	PPI>	EP300
MST1R	PPI>	AKT1
SP1	PPI>	SMAD4
RAF1	PPI>	RRAS2
ERBB2	PPI>	PAK1
CDK5	PPI>	SRC
AKT1	PPI>	CREB1
IRS1	PPI>	JAK1
MAPK1	PPI>	TNFRSF1A
SYK	PPI>	UBB
RAF1	PPI>	NRAS
NRAS	PPI>	SMAD4
PIK3R1	PPI>	PDGFRB
MAPK8	PPI>	STAT3
IGF1R	PPI>	JAK1
MAPK3	PPI>	DUSP3
EP300	PPI>	STAT5A
PIK3R1	PPI>	CDH2
AKT1	PPI>	GSK3B
CDK5	PPI>	MEF2A
CDK5	PPI>	PTPN2
BRAF	PPI>	AKT1
MAP2K1	PPI>	ELK1
CEBPB	PPI>	CREB1
JAK2	PPI>	STAT5B
MAP2K1	PPI>	PAK1
EPOR	PPI>	STAT5A
RB1	PPI>	MAPK1
AKT1	PPI>	MAPKAPK2
IGF1R	PPI>	SRC
MAPK1	PPI>	STAT5B
JAK2	PPI>	ABL1
PIK3R1	PPI>	RRAS2
SHC1	PPI>	SYK
IFNAR1	PPI>	MAPK1
SYK	PPI>	RPS6KA1
PEBP1	PPI>	MAPK1
MST1R	PPI>	JAK2
RAF1	PPI>	NR3C1
GRB10	PPI>	JAK2
MAP2K1	PPI>	RPS6KA2
JAK1	PPI>	PDGFRB
ELK1	PPI>	MAPK14
MAPK3	PPI>	RPS6KA4
RAF1	PPI>	PDGFRB
AKT1	PPI>	FOXO1
PIK3R1	PPI>	SYK
MAPK8	PPI>	ATF2
IRS1	PPI>	AKT1
ELK1	PPI>	CEBPB
SHC1	PPI>	PTPN2
IL2RB	PPI>	STAT5A
EP300	PPI>	MEF2A
CTNNB1	PPI>	EP300
RPS6KA4	PPI>	CREB1
AKT1	PPI>	STAT1
MAPK1	PPI>	SP1
JAK1	PPI>	STAT1
