source	interaction	target
PIK3R2	PPI>	FYN
IL2RB	PPI>	LCK
LCK	PPI>	JAK3
PIK3R1	PPI>	SRC
SHC1	PPI>	EGFR
GHR	PPI>	PTPN11
PTPN11	PPI>	STAT5B
IGF1R	PPI>	PRKCD
IRS1	PPI>	GHR
JAK1	PPI>	PTPN2
PDPK1	PPI>	RPS6KA3
TERT	PPI>	SRC
PTPN11	PPI>	JAK1
EGFR	PPI>	STAT3
EGFR	PPI>	PDGFRB
LCK	PPI>	STAT1
AKT1	PPI>	YWHAZ
CRK	PPI>	FLT1
MTOR	PPI>	AKT1
PIK3R1	PPI>	JAK3
CRK	PPI>	MAPK8
MTOR	PPI>	IRS1
PDPK1	PPI>	SRC
AKT1	PPI>	CREB1
SHC1	PPI>	STAT5A
IRS1	PPI>	JAK1
AKT1	PPI>	SRC
TSLP	PPI>	STAT3
MTOR	PPI>	PDPK1
PIK3R1	PPI>	PDGFRB
MAPK8	PPI>	STAT3
IGF1R	PPI>	JAK1
PDPK1	PPI>	SGK1
SRC	PPI>	PTPN11
EGFR	PPI>	FER
JAK2	PPI>	CSF2RB
PIK3R2	PPI>	SHC1
IRS2	PPI>	JAK3
AKT1S1	PPI>	AKT1
PTPN2	PPI>	STAT3
SYK	PPI>	MAPK3
PIK3R1	PPI>	TUB
PTK2B	PPI>	PTPN11
PTK2B	PPI>	JAK3
JAK1	PPI>	FER
IGF1R	PPI>	STAT3
PIK3R1	PPI>	TYK2
CEBPB	PPI>	CREB1
JAK2	PPI>	STAT5B
CRK	PPI>	PDGFRA
AKT2	PPI>	FOXO4
PRKCD	PPI>	EGFR
LCK	PPI>	STAT5A
FYN	PPI>	PTPN11
AKT1	PPI>	MAPKAPK2
LCK	PPI>	CSF3R
SOCS1	PPI>	JAK2
AKT1	PPI>	GATA1
JAK2	PPI>	ABL1
PDGFRB	PPI>	STAT5B
PIK3R2	PPI>	YWHAB
EGFR	PPI>	PRKCD
IL7R	PPI>	STAT5A
MST1R	PPI>	JAK2
PIK3CA	PPI>	APLP2
TERT	PPI>	AKT1
EGFR	PPI>	STAT5B
EGFR	PPI>	PTPN2
MTOR	PPI>	TERT
FES	PPI>	CSF2RB
PIK3CA	PPI>	PRKCD
SRC	PPI>	PRKCD
JAK1	PPI>	PDGFRB
IL23R	PPI>	STAT3
PIK3R1	PPI>	EGFR
YWHAB	PPI>	FER
PTPN11	PPI>	LCK
PIK3R1	PPI>	SYK
TUB	PPI>	ABL1
IRS1	PPI>	AKT1
STAT5A	PPI>	STAT3
PIK3R2	PPI>	IRS1
MAPK1	PPI>	STAT3
PTK2	PPI>	JAK2
AKT1	PPI>	HSP90AA1
SHC1	PPI>	PTPN11
NTRK1	PPI>	ABL1
IL2RB	PPI>	STAT5A
LCK	PPI>	STAT3
PTK2B	PPI>	FLT1
IRS1	PPI>	YWHAZ
JAK2	PPI>	GHR
