source	interaction	target
EP300	PPI>	RPS6KA5
CASP6	PPI>	RB1
MAPK3	PPI>	RPS6KA4
PIAS2	PPI>	SMAD4
EP300	PPI>	FOXO3
MAPK1	PPI>	RB1
MAP2K1	PPI>	GRB10
MAPK1	PPI>	CASP8
MAP2K1	PPI>	CDK5
MAPK3	PPI>	RPS6KA2
EP300	PPI>	RB1
MAPK3	PPI>	UBTF
PHB	PPI>	RB1
MAPK14	PPI>	MAPKAPK2
RPS6KA4	PPI>	FOS
CDK5	PPI>	ABL1
MAP2K1	PPI>	BRAF
UBTF	PPI>	RB1
PPP1CC	PPI>	RB1
RPS6KA4	PPI>	MAPK1
PRKCZ	PPI>	CASP8
SPIB	PPI>	RB1
ELK1	PPI>	MAPK9
AKT1	PPI>	CREB1
ABL1	PPI>	RB1
SQSTM1	PPI>	SMAD4
MAPK3	PPI>	CEBPB
CASP9	PPI>	CASP3
RPS6KA2	PPI>	CREB1
NRAS	PPI>	SMAD4
CDK5	PPI>	PURA
CASP9	PPI>	SRF
MAP2K1	PPI>	CASP9
JUNB	PPI>	SMAD4
CASP7	PPI>	RB1
EP300	PPI>	MDM4
RAF1	PPI>	PPP1CC
EP300	PPI>	ABL1
MAPK14	PPI>	CREB1
MAPK14	PPI>	RPS6KA4
TOB1	PPI>	SMAD4
RAF1	PPI>	BAG1
BRAF	PPI>	AKT1
CCND2	PPI>	RB1
FOXO3	PPI>	SMAD4
CEBPB	PPI>	CREB1
MAPK1	PPI>	RPS6KA1
ELK1	PPI>	MAPK1
MAP2K1	PPI>	PAK1
RPS6KA5	PPI>	CREB1
CASP10	PPI>	RB1
MAPK1	PPI>	JUND
CASP9	PPI>	CASP10
CDK5	PPI>	GSK3B
MAPK1	PPI>	RPS6KA2
BRAF	PPI>	RAF1
PEBP1	PPI>	RAF1
MAPK1	PPI>	RAF1
MAP2K1	PPI>	RPS6KA4
RHOJ	PPI>	SMAD4
PRKCZ	PPI>	CASP6
BRAF	PPI>	MAPK1
GSK3B	PPI>	CREB1
MAPK1	PPI>	TOB1
CDK5	PPI>	CCND2
MAP2K1	PPI>	EP300
