Name	AZD-8055_1	WYE-125132_2	sirolimus_3	torin-1_4	AZD-8055_5	WYE-125132_6	sirolimus_7	torin-1_8	AZD-8055_9	BRD-K94012289_10	WYE-125132_11	sirolimus_12	torin-1_13	AZD-8055_14	BRD-K94012289_15	WYE-125132_16	sirolimus_17	AZD-8055_18	BRD-K94012289_19	WYE-125132_20	sirolimus_21	AZD-8055_22	BRD-K94012289_23	sirolimus_24	GSK-2126458_25	GSK-2126458_26	GDC-0941_27	GSK-1059615_28	GSK-2126458_29	PI-103_30	ZSTK-474_31	GDC-0941_32	GSK-1059615_33	GSK-2126458_34	PI-103_35	ZSTK-474_36	torin-1_37	GDC-0941_38	GSK-1059615_39	GSK-2126458_40	PI-103_41	ZSTK-474_42	GDC-0941_43	GSK-1059615_44	PI-103_45	WYE-125132_46	ZSTK-474_47	torin-1_48	BRD-A18328003_49	NVP-BEZ235_50	torin-2_51	BRD-A18328003_52	NVP-BEZ235_53	torin-2_54	BRD-A18328003_55	GSK-1059615_56	NVP-BEZ235_57	torin-2_58	BRD-A18328003_59	GSK-1059615_60	NVP-BEZ235_61	BRD-A18328003_62	GSK-1059615_63	NVP-BEZ235_64	torin-2_65	BRD-A18328003_66	BRD-K29395450_67	GSK-1059615_68	NVP-BEZ235_69	buparlisib_70	BRD-K54997624_71	BRD-K54997624_72	buparlisib_73	AZD-6482_74	BRD-K54997624_75	buparlisib_76	AZD-6482_77	BRD-K54997624_78	PD-0325901_79	AZD-8330_80	PD-0325901_81	trametinib_82	AZD-8330_83	PD-0325901_84	selumetinib_85	trametinib_86	PD-184352_87	selumetinib_88	trametinib_89	AS-605240_90	AZD-8330_91	PD-0325901_92	PD-184352_93	selumetinib_94	trametinib_95	BRD-K94012289_96	SAR-245408_97
RPTOR	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333	0	0	0	0	0	0	0	0	0.333333333333	0	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0	0.333333333333	0.333333333333	0.333333333333	0	0.333333333333	0.333333333333	0	0.333333333333	0.333333333333	0.333333333333	0	0	0.333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333	0
PIK3C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0	0.0714285714286	0	0	0	0	0	0	0	0	0.0714285714286	0	0	0	0.0714285714286	0	0	0.0714285714286	0	0	0	0.0714285714286	0.0714285714286	0	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0	0	0	0	0	0	0	0	0	0	0	0.0714285714286	0	0	0	0	0	0	0.0714285714286
PIK3R6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0	0.0714285714286	0	0	0	0	0	0	0	0	0.0714285714286	0	0	0	0.0714285714286	0	0	0.0714285714286	0	0	0	0.0714285714286	0.0714285714286	0	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0	0	0	0	0	0	0	0	0	0	0	0.0714285714286	0	0	0	0	0	0	0.0714285714286
PIK3CA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0	0.0714285714286	0	0	0	0	0	0	0	0	0.0714285714286	0	0	0	0.0714285714286	0	0	0.0714285714286	0	0	0	0.0714285714286	0.0714285714286	0	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0	0	0	0	0	0	0	0	0	0	0	0.0714285714286	0	0	0	0	0	0	0.0714285714286
PIK3CB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0	0.0714285714286	0	0	0	0	0	0	0	0	0.0714285714286	0	0	0	0.0714285714286	0	0	0.0714285714286	0	0	0	0.0714285714286	0.0714285714286	0	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0	0	0	0	0	0	0	0	0	0	0	0.0714285714286	0	0	0	0	0	0	0.0714285714286
PIK3CD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0	0.0714285714286	0	0	0	0	0	0	0	0	0.0714285714286	0	0	0	0.0714285714286	0	0	0.0714285714286	0	0	0	0.0714285714286	0.0714285714286	0	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0	0	0	0	0	0	0	0	0	0	0	0.0714285714286	0	0	0	0	0	0	0.0714285714286
PIK3R5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0	0.0714285714286	0	0	0	0	0	0	0	0	0.0714285714286	0	0	0	0.0714285714286	0	0	0.0714285714286	0	0	0	0.0714285714286	0.0714285714286	0	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0	0	0	0	0	0	0	0	0	0	0	0.0714285714286	0	0	0	0	0	0	0.0714285714286
MAP2K1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0	0
PIK3CG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0	0.0714285714286	0	0	0	0	0	0	0	0	0.0714285714286	0	0	0	0.0714285714286	0	0	0.0714285714286	0	0	0	0.0714285714286	0.0714285714286	0	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0.0714285714286	0	0	0	0	0	0	0	0	0	0	0	0.0714285714286	0	0	0	0	0	0	0.0714285714286
MAP2K2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0	0
