source	interaction	target
PIK3R3	directed	AKT1
BRAF	directed	MAP2K2
PIK3R5	directed	AKT3
LAMTOR3	directed	MAPK3
PIK3CD	directed	AKT2
PIK3R5	directed	AKT2
LAMTOR3	directed	MAPK1
PIK3CG	directed	AKT1
PIK3CG	directed	AKT2
AKT2	directed	GSK3B
PIK3CA	directed	AKT2
PIK3CG	directed	AKT3
PIK3CA	directed	AKT3
PIK3R2	directed	AKT2
MAP2K1	directed	LAMTOR3
PIK3R2	directed	AKT3
MAP2K1	directed	MAPK3
PIK3CA	directed	AKT1
MAPK1	directed	MYC
PIK3CD	directed	AKT3
MAP2K2	directed	MAPK1
PIK3R2	directed	AKT1
MAP2K1	directed	MAPK1
PIK3CD	directed	AKT1
AKT3	directed	GSK3B
MAP2K2	directed	MAPK3
AKT1	directed	GSK3B
PIK3CB	directed	AKT1
MAPK3	directed	MYC
MAP2K2	directed	LAMTOR3
PIK3R1	directed	AKT1
PIK3CB	directed	AKT3
BRAF	directed	MAP2K1
PIK3R3	directed	AKT3
PIK3CB	directed	AKT2
GSK3B	directed	MYC
PIK3R5	directed	AKT1
PIK3R1	directed	AKT3
PIK3R3	directed	AKT2
PIK3R1	directed	AKT2
