source	interaction	target
PIK3R3	directed	AKT1
BRAF	directed	MAP2K2
LAMTOR3	directed	MAPK3
LAMTOR3	directed	MAPK1
PIK3CG	directed	AKT1
MAP3K1	directed	IKBKB
PIK3CG	directed	AKT2
PIK3R5	directed	PDPK1
AKT2	directed	GSK3B
MAP3K8	directed	CHUK
PIK3CG	directed	AKT3
IKBKG	directed	NFKB2
AKT1	directed	IKBKB
MAP2K2	directed	MAP3K8
AKT2	directed	CHUK
AKT1	directed	CREB1
AKT3	directed	CHUK
PIK3CD	directed	PDPK1
PIK3R2	directed	AKT3
AKT2	directed	IKBKG
MAP2K1	directed	MAP3K8
MAP3K1	directed	IKBKG
CHUK	directed	NFKB2
PIK3CD	directed	AKT2
PIK3R2	directed	AKT1
PIK3CB	directed	PDPK1
AKT2	directed	CREB1
PIK3CD	directed	AKT1
AKT1	directed	IKBKG
MAP3K14	directed	NFKB2
AKT1	directed	GSK3B
PIK3R3	directed	PDPK1
PIK3R2	directed	PDPK1
AKT2	directed	IKBKB
MAPK3	directed	MYC
PIK3R1	directed	AKT1
PIK3CG	directed	PDPK1
GSK3B	directed	MYC
PIK3R5	directed	AKT1
PIK3R1	directed	AKT3
PIK3R1	directed	AKT2
PIK3R5	directed	AKT3
MAP2K1	directed	RAF1
MAP3K8	directed	IKBKG
PIK3R5	directed	AKT2
MAP2K2	directed	RAF1
PIK3CA	directed	AKT2
RAF1	directed	AKT2
PIK3CA	directed	AKT3
MAP3K8	directed	IKBKB
MAP2K1	directed	LAMTOR3
AKT3	directed	IKBKB
MAP3K1	directed	CHUK
MAP2K1	directed	MAPK3
PIK3CA	directed	AKT1
MAPK1	directed	MYC
PDPK1	directed	AKT3
MAP2K2	directed	MAPK1
AKT1	directed	CHUK
MAP2K1	directed	MAPK1
PDPK1	directed	AKT1
AKT3	directed	GSK3B
MAP2K2	directed	MAPK3
PIK3R1	directed	PDPK1
AKT3	directed	IKBKG
MAP2K2	directed	MAP3K1
PIK3CA	directed	PDPK1
PIK3CB	directed	AKT1
PIK3R2	directed	AKT2
AKT3	directed	CREB1
MAP2K2	directed	LAMTOR3
RAF1	directed	AKT3
PIK3CB	directed	AKT3
BRAF	directed	MAP2K1
MAP3K8	directed	MAP3K14
PIK3R3	directed	AKT3
PIK3CB	directed	AKT2
PDPK1	directed	AKT2
RAF1	directed	AKT1
PIK3R3	directed	AKT2
PIK3CD	directed	AKT3
MAP2K1	directed	MAP3K1
IKBKB	directed	NFKB2
