source	interaction	target
PIK3R3	directed	AKT1
PIK3CD	directed	AKT2
PIK3R2	directed	AKT1
PIK3R5	directed	AKT3
PIK3CD	directed	AKT1
PIK3R5	directed	AKT2
PIK3CA	directed	AKT2
AKT3	directed	MDM2
PIK3CG	directed	AKT1
PIK3CG	directed	AKT2
PIK3CB	directed	AKT1
AKT1	directed	MDM2
PIK3CG	directed	AKT3
AKT2	directed	MDM2
PIK3CA	directed	AKT3
PIK3R1	directed	AKT1
MDM2	directed	TP53
PIK3CB	directed	AKT3
PIK3R2	directed	AKT2
PIK3R3	directed	AKT3
PIK3CB	directed	AKT2
PIK3R2	directed	AKT3
PIK3R5	directed	AKT1
PIK3CA	directed	AKT1
PIK3R1	directed	AKT3
PIK3R3	directed	AKT2
PIK3CD	directed	AKT3
PIK3R1	directed	AKT2
