Key	Type	QL-XII-47_0.37	BX-912_10	selumetinib_1.11	GDC-0941_0.37	BRD-U51024685_10	BRD-K88573743_0.04	AS-601245_10	AS-601245_1.11	dasatinib_0.37	lapatinib_10	BRD-U61997977_0.37	PI-103_1.11	GSK-1059615_1.11	PD-184352_3.33	AZD-8330_0.37	NVP-BEZ235_0.04	pelitinib_0.04	WYE-125132_0.04	erlotinib_0.37	PHA-665752_10	trametinib_3.33	BRD-U60236422_3.33	NVP-BEZ235_0.37	erlotinib_10	BRD-K54997624_3.33	BRD-K88573743_0.12	QL-X-138_10	BRD-K88573743_10	BRD-K54997624_10	BRD-K94012289_10	GSK-2126458_1.11	afatinib_10	BRD-U51024685_3.33	ZSTK-474_3.33	neratinib_3.33	canertinib_0.04	BRD-K54997624_1.11	JW-7-24-1_10	BRD-K24496482_10	BRD-A18328003_0.37	saracatinib_10	GSK-1059615_3.33	ZSTK-474_10	PI-103_0.37	JW-7-24-1_3.33	WYE-125132_0.37	BRD-K88573743_1.11	QL-X-138_3.33	afatinib_1.11	fostamatinib_10	GSK-2126458_3.33	BRD-K29395450_10	gefitinib_0.37	AZD-8330_1.11	AZD-8055_10	trametinib_1.11	neratinib_0.04	nilotinib_10	LDN-193189_3.33	sirolimus_0.37	canertinib_0.12	buparlisib_3.33	GSK-2126458_0.37	torin-2_0.04	BRD-K24496482_1.11	torin-1_10	AZD-8055_3.33	saracatinib_3.33	QL-XII-47_1.11	BRD-A18328003_0.04	JW-7-24-1_1.11	foretinib_10	sorafenib_10	PD-0325901_10	PD-0325901_1.11	AZD-8055_0.04	GSK-1059615_10	canertinib_3.33	WYE-125132_3.33	trametinib_0.37	gefitinib_3.33	GDC-0941_1.11	AZD-6482_10	SU-11274_10	NVP-BEZ235_3.33	QL-X-138_1.11	BRD-U61997977_1.11	afatinib_0.12	PI-103_3.33	buparlisib_1.11	AZD-8055_0.12	BRD-U61997977_0.12	pelitinib_10	PD-0325901_0.12	BRD-U61997977_10	AZD-8055_0.37	PD-0325901_0.37	GDC-0941_10	BRD-A18328003_0.12	selumetinib_10	torin-2_3.33	afatinib_0.04	BRD-K20696416_10	sirolimus_0.12	MK-2206_3.33	JNK-9L_10	canertinib_0.37	NVP-BEZ235_1.11	erlotinib_3.33	NVP-BEZ235_10	BRD-A18328003_1.11	GSK-2126458_0.12	sirolimus_0.04	BRD-U60236422_10	BRD-K94012289_3.33	vemurafenib_10	torin-1_0.37	BRD-U60236422_1.11	NVP-TAE684_10	AKT-inhibitor-1-2_10	dovitinib_10	PI-103_10	torin-2_0.12	AZD-8330_10	buparlisib_10	AZD-6482_3.33	crizotinib_10	JNK-9L_0.37	neratinib_0.12	torin-1_1.11	torin-2_0.37	sirolimus_1.11	QL-XII-47_0.04	ZSTK-474_0.37	GSK-1059615_0.37	GSK-2126458_0.04	AZD-8055_1.11	PD-184352_10	LDN-193189_10	BRD-K88573743_3.33	trametinib_10	pelitinib_0.37	BRD-A18328003_3.33	sirolimus_10	JNK-9L_3.33	GSK-690693_0.12	BRD-K94012289_1.11	MK-2206_10	ZSTK-474_1.11	erlotinib_1.11	GSK-690693_3.33	dasatinib_10	pelitinib_1.11	canertinib_1.11	LDN-193189_0.37	BRD-U61997977_3.33	torin-1_0.12	JNK-9L_1.11	WYE-125132_1.11	sirolimus_3.33	GDC-0941_3.33	GSK-690693_10	lapatinib_3.33	BRD-K54997624_0.37	GSK-690693_1.11	AS-605240_10	BRD-K88573743_0.37	LDN-193189_1.11	BRD-K94012289_0.37	BRD-K94012289_0.12	SAR-245408_10	QL-XII-47_0.12	AS-601245_3.33	selumetinib_3.33	BRD-A18328003_10	linifanib_10	neratinib_0.37	NVP-TAE684_3.33	MK-2206_1.11	NVP-BEZ235_0.12	canertinib_10	pelitinib_3.33	torin-1_0.04	WYE-125132_10	lapatinib_1.11	dasatinib_3.33	WYE-125132_0.12
ALK2	Genomic_Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JNK3	Genomic_Event	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EGFR	Genomic_Event	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
FLT	Genomic_Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AKT	Genomic_Event	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MAP2K2	Genomic_Event	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP2K1	Genomic_Event	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
JNK1	Genomic_Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RICTOR	Genomic_Event	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	1	0	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	1	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1
RPTOR	Genomic_Event	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	1	0	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	1	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1
