source	interaction	target
RAF1	PPI>	IL2RB
PIK3R1	PPI>	ERBB2
STAT5A	PPI>	LCK
GHR	PPI>	PTPN11
HNRNPK	PPI>	CEBPB
RAF1	PPI>	JAK1
ESR1	PPI>	HSP90AA1
SRC	PPI>	ESR1
SRC	PPI>	PTK2
IKBKB	PPI>	HSP90AA1
MAPK8	PPI>	BAD
LCK	PPI>	STAT1
PTPN6	PPI>	PTPN11
CRK	PPI>	FLT1
STAT5A	PPI>	KIT
RAF1	PPI>	PEBP1
CRK	PPI>	MAPK8
SYK	PPI>	TNFRSF1A
MS4A2	PPI>	PRKCD
CSF2RA	PPI>	CSF2RB
MAPK1	PPI>	HSP90AA1
MTOR	PPI>	PDPK1
MAPK3	PPI>	DUSP3
SRC	PPI>	PTPN11
TYK2	PPI>	IFNAR2
FLT1	PPI>	STAT3
CDK5	PPI>	PTPN2
SYK	PPI>	MAPK3
BRAF	PPI>	AKT1
MAP3K7	PPI>	STAT3
ESR1	PPI>	SRC
STAT5A	PPI>	SRC
NR3C1	PPI>	HSP90AA1
ELK1	PPI>	MAPK3
PDGFRA	PPI>	SHB
IGF1R	PPI>	PTPN1
BMX	PPI>	TNFRSF1B
BRAF	PPI>	RAF1
STAT6	PPI>	CEBPB
RAF1	PPI>	NR3C1
FES	PPI>	CSF2RB
SRC	PPI>	TIAM1
STAT3	PPI>	PDGFRB
TYK2	PPI>	STAT2
YWHAH	PPI>	SRC
STAT5B	PPI>	ELP2
SRC	PPI>	YWHAH
PIK3R1	PPI>	CSF2RA
EIF2AK2	PPI>	STAT3
STAT5A	PPI>	NMI
PIK3R1	PPI>	TUBA1B
SRC	PPI>	PGR
EPOR	PPI>	PTPN11
JAK1	PPI>	ELP2
PIK3R1	PPI>	PTPN6
HSP90AA1	PPI>	EIF2AK2
JAK2	PPI>	STAT5A
TP73	PPI>	MYC
GAB1	PPI>	PDGFRB
ESR2	PPI>	ZBTB17
SRC	PPI>	RAF1
AKT1	PPI>	SH2B2
RET	PPI>	STAT3
AKT1	PPI>	ESR2
TEC	PPI>	JAK2
PDGFRB	PPI>	STAT1
PTPN11	PPI>	JAK2
STAT6	PPI>	JAK1
TYK2	PPI>	EIF2AK2
PDGFRB	PPI>	RAF1
PTK2	PPI>	LCK
SRC	PPI>	GRB10
SMARCB1	PPI>	MYC
IFNAR1	PPI>	TYK2
EPOR	PPI>	JAK2
JAK1	PPI>	PTPN11
CSF2RB	PPI>	GNB2L1
GNB2L1	PPI>	SRC
RAF1	PPI>	BAD
WWOX	PPI>	MAPK8
GNB2L1	PPI>	TP73
TEC	PPI>	BMX
STAT5B	PPI>	IL2RB
MAPK1	PPI>	DUSP3
RAF1	PPI>	CDC25A
KDR	PPI>	CRK
PTK2	PPI>	SYK
SRF	PPI>	CEBPB
MAPK8	PPI>	PRKD1
CASP9	PPI>	AKT1
SRC	PPI>	BMX
SHC1	PPI>	JAK2
RET	PPI>	MAPK8
NR3C1	PPI>	CEBPB
PTK2	PPI>	GSK3B
JAK1	PPI>	IL2RG
HSP90AA1	PPI>	MYC
PGR	PPI>	ZBTB17
STAT3	PPI>	STAT5B
