source	interaction	target
GTF2F1	-t>	ABL1
MAP2K2	-phos>	ID1
MAPK1	PPI>	TPR
VDR	PPI>	RB1
STAT5A	PPI>	CRKL
PGR	PPI>	STAT5A
ATF2	PPI>	RB1
CRKL	PPI>	ABL1
SRF	PPI>	GTF2F1
RB1	PPI>	ABL1
VDR	PPI>	HMGN3
CRKL	PPI>	BCR
ATF2	PPI>	MAPK1
MAPK1	PPI>	VDR
RB1	PPI>	BCR
MAPK1	PPI>	PGR
MAP2K2	PPI>	MAPK1
DUSP22	PPI>	MAPK1
MAPK1	-t>	SRF
GTF2F1	-t>	ID1
PGR	PPI>	MAPK1
MAPK1	PPI>	ELK1
VDR	PPI>	MAPK1
STAT5A	PPI>	PGR
STAT5A	PPI>	MAPK1
MAPK1	PPI>	ATF2
CIITA	PPI>	MAPK1
RB1	PPI>	BRF1
IER3	PPI>	MAPK1
SRF	PPI>	ELK1
GTF2F1	-t>	BCR
DUSP1	PPI>	MAPK1
TFCP2	PPI>	MAPK1
MAPK1	PPI>	DUSP22
VDR	PPI>	TCF3
MAPK1	PPI>	MAP2K2
HMGN3	-t>	MAPK1
MAPK1	PPI>	CIITA
MAPK1	PPI>	IER3
DUSP6	PPI>	MAPK1
MAPK1	PPI>	STAT5A
TCF3	PPI>	ID1
ELK1	PPI>	MAPK1
MAPK1	PPI>	DUSP1
GTF2F1	-t>	MAPK1
HMGN3	-t>	BCR
TPR	PPI>	MAPK1
MAPK1	PPI>	TFCP2
MAPK1	PPI>	DUSP6
