pathway_role	BT20	HS578T	MCF10A	MCF7	MDAMB231	SKBR3
ABL	0.46265	0.48736	0.43199	0.45666	0.61053	0.22075
AKT	0.51842	0.46358	0.34647	0.75858	0.37845	0.65995
ALK	0.3379	0.64649	0.56881	0.95181	0.59286	0.44531
ALK2	0.48062	0.39398	0.29507	0.31162	0.43882	0.34665
ATM	0.035918	0.026396	0.072335	0.023664	0.12216	0.04809
AUORA	0.80345	0.88604	0.89587	0.92164	0.91621	1.05
BRAF	0.13214	-0.042338	0.11894	0.096951	0.17633	0.090349
BRSK	0.17595	0.22619	0.10758	0.34303	0.31821	0.34354
BTK	0.68119	0.55291	0.40109	0.85359	0.62567	0.89207
C-MET	0.34273	0.34022	0.28687	0.38491	0.39936	0.34205
CDC2	1.113	1.0131	1.0217	1.1298	1.09	1.1311
CDK2	0.60176	0.56236	0.61642	0.71226	0.64744	0.68407
CDK4	0.66152	0.61322	0.54028	0.62976	0.61253	0.41272
CDK9	0.89882	0.89521	0.80771	1.0925	1.0102	1.0991
CHK1	0.4168	0.86824	0.56764	0.85718	0.6732	1.1394
CLK	1.0579	1.0755	0.96799	1.1774	1.1313	1.2354
CSF-1R	0.35903	0.59282	0.35459	0.68185	0.41916	0.83014
DNAPK	0.13063	0.30569	0.17536	0.195	0.28268	0.254
EGFR	0.24574	0.18149	0.62872	0.28684	0.21437	0.69666
FAK	0.58184	0.57342	0.7332	0.74922	0.58097	0.63409
FGFR	-0.060294	0.33597	0.079555	0.030713	0.092703	0.05585
FLT	0.32025	0.38041	0.31187	0.31316	0.28461	0.30911
GSK3B	0.16071	0.18653	0.15049	0.3214	0.27312	0.29636
HER2	0.35633	0.29158	0.62972	0.42934	0.34908	1.0171
HSP90	0.87252	0.68853	0.84448	0.85661	0.81321	0.99332
IGFR	0.071913	0.087444	0.36771	0.57272	0.16854	0.16884
IKK	0.51198	0.45862	0.40683	0.60948	0.55627	0.64737
IRAK	0.050188	0.012627	0.090697	0.21167	0.14303	0.31838
JAK	0.23668	0.31268	0.27641	0.28682	0.36263	0.25727
JNK1	0.65019	0.45717	0.61258	0.85467	0.72339	0.70822
JNK3	0.25933	0.55433	0.29141	0.64034	0.64465	0.81054
LCK	0.40456	0.48303	0.24729	0.75186	0.46407	0.62603
LRRK2	0.37747	0.4316	0.44486	0.58183	0.5684	0.55246
MEK1	0.21987	0.73556	0.87447	0.57761	0.74087	0.2279
MTOR	0.85314	0.78262	0.744	0.89116	0.67626	0.97609
PDPK	0.18546	0.51962	0.59185	0.49177	0.51525	0.75386
PI3KA	0.67118	0.55222	0.5609	0.69933	0.4142	0.69522
PI3KB	0.218	0.25699	0.19827	0.166	0.25324	0.21132
PI3KG	0.13707	0.35164	0.4228	0.27889	0.25621	0.1764
PIP5K3	0.27204	0.24674	0.28244	0.35848	0.29436	0.14362
PLK	0.93135	0.9166	0.85444	0.89724	0.83747	0.99573
PRKCB	-0.13581	-0.0096673	0.0033929	0.043909	-0.023695	-0.10378
ROCK1	0.21255	0.40487	0.30418	0.29013	0.44352	0.43683
SRC	0.44716	0.53444	0.42767	0.61575	0.6347	0.21491
STK10	0.44816	0.50789	0.46431	0.67591	0.52838	0.66274
SYK	0.15813	0.35895	0.19676	0.25212	0.28475	0.057893
TOP2	1.0686	1.082	1.0016	1.0915	1.1198	1.1957
VEGFR1	0.15219	0.27744	0.1505	0.2749	0.15771	0.21317
