Key	MCF7	MDAMB231	MCF10A	BT20	HS578T	SKBR3
ALK2	0.0636261217928	0.126170444239	0.0570472770003	0.151352111523	0.101702858073	0.0787348881856
JNK3	0.268661892288	0.272290682188	0.0556408438386	0.0440646501174	0.201336062978	0.430460900756
IRAK	0.0293564425168	0.0134041439533	0.0053897751799	0.00165038240399	0.000104468453804	0.0664165576976
STK10	0.299338480413	0.182926888404	0.141254040884	0.131598515112	0.169014564191	0.287787000605
ATM	0.000366911327118	0.0097778383722	0.00342832335753	0.000845296553464	0.000456521300078	0.0015152851257
EGFR	0.0539093671555	0.0301101432647	0.258999757544	0.0395673089334	0.0215819264067	0.317999587685
FLT	0.0642565456584	0.0530744028573	0.0637282520221	0.0671990421705	0.0948175339413	0.0626052733682
AKT	0.377040135337	0.0938429875025	0.0786531423304	0.176095517614	0.140810223652	0.285369051922
JNK1	0.478609953082	0.342870252868	0.245872769437	0.276990820928	0.136943131129	0.32864057364
CDC2	0.836349779607	0.778462688659	0.683961400254	0.811661852005	0.672495583775	0.838275572201
IGFR	0.214916374067	0.0186119032023	0.0885922410078	0.00338843859071	0.00501008203599	0.0186782202822
LRRK2	0.221807908471	0.211686393793	0.12966761445	0.0933576020928	0.122052780622	0.199979963218
VEGFR1	0.0495147152315	0.0162968350371	0.014840816862	0.0151759902922	0.0504339469855	0.0297739857649
PDPK	0.158456065796	0.173948547593	0.229513433432	0.0225364401916	0.1769116867	0.372362730511
PRKCB	0.00126325753933	0.000367873269419	7.54270157781e-06	0.0120850459054	6.12343621057e-05	0.00705687035224
FAK	0.367793060047	0.221152686758	0.352232737922	0.221815533028	0.215442052931	0.263442970247
MEK1	0.218602041212	0.359640691933	0.501042581038	0.0316750098656	0.354503897477	0.0340309016861
IKK	0.243390556533	0.202747768798	0.10844530321	0.171747647884	0.137813190131	0.274593305761
HER2	0.120777909948	0.0798426128104	0.259824308159	0.0831935356264	0.0557057812291	0.677816465689
FGFR	0.000618058075846	0.0056308295815	0.00414686374805	0.00238195196535	0.0739581100847	0.00204376595731
DNAPK	0.0249146062926	0.0523570261968	0.0201486466019	0.0111807428656	0.0612276047338	0.0422719458139
BRSK	0.0770990474882	0.0663456499746	0.00758311925446	0.0202844552199	0.0335221300935	0.077328471994
HSP90	0.480785195234	0.433301534433	0.46726531332	0.498810500625	0.310620805353	0.646492015833
CLK	0.908307434592	0.83857204455	0.613940873174	0.733287092086	0.757889055288	1.0
PI3KG	0.0509624960251	0.0430107443838	0.117126391441	0.0123103281982	0.0810179684206	0.0203883447054
ABL	0.13663776533	0.244229895711	0.122273457595	0.140245824181	0.155626865123	0.0319290671691
PI3KA	0.320441771646	0.112410012242	0.206136874092	0.295163614236	0.199806250131	0.316686332596
PI3KB	0.0180551450624	0.042019358292	0.0257572100217	0.0311385075464	0.0432730249161	0.0292594400116
TOP2	0.780606720755	0.821610029886	0.657314840609	0.74819559281	0.767077647267	0.936761998566
MTOR	0.520350738949	0.299648567832	0.362685904242	0.476897905663	0.401316199108	0.624258598386
JAK	0.0539018497259	0.0861613045585	0.050060168594	0.0367035377942	0.064059716534	0.0433673713703
AUORA	0.556554164164	0.550015414688	0.525865637864	0.422963134783	0.514388751307	0.72237615878
CSF-1R	0.3046228631	0.115118326984	0.0823830323282	0.0844590678932	0.230266362269	0.451530911711
PIP5K3	0.0842004994899	0.0567730719869	0.0522681599731	0.0484897939158	0.0398899899409	0.013514956456
C-MET	0.0970740601529	0.104499432832	0.0539206442827	0.0769642511142	0.0758410760919	0.0766591493026
ALK	0.593588300667	0.230297437351	0.211991892469	0.0748102643801	0.273847278384	0.129930078771
SRC	0.248424055327	0.263950082831	0.119840159745	0.131011886701	0.18714693405	0.030262029781
ROCK1	0.0551531195682	0.128887625632	0.0606242134618	0.0296010437362	0.107402898361	0.125028701037
CHK1	0.481425250192	0.296942951272	0.211120686183	0.113825672949	0.493928841237	0.850623224871
GSK3B	0.0676825247661	0.0488755675518	0.014838844726	0.0169227371228	0.0227972355447	0.0575471709338
SYK	0.041648503673	0.0531266304243	0.0253663764765	0.0163837513365	0.0844214333075	0.00219602316167
CDK2	0.332400690084	0.274652692419	0.248964971839	0.237263776182	0.207211402633	0.306609703785
CDK4	0.259857317441	0.245832633824	0.191259311642	0.28672843471	0.24638679462	0.111608131069
BRAF	0.0061587048568	0.02037216669	0.00926916630702	0.0114407214258	0.00117447961463	0.00534849391614
CDK9	0.782037713526	0.668651055269	0.427460240285	0.529334573684	0.525091098088	0.791515131477
PLK	0.527475216896	0.459540003508	0.478352390566	0.568343168067	0.550483760735	0.649632868386
LCK	0.370389585423	0.141108051316	0.040068023067	0.107238489282	0.152873783961	0.256788220133
BTK	0.477401130587	0.256492971729	0.105406762513	0.30403342617	0.200305878702	0.521413984466
