Index	Drug	Dose	Role	Pathway	Drug Class
1	AZD-8055	0.04	MTOR	MTOR	PI3K/MTOR
2	WYE-125132	0.04	MTOR	MTOR	PI3K/MTOR
3	sirolimus	0.04	MTOR	MTOR	PI3K/MTOR
4	torin-1	0.04	MTOR	MTOR	PI3K/MTOR
5	AZD-8055	0.12	MTOR	MTOR	PI3K/MTOR
6	WYE-125132	0.12	MTOR	MTOR	PI3K/MTOR
7	sirolimus	0.12	MTOR	MTOR	PI3K/MTOR
8	torin-1	0.12	MTOR	MTOR	PI3K/MTOR
9	AZD-8055	0.37	MTOR	MTOR	PI3K/MTOR
10	BRD-K94012289	0.37	MTOR	MTOR	PI3K/MTOR
11	WYE-125132	0.37	MTOR	MTOR	PI3K/MTOR
12	sirolimus	0.37	MTOR	MTOR	PI3K/MTOR
13	torin-1	0.37	MTOR	MTOR	PI3K/MTOR
14	AZD-8055	1.11	MTOR	MTOR	PI3K/MTOR
15	BRD-K94012289	1.11	MTOR	MTOR	PI3K/MTOR
16	WYE-125132	1.11	MTOR	MTOR	PI3K/MTOR
17	sirolimus	1.11	MTOR	MTOR	PI3K/MTOR
18	AZD-8055	3.33	MTOR	MTOR	PI3K/MTOR
19	BRD-K94012289	3.33	MTOR	MTOR	PI3K/MTOR
20	WYE-125132	3.33	MTOR	MTOR	PI3K/MTOR
21	sirolimus	3.33	MTOR	MTOR	PI3K/MTOR
22	AZD-8055	10	MTOR	MTOR	PI3K/MTOR
23	BRD-K94012289	10	MTOR	MTOR	PI3K/MTOR
24	sirolimus	10	MTOR	MTOR	PI3K/MTOR
25	GSK-2126458	0.04	PI3KA	PI3K	PI3K/MTOR
26	GSK-2126458	0.12	PI3KA	PI3K	PI3K/MTOR
27	GDC-0941	0.37	PI3KA	PI3K	PI3K/MTOR
28	GSK-1059615	0.37	PI3KA	PI3K	PI3K/MTOR
29	GSK-2126458	0.37	PI3KA	PI3K	PI3K/MTOR
30	PI-103	0.37	PI3KA	PI3K	PI3K/MTOR
