	Regulon	Size	NES	p.value	FDR	Ledge
65988	65988	75	3.69	0.000223	0.342	2013, 23042, 79724, 5595, + 37 genes
7727	7727	80	3.29	0.00101	0.678	1956, 51283, 27242, 93129, + 29 genes
3659	3659	107	3	0.00269	0.687	5698, 6890, 6892, 23780, + 37 genes
10127	10127	65	2.96	0.00308	0.687	2013, 51283, 27242, 79903, + 32 genes
6666	6666	66	2.95	0.00313	0.687	116984, 1396, 79724, 9194, + 19 genes
51513	51513	148	2.84	0.00448	0.708	5698, 6890, 6892, 23780, + 51 genes
116071	116071	86	2.75	0.006	0.708	5698, 6890, 23780, 8542, + 28 genes
3663	3663	83	2.65	0.008	0.767	10927, 6419, 6398, 5777, + 37 genes
1488	1488	87	2.54	0.011	0.767	57698, 54708, 1793, 64429, + 19 genes
84287	84287	67	2.54	0.011	0.767	116984, 64429, 1355, 79803, + 28 genes
25799	25799	25	2.41	0.016	0.982	54662, 23038, 7508, 965, + 7 genes
6672	6672	105	2.41	0.016	0.982	27297, 23780, 5696, 8743, + 37 genes
10346	10346	110	2.39	0.017	0.986	1806, 8542, 10384, 4277, + 39 genes
3665	3665	122	2.37	0.018	0.986	6892, 23780, 5696, 10927, + 54 genes
84872	84872	78	2.33	0.02	0.998	1956, 8086, 79803, 23251, + 24 genes
5089	5089	59	2.29	0.022	0.998	1616, 7005, 51131, 10554, + 23 genes
5993	5993	128	2.23	0.026	0.998	23380, 6890, 9, 10384, + 20 genes
5371	5371	182	2.17	0.03	0.998	5698, 6890, 6892, 23780, + 48 genes
6257	6257	109	2.11	0.035	0.998	23294, 1616, 7005, 5528, + 37 genes
5467	5467	112	2.04	0.041	0.998	2743, 7005, 57819, 5528, + 33 genes
7988	7988	39	2.03	0.042	0.998	2050, 63917, 155066, 51147, + 12 genes
148327	148327	136	2.01	0.044	0.998	6799, 23042, 9580, 10455, + 37 genes
10616	10616	46	2	0.045	0.998	53371, 23780, 5696, 7318, + 16 genes
6495	6495	32	1.97	0.049	0.998	9532, 9945, 1183, 10981, + 11 genes
