Regulon	Size	NES	p.value	FDR	Synergy	Ledge
3642--4661	28	3.14	0.00171	0.818	3.36e-06	333, 7448, 54332, 30851, + 15 genes
6830	176	2.9	0.00379	0.818	NA	2319, 2885, 28998, 9094, + 45 genes
10906	128	2.7	0.007	0.818	NA	55198, 23424, 7422, 9961, + 35 genes
353274	52	2.51	0.012	0.818	NA	1605, 51460, 80335, 23272, + 17 genes
10265	120	2.41	0.016	0.818	NA	3315, 92579, 23012, 3281, + 49 genes
10616	46	2.41	0.016	0.818	NA	53371, 5696, 55183, 23780, + 12 genes
1999	69	2.29	0.022	0.818	NA	57111, 80004, 81932, 54020, + 33 genes
1488	87	2.27	0.023	0.818	NA	64766, 3321, 7390, 8030, + 32 genes
29855	67	2.26	0.024	0.818	NA	21, 23214, 23395, 899, + 23 genes
84872	78	2.21	0.027	0.818	NA	11180, 10295, 9416, 9586, + 21 genes
51304	130	2.18	0.029	0.818	NA	1605, 327, 80335, 5859, + 26 genes
9611	55	2.11	0.035	0.818	NA	51460, 51780, 10594, 10497, + 15 genes
79842	67	2.1	0.036	0.818	NA	1839, 8013, 10221, 1880, + 16 genes
65988	75	2.09	0.037	0.818	NA	79752, 10950, 10295, 2013, + 21 genes
5993	128	2.07	0.038	0.818	NA	5696, 103, 9, 2260, + 32 genes
84287	67	2.07	0.038	0.818	NA	64215, 7390, 23034, 10121, + 27 genes
56731	75	2.06	0.039	0.818	NA	3315, 90411, 10922, 4832, + 33 genes
8463	135	2.04	0.041	0.818	NA	9019, 5274, 22909, 54332, + 47 genes
23589	62	2.03	0.042	0.818	NA	5347, 23204, 5073, 5531, + 33 genes
3229	56	2.03	0.042	0.818	NA	783, 8972, 6278, 2104, + 17 genes
3665	122	2.03	0.042	0.818	NA	5696, 684, 4218, 23780, + 42 genes
10664	67	1.99	0.047	0.818	NA	8720, 3281, 5934, 23300, + 25 genes
54626	100	1.99	0.047	0.818	NA	9022, 7739, 389856, 6278, + 15 genes
2309	53	1.98	0.048	0.818	NA	57107, 3321, 7259, 23097, + 17 genes
7342	46	1.97	0.049	0.818	NA	1605, 51460, 23272, 5894, + 20 genes
57178	35	1.96	0.05	0.818	NA	818, 8036, 1793, 81619, + 9 genes
6934	98	1.96	0.05	0.818	NA	9019, 7739, 9686, 5106, + 31 genes
4150	101	1.94	0.052	0.818	NA	8683, 90411, 25804, 5531, + 32 genes
10474	88	1.93	0.053	0.818	NA	55183, 10093, 51329, 8721, + 34 genes
6720	110	1.92	0.055	0.818	NA	8741, 5580, 327, 9961, + 34 genes
84936	210	1.92	0.055	0.818	NA	93974, 9462, 56650, 327, + 88 genes
1499	81	1.88	0.06	0.818	NA	1605, 80335, 10550, 4853, + 23 genes
3225	40	1.87	0.062	0.818	NA	55183, 90411, 54020, 10333, + 10 genes
9580	43	1.87	0.062	0.818	NA	5287, 9, 10643, 5122, + 19 genes
7633	64	1.86	0.063	0.818	NA	2040, 8019, 84726, 57171, + 18 genes
4779	125	1.85	0.064	0.818	NA	2885, 9520, 64132, 10951, + 33 genes
55625	111	1.85	0.065	0.818	NA	23659, 22980, 51187, 8720, + 33 genes
57592	117	1.85	0.065	0.818	NA	23225, 23211, 223, 55204, + 36 genes
4824	116	1.83	0.067	0.818	NA	8741, 333, 91782, 56943, + 27 genes
10538	103	1.83	0.068	0.818	NA	29967, 10581, 9829, 9462, + 22 genes
10573	240	1.82	0.069	0.818	NA	23589, 28955, 55183, 5694, + 109 genes
127343	45	1.82	0.069	0.818	NA	3833, 55723, 2013, 51187, + 20 genes
741	77	1.81	0.07	0.818	NA	55454, 55183, 10922, 4832, + 20 genes
80320	123	1.79	0.074	0.818	NA	5366, 783, 23780, 6278, + 29 genes
22980	157	1.77	0.076	0.818	NA	11344, 23659, 1535, 55625, + 56 genes
125150	91	1.76	0.078	0.818	NA	19, 55183, 5694, 51031, + 35 genes
55146	96	1.76	0.079	0.818	NA	2319, 60625, 92579, 1244, + 32 genes
148327	136	1.73	0.084	0.818	NA	9829, 223, 6821, 5359, + 23 genes
140690	45	1.72	0.086	0.818	NA	26586, 3833, 9493, 10112, + 21 genes
