	Regulon	Size	NES	p.value	FDR	Ledge
BCL6B	BCL6B	232	4.43	9.36e-06	0.00152	MMP25, MKRN3, PIK3CD, EFR3B, + 198 genes
PRDM6	PRDM6	136	4.37	1.25e-05	0.00181	TPK1, MKRN3, ATN1, C13orf15, + 109 genes
TERF2IP	TERF2IP	177	4.11	3.92e-05	0.00268	SEMA6A, PIK3CD, EFR3B, SPSB4, + 152 genes
ISX	ISX	105	3.94	8.07e-05	0.00419	LONRF1, PIK3CD, RAP1GDS1, SNX1, + 78 genes
ETV7	ETV7	108	3.92	8.73e-05	0.00436	EFR3B, SLC39A10, ARHGAP18, PBX3, + 93 genes
SSH2	SSH2	195	3.84	0.000123	0.00486	MKRN3, PIK3CD, RASSF2, ARHGAP18, + 165 genes
ZSCAN16	ZSCAN16	197	3.74	0.000181	0.00573	VPS11, EIF4EBP2, GTPBP3, STX7, + 170 genes
ISL2	ISL2	203	3.7	0.000217	0.00641	PIK3CD, UBE2G2, FDXACB1, SPSB4, + 151 genes
PAX9	PAX9	77	3.69	0.000225	0.00649	ZNF490, SKAP2, PPFIBP2, GTPBP3, + 62 genes
MLLT3	MLLT3	116	3.64	0.000273	0.00753	ATN1, C13orf15, SGK269, PDGFB, + 102 genes
PRKRIR	PRKRIR	87	3.54	0.000399	0.00968	MKRN3, ATN1, C11orf57, PDGFB, + 68 genes
HOXB5	HOXB5	73	3.54	0.000402	0.00968	TPK1, WDR91, IFT46, TMEM53, + 51 genes
FOXO4	FOXO4	251	3.53	0.000415	0.0098	TPK1, LONRF1, FDXACB1, SLC39A10, + 181 genes
LHX2	LHX2	57	3.5	0.000471	0.0104	TOP3B, PDGFB, ZNF384, DAK, + 46 genes
PHF21A	PHF21A	195	3.48	0.000494	0.0104	WDR91, EFR3B, ZNF490, EIF4EBP2, + 168 genes
EMX1	EMX1	241	3.45	0.000571	0.0112	MMP25, EFR3B, RASSF2, RALB, + 205 genes
MYOD1	MYOD1	40	3.43	0.000604	0.0117	PIK3CD, IFT46, GPAM, ATP2C1, + 27 genes
ZNF438	ZNF438	206	3.4	0.000663	0.012	TPK1, LONRF1, SLC39A10, VPS11, + 184 genes
TUT1	TUT1	65	3.4	0.000663	0.012	UBE2G2, IFT46, ISPD, C13orf15, + 51 genes
RFX6	RFX6	256	3.39	0.000688	0.012	WDR91, UBE2G2, DBR1, PBX3, + 215 genes
HOMEZ	HOMEZ	118	3.39	0.000708	0.012	DCBLD2, SLC39A10, ARHGAP18, VPS11, + 101 genes
HOXA10	HOXA10	63	3.39	0.000712	0.012	ZNF490, ATL2, AKD1, COLEC12, + 52 genes
FOSL2	FOSL2	130	3.38	0.000727	0.012	SLC39A10, ARHGAP18, RALB, PBX3, + 105 genes
NRK	NRK	186	3.38	0.000731	0.012	RAP1GDS1, UBE2G2, RASSF2, C13orf15, + 155 genes
SOX8	SOX8	55	3.35	0.000816	0.0128	MMP25, RALB, PIWIL1, PBX3, + 43 genes
RELL2	RELL2	113	3.33	0.000865	0.0128	DCBLD2, SLC39A10, EIF4EBP2, GPAM, + 95 genes
BMP2	BMP2	111	3.32	0.000916	0.0134	SGK269, ARHGEF2, PDGFB, RAB15, + 85 genes
HES2	HES2	101	3.31	0.000932	0.0134	MMP25, DCBLD2, ISPD, C2orf47, + 86 genes
ZNF556	ZNF556	89	3.28	0.00102	0.014	SKAP2, UBA5, LASS2, HMG20A, + 81 genes
HMG20A	HMG20A	309	3.27	0.00108	0.0142	TPK1, SEMA6A, WDR91, RAP1GDS1, + 264 genes
MYB	MYB	110	3.27	0.00108	0.0142	FDXACB1, C11orf65, SLC47A1, OR7D4, + 85 genes
TBX5	TBX5	51	3.21	0.00133	0.0156	IFT46, C2orf47, C11orf57, ANKRD42, + 31 genes
MTA2	MTA2	122	3.18	0.00146	0.0168	PIK3CD, SLC39A10, SOX4, ABCD4, + 95 genes
RARA	RARA	45	3.17	0.00152	0.0173	PDGFB, MANEAL, GFPT1, IMPAD1, + 32 genes
EZH1	EZH1	146	3.12	0.00179	0.0196	WDR91, PIK3CD, DBR1, RASSF2, + 119 genes
SP7	SP7	58	3.11	0.00186	0.02	SERP2, TBXA2R, DAZL, KIAA1598, + 42 genes
ZEB1	ZEB1	133	3.11	0.00187	0.02	ARHGAP18, C13orf15, SGK269, SSH2, + 115 genes
HOXC10	HOXC10	47	3.09	0.00201	0.0213	PBX3, LHFPL4, ELMOD2, HMG20A, + 37 genes
ZNF624	ZNF624	192	3.05	0.00227	0.0232	C13orf15, PIWIL1, GTPBP3, C11orf57, + 150 genes
BACH2	BACH2	47	3.03	0.00241	0.0243	PIK3CD, SKAP2, KHSRP, TTC23, + 32 genes
HOXC5	HOXC5	133	3.01	0.00259	0.0255	LONRF1, SLC39A10, VPS11, DAK, + 107 genes
ELF2	ELF2	113	3	0.00267	0.0257	RAP1GDS1, SGK269, HMG20A, SIAE, + 94 genes
NFRKB	NFRKB	80	3	0.00269	0.0257	WDR91, FDXACB1, IFT46, C11orf57, + 68 genes
INSM1	INSM1	102	2.95	0.00316	0.0292	SAMD5, SPSB4, FOXM1, AKD1, + 81 genes
ZNF212	ZNF212	163	2.94	0.00332	0.0301	WDR91, FDXACB1, IFT46, C11orf65, + 142 genes
MEIS2	MEIS2	77	2.93	0.00337	0.0304	ISPD, VPS37A, ANKRD42, SMARCB1, + 62 genes
HLF	HLF	68	2.92	0.00351	0.0315	SGK269, ROR2, C11orf65, HHAT, + 56 genes
FOXO1	FOXO1	176	2.9	0.00368	0.0325	TPK1, RAP1GDS1, RASSF2, SNX1, + 137 genes
NFIB	NFIB	91	2.89	0.00389	0.0341	ROR2, PDGFB, PVR, ATP1A3, + 71 genes
ZBTB17	ZBTB17	37	2.88	0.00397	0.0346	TMEM53, GPAM, C11orf65, TRAPPC3, + 27 genes
SETDB2	SETDB2	133	2.88	0.004	0.0346	EIF4EBP2, SGK269, TMEM30A, SMARCB1, + 111 genes
PITX3	PITX3	85	2.87	0.00412	0.0348	WDR91, PPFIBP2, PLEKHG3, SSH2, + 66 genes
THAP6	THAP6	54	2.86	0.00421	0.035	EFR3B, TMEM167B, ANKRD42, GTF2IRD1, + 44 genes
MNX1	MNX1	231	2.85	0.00439	0.0357	FDXACB1, C13orf15, SLC35A1, C11orf65, + 190 genes
LARP7	LARP7	95	2.84	0.00444	0.0357	SLC35A1, C11orf65, FSIP1, ZSCAN22, + 70 genes
C11orf9	C11orf9	177	2.84	0.00445	0.0357	WDR91, RASSF2, C13orf15, PIWIL1, + 151 genes
ZNF436	ZNF436	163	2.81	0.00495	0.0383	SGK269, BZW2, C11orf65, PPP1CC, + 129 genes
HOXB4	HOXB4	114	2.75	0.006	0.0443	IFT46, EIF4EBP2, PIWIL1, PBX3, + 73 genes
HOXB8	HOXB8	35	2.75	0.006	0.0443	HOXB4, TSPAN6, DUSP22, RTN4IP1, + 21 genes
HOXB9	HOXB9	55	2.75	0.006	0.0443	PVR, LHFPL4, FAM173B, C18orf22, + 48 genes
SOX3	SOX3	41	2.75	0.006	0.0443	WDR91, ATN1, C11orf65, SLC47A1, + 32 genes
ZNF799	ZNF799	43	2.75	0.006	0.0443	PBX3, NF2, ATG3, SEMA4C, + 34 genes
HOXB3	HOXB3	245	2.7	0.007	0.0486	UBE2G2, DBR1, IFT46, PIWIL1, + 206 genes
STAT3	STAT3	288	2.7	0.007	0.0486	ZNF814, CYTH1, FOSL2, PPFIBP2, + 259 genes
FOXA1	FOXA1	27	2.65	0.008	0.0538	CDC42SE2, FAAH, RTN3, IFRD1, + 17 genes
ATOH8	ATOH8	42	2.61	0.009	0.0579	RTKN, SEPT4, C20orf29, IGFBP6, + 35 genes
HSF2	HSF2	67	2.61	0.009	0.0579	FDXACB1, SLC35A1, C11orf57, C11orf65, + 49 genes
RCOR2	RCOR2	96	2.61	0.009	0.0579	UBA5, SLC7A8, TNFRSF11A, IGFBP2, + 72 genes
GPR155	GPR155	140	2.54	0.011	0.0684	EFR3B, ARHGAP18, EIF4EBP2, PBX3, + 120 genes
HOXA13	HOXA13	76	2.51	0.012	0.0722	ZNF490, C11orf65, FAM173B, DAZL, + 51 genes
SNAI3	SNAI3	110	2.51	0.012	0.0722	TPK1, ATN1, CYTH1, LHFPL4, + 92 genes
DMRT1	DMRT1	253	2.48	0.013	0.0751	RASSF2, C13orf15, PIWIL1, SLC35A1, + 210 genes
STAT5B	STAT5B	70	2.48	0.013	0.0751	EIF4EBP2, ATG3, TRIB2, PDGFA, + 51 genes
CUL5	CUL5	189	2.46	0.014	0.0798	FDXACB1, FOSL2, C11orf57, TMEM30A, + 155 genes
ZNF187	ZNF187	70	2.46	0.014	0.0798	EIF4EBP2, ATG3, PPP1CC, SEMA4C, + 55 genes
RHOXF2B	RHOXF2B	128	2.43	0.015	0.0829	PIK3CD, DBR1, TBXA2R, FAAH, + 86 genes
RNF114	RNF114	110	2.43	0.015	0.0829	BZW2, SEPT4, SPEF1, DAZL, + 89 genes
ZNF202	ZNF202	102	2.43	0.015	0.0829	IFT46, VPS11, C2orf47, C11orf57, + 69 genes
ZC3H6	ZC3H6	144	2.41	0.016	0.087	C13orf15, PIWIL1, SLC35A1, ROR2, + 110 genes
ZNF18	ZNF18	177	2.41	0.016	0.087	FHOD1, TMPO, CASKIN1, SLC33A1, + 139 genes
MLL	MLL	90	2.39	0.017	0.092	C11orf57, CWF19L2, DPAGT1, PDGFA, + 64 genes
DPF3	DPF3	28	2.37	0.018	0.0966	KIAA0247, STAT3, CTBS, PROS1, + 21 genes
CAMTA2	CAMTA2	47	2.35	0.019	0.1	DDT, SVEP1, MYO1C, CHPT1, + 39 genes
ZFP90	ZFP90	135	2.35	0.019	0.1	PIK3CD, SGK269, FHOD1, PCGF6, + 101 genes
PKNOX2	PKNOX2	177	2.33	0.02	0.103	SLC39A10, KHSRP, DAK, TMTC3, + 136 genes
RORC	RORC	254	2.33	0.02	0.103	ARHGAP18, ZNF814, FHOD1, ATP2C1, + 220 genes
CUL4A	CUL4A	204	2.31	0.021	0.107	C11orf65, FSIP1, ELMOD2, HMG20A, + 165 genes
ETV4	ETV4	101	2.31	0.021	0.107	UBA5, SLC7A8, ADO, RTN3, + 79 genes
MAFF	MAFF	103	2.29	0.022	0.11	MMP25, RALB, C2orf60, PFN2, + 83 genes
FOXL1	FOXL1	50	2.27	0.023	0.113	VPS37A, SEMA4C, SPA17, GTF3C2, + 40 genes
FOXP4	FOXP4	44	2.27	0.023	0.113	AKD1, TRAPPC3, MAP1LC3B, MGC16142, + 30 genes
GLI3	GLI3	61	2.27	0.023	0.113	C11orf65, PTPRA, FOXO1, CRISPLD2, + 43 genes
ASCL2	ASCL2	196	2.26	0.024	0.117	VPS11, OAZ2, TMPO, ETV7, + 170 genes
SMAD7	SMAD7	51	2.23	0.026	0.124	ZNF814, ATP2C1, ZNF238, NRK, + 36 genes
NKX6-1	NKX6-1	31	2.21	0.027	0.128	FZD10, DUSP22, ELMO2, EMX1, + 19 genes
ZIC4	ZIC4	34	2.21	0.027	0.128	C12orf57, DUSP22, LMNB2, WDR18, + 25 genes
RELA	RELA	96	2.18	0.029	0.133	CYTH1, MTA2, ATL2, THOC2, + 83 genes
ZFP2	ZFP2	205	2.18	0.029	0.133	SLC35A1, ROR2, C11orf65, NTNG1, + 145 genes
HEYL	HEYL	149	2.17	0.03	0.135	UBA5, PIH1D2, KDM4D, TSPAN6, + 113 genes
VSX2	VSX2	56	2.17	0.03	0.135	PDGFB, PPP1CC, PLEKHA2, DDTL, + 44 genes
KLF12	KLF12	210	2.16	0.031	0.138	SKAP2, SSH2, CDC42SE2, HMG20A, + 171 genes
SOX6	SOX6	88	2.16	0.031	0.138	SLC35A1, C11orf65, HHAT, KDM4D, + 71 genes
CEBPA	CEBPA	220	2.13	0.033	0.145	ZNF384, SLC47A1, C12orf57, SVEP1, + 187 genes
ZNF25	ZNF25	132	2.12	0.034	0.149	ARHGAP18, KHSRP, ZNF146, EML3, + 105 genes
HOXB7	HOXB7	85	2.11	0.035	0.151	IFT46, GPAM, PANK1, HOXB4, + 68 genes
EHF	EHF	154	2.1	0.036	0.155	C12orf57, KIAA0247, MYL6B, ADRA2C, + 134 genes
HNF1B	HNF1B	37	2.07	0.038	0.161	SLC47A1, IGFBP2, MNX1, RCOR2, + 27 genes
ZNF41	ZNF41	117	2.07	0.038	0.161	ZNF490, ATG3, SMARCB1, MEX3D, + 93 genes
GSC	GSC	47	2.04	0.041	0.17	ADO, HOXB4, TRAPPC3, PPP1CB, + 35 genes
FOSL1	FOSL1	71	2.01	0.044	0.178	VPS11, C11orf57, NETO2, ZNF438, + 53 genes
ATF5	ATF5	121	2	0.046	0.184	LONRF1, ISPD, HOOK3, EML3, + 103 genes
ALX4	ALX4	196	1.99	0.047	0.185	PPFIBP2, HHAT, EGFLAM, TRIP4, + 162 genes
CHRAC1	CHRAC1	54	1.98	0.048	0.187	GSS, HIRA, MTM1, ANXA13, + 40 genes
EVX1	EVX1	33	1.98	0.048	0.187	PLEKHG3, EGFLAM, ZNF238, PODXL, + 24 genes
ZNF323	ZNF323	90	1.97	0.049	0.191	NTNG1, C6orf130, C6orf165, KIAA0174, + 69 genes
ZFP161	ZFP161	48	1.94	0.052	0.198	PHB2, LMNB2, SNRPD2, TOR1AIP1, + 36 genes
ZFPM2	ZFPM2	65	1.94	0.052	0.198	ENPP4, FCHSD2, ZC3H12C, FOXO1, + 49 genes
JRKL	JRKL	107	1.93	0.053	0.201	C11orf57, ATG3, SEMA4C, AKD1, + 64 genes
ZFP1	ZFP1	105	1.92	0.055	0.205	FAAH, ITPKA, UMPS, TOP1, + 90 genes
ZEB2	ZEB2	319	1.91	0.056	0.207	ARHGAP18, CYTH1, TMEM30A, PPM1G, + 301 genes
MINK1	MINK1	46	1.9	0.057	0.21	STAT3, ZNF586, FAM65A, C3orf17, + 35 genes
PLEK2	PLEK2	168	1.9	0.057	0.21	ATP2C1, CRKL, HIC2, COLEC12, + 149 genes
HOXD3	HOXD3	64	1.9	0.058	0.21	PANK1, HIRA, PRDM14, DNMT3A, + 50 genes
NR2E3	NR2E3	135	1.9	0.058	0.21	EIF4EBP2, ZSCAN22, HOXB4, UBQLN1, + 102 genes
RUNX1	RUNX1	43	1.9	0.058	0.21	IFNAR2, C10orf55, FOXO4, FNTA, + 28 genes
TFE3	TFE3	224	1.89	0.059	0.213	ZNF814, HIC2, TMEM179B, ZNF607, + 192 genes
TFEB	TFEB	379	1.88	0.06	0.215	LONRF1, SLC39A10, CYTH1, STX7, + 338 genes
ZNF267	ZNF267	61	1.87	0.062	0.218	RNFT1, RAB40A, CD320, SNHG10, + 40 genes
TP63	TP63	65	1.85	0.065	0.225	ATN1, AKD1, FAM66C, PHB2, + 56 genes
SSH3	SSH3	175	1.84	0.066	0.226	ZNF814, HIC2, C22orf30, EXO1, + 133 genes
ZNF311	ZNF311	64	1.84	0.066	0.226	SLC35A1, PPP1CC, WDR93, DUSP22, + 45 genes
HIC1	HIC1	361	1.83	0.067	0.229	ZNF253, EML3, AADAT, GFPT1, + 306 genes
C17orf49	C17orf49	105	1.82	0.069	0.233	THOC2, CRKL, AADAT, CBFA2T2, + 73 genes
CEBPE	CEBPE	40	1.81	0.071	0.238	SPATS1, FGD3, SERTAD1, PRDM6, + 24 genes
ZNF473	ZNF473	147	1.8	0.072	0.24	PIWIL1, UBA5, FSIP1, HMG20A, + 108 genes
