Regulon	Size	NES	p.value	FDR	Synergy	Ledge
LASS2--IRX2	31	6.11	1e-09	7.99e-07	4.19e-07	MMP25, EFR3B, DCBLD2, SLC39A10, + 24 genes
PBX3--TERF2IP	29	5.55	2.92e-08	1.29e-05	2.86e-06	SEMA6A, PIK3CD, EFR3B, EIF4EBP2, + 24 genes
PBX3--ZNF256	30	5.33	9.56e-08	3.16e-05	0.00352	SEMA6A, LONRF1, EFR3B, SLC39A10, + 21 genes
SLC39A10--PBX3	143	5.26	1.45e-07	3.84e-05	0.188	TPK1, SEMA6A, WDR91, LONRF1, + 105 genes
SLC39A10--LASS2	38	5.06	4.22e-07	7.29e-05	0.187	MKRN3, WDR91, EFR3B, DCBLD2, + 22 genes
PBX3--POGK	38	5.05	4.41e-07	7.29e-05	5.31e-05	MMP25, WDR91, LONRF1, EFR3B, + 28 genes
LASS2--PBX3	51	4.96	6.96e-07	9.68e-05	0.634	MMP25, WDR91, EFR3B, SLC39A10, + 31 genes
PBX3--PRDM6	27	4.94	7.72e-07	9.68e-05	0.0837	TPK1, ATN1, C13orf15, PPFIBP2, + 19 genes
SLC39A10--SOX4	26	4.93	8.06e-07	9.68e-05	1.23e-07	TPK1, SEMA6A, LONRF1, DCBLD2, + 21 genes
SLC39A10--IRX2	36	4.87	1.09e-06	0.00012	5.65e-08	SEMA6A, LONRF1, EFR3B, DCBLD2, + 32 genes
SLC39A10--BCL6B	37	4.85	1.22e-06	0.000121	0.000371	MKRN3, EFR3B, SAMD5, PBX3, + 31 genes
SLC39A10--TAL2	31	4.84	1.28e-06	0.000121	7.84e-05	TPK1, SEMA6A, EFR3B, SAMD5, + 24 genes
PBX3--BCL6B	50	4.8	1.63e-06	0.000143	0.000107	MMP25, PIK3CD, EFR3B, SLC39A10, + 40 genes
LASS2--BCL6B	28	4.76	1.9e-06	0.000157	4.72e-05	MMP25, MKRN3, EFR3B, SLC39A10, + 22 genes
SLC39A10--ZNF100	27	4.73	2.28e-06	0.000177	0.0019	TPK1, SEMA6A, LONRF1, FOSL2, + 21 genes
SLC39A10--ISX	27	4.65	3.25e-06	0.000238	0.00446	SEMA6A, LONRF1, ATN1, ZNF490, + 19 genes
SLC39A10--ZNF256	43	4.62	3.81e-06	0.000265	0.0021	SEMA6A, LONRF1, EFR3B, ARHGAP18, + 31 genes
ZNF256--ZNF490	26	4.55	5.46e-06	0.000305	0.000135	SEMA6A, LONRF1, EFR3B, SLC39A10, + 19 genes
KLF17--IRX2	38	4.5	6.77e-06	0.000332	2.67e-05	MMP25, EFR3B, SLC39A10, RALB, + 31 genes
TAL2--IRX1	33	4.5	6.91e-06	0.000332	1.98e-06	SEMA6A, EFR3B, SPSB4, ARHGAP18, + 24 genes
ZNF490--TERF2IP	32	4.49	7.03e-06	0.000332	1.54e-11	SEMA6A, EFR3B, SPSB4, EIF4EBP2, + 27 genes
BCL6B--TAL2	38	4.48	7.36e-06	0.000336	9.35e-05	EFR3B, SAMD5, RALB, C13orf15, + 32 genes
BCL6B	232	4.43	9.36e-06	0.000412	NA	MMP25, MKRN3, PIK3CD, EFR3B, + 198 genes
PRDM6	136	4.37	1.25e-05	0.000533	NA	TPK1, MKRN3, ATN1, C13orf15, + 109 genes
SOX4--ZNF256	25	4.3	1.72e-05	0.000688	2.92e-06	SEMA6A, LONRF1, SLC39A10, ATN1, + 19 genes
TERF2IP	177	4.11	3.92e-05	0.00123	NA	SEMA6A, PIK3CD, EFR3B, SPSB4, + 152 genes
ISX	105	3.94	8.07e-05	0.00222	NA	LONRF1, PIK3CD, RAP1GDS1, SNX1, + 78 genes
ETV7	108	3.92	8.73e-05	0.00236	NA	EFR3B, SLC39A10, ARHGAP18, PBX3, + 93 genes
SSH2	195	3.84	0.000123	0.00292	NA	MKRN3, PIK3CD, RASSF2, ARHGAP18, + 165 genes
ZSCAN16	197	3.74	0.000181	0.00373	NA	VPS11, EIF4EBP2, GTPBP3, STX7, + 170 genes
ISL2	203	3.7	0.000217	0.00428	NA	PIK3CD, UBE2G2, FDXACB1, SPSB4, + 151 genes
PAX9	77	3.69	0.000225	0.00437	NA	ZNF490, SKAP2, PPFIBP2, GTPBP3, + 62 genes
MLLT3	116	3.64	0.000273	0.00515	NA	ATN1, C13orf15, SGK269, PDGFB, + 102 genes
PRKRIR	87	3.54	0.000399	0.00691	NA	MKRN3, ATN1, C11orf57, PDGFB, + 68 genes
HOXB5	73	3.54	0.000402	0.00691	NA	TPK1, WDR91, IFT46, TMEM53, + 51 genes
FOXO4	251	3.53	0.000415	0.00703	NA	TPK1, LONRF1, FDXACB1, SLC39A10, + 181 genes
LHX2	57	3.5	0.000471	0.00768	NA	TOP3B, PDGFB, ZNF384, DAK, + 46 genes
PHF21A	195	3.48	0.000494	0.00769	NA	WDR91, EFR3B, ZNF490, EIF4EBP2, + 168 genes
EMX1	241	3.45	0.000571	0.00848	NA	MMP25, EFR3B, RASSF2, RALB, + 205 genes
MYOD1	40	3.43	0.000604	0.00888	NA	PIK3CD, IFT46, GPAM, ATP2C1, + 27 genes
ZNF438	206	3.4	0.000663	0.00943	NA	TPK1, LONRF1, SLC39A10, VPS11, + 184 genes
TUT1	65	3.4	0.000663	0.00943	NA	UBE2G2, IFT46, ISPD, C13orf15, + 51 genes
RFX6	256	3.39	0.000688	0.00948	NA	WDR91, UBE2G2, DBR1, PBX3, + 215 genes
