	V1	V2
1	A1BG	4261.30848724365
2	A1CF	0.598638741746032
3	A2BP1	494.02746476843
4	A2LD1	721.665112117001
5	A2ML1	45362.3261036429
6	A2M	67793975.1724657
7	A4GALT	483883.493493959
8	A4GNT	2.11650664506944
9	AAA1	1.02004642249752
10	AAAS	323727.727520536
11	AACSL	126.576050532976
12	AACS	294087.520693093
13	AADACL2	0.0542952998313492
14	AADACL3	15.7618718676885
15	AADACL4	0.0491127491641865
16	AADAC	0.284199868727679
17	AADAT	5228.70343374212
18	AAGAB	92940.2457939841
19	AAK1	42520.1098526307
20	AAMP	1468519.81074105
21	AANAT	10.9362308425174
22	AARS2	550385.996373004
23	AARSD1	210805.182466696
24	AARS	821155.466109301
25	AASDHPPT	72359.0752381426
26	AASDH	42783.0592311736
27	AASS	564875.034825864
28	AATF	550396.537907043
29	AATK	346.562200918958
30	ABAT	7231.2133866372
31	ABCA10	512.034646769144
32	ABCA11P	2181.98592271335
33	ABCA12	26.4808383590055
34	ABCA13	434.450349927897
35	ABCA17P	319.411365426627
36	ABCA1	718477.623537396
37	ABCA2	65467.5139105992
38	ABCA3	146891.775363653
39	ABCA4	170752.591494007
40	ABCA5	30582.3598290692
41	ABCA6	28219.3841210825
42	ABCA7	110954.412174147
43	ABCA8	18501.6003563977
44	ABCA9	5693.92359717218
45	ABCB10	10463.7049430692
46	ABCB11	0.172224691922123
47	ABCB1	4598.21563182569
48	ABCB4	143.292758612617
49	ABCB5	9379.97978262603
50	ABCB6	17398.3971102517
51	ABCB7	17658.0921273192
52	ABCB8	759917.165943649
53	ABCB9	13081.5432962795
54	ABCC10	180956.945724139
55	ABCC11	34.5523388998586
56	ABCC12	4591.07171957488
57	ABCC13	1004.59289669984
58	ABCC1	367184.598345206
59	ABCC2	6853.29520629163
60	ABCC3	74802.1362629854
61	ABCC4	266410.28932218
62	ABCC5	674642.300587365
63	ABCC6P1	4.27813913995784
64	ABCC6P2	2.40598295022817
65	ABCC6	55.8914825142758
66	ABCC8	1136.1163021298
67	ABCC9	5331.11645990999
68	ABCD1	60640.7994290731
69	ABCD2	843.268561441585
70	ABCD3	28082.0525173958
71	ABCD4	4152338.81977699
72	ABCE1	499401.941320015
73	ABCF1	392178.571177753
74	ABCF2	375506.749812954
75	ABCF3	742793.40012827
76	ABCG1	114259.134448036
77	ABCG2	7721.03802957405
78	ABCG4	1255.99028512063
79	ABCG5	3603.37430793635
80	ABCG8	14.5657852153075
81	ABHD10	82030.9141966069
82	ABHD11	46348.79991625
83	ABHD12B	196701.37599755
84	ABHD12	1401987.81655833
85	ABHD13	5346.46710784028
86	ABHD14A	33842.2871502235
87	ABHD14B	196034.926274319
88	ABHD15	6283.26909884853
89	ABHD1	7.97827566173611
90	ABHD2	785426.224038984
91	ABHD3	18946.4965927579
92	ABHD4	92441.2349523968
93	ABHD5	7128.90503551984
94	ABHD6	6840.23500835615
95	ABHD8	4002.45101996397
96	ABI1	127858.444653825
97	ABI2	311819.930590499
98	ABI3BP	431284.48815421
99	ABI3	97958.2911738666
100	ABL1	949778.631974777
101	ABL2	223235.260955518
102	ABLIM1	128399.580458787
103	ABLIM2	545.937386445308
104	ABLIM3	19429.8481493524
105	ABO	29.7925689080853
106	ABP1	2697.21597554032
107	ABRA	0.0759901553546627
108	ABR	2970755.85819901
109	ABT1	50647.5964577676
110	ABTB1	34577.2235926419
111	ABTB2	19213.3369940965
112	ACAA1	145846.94119151
113	ACAA2	64002.9692306783
114	ACACA	1269213.36166107
115	ACACB	27180.5704654204
116	ACAD10	83493.3754343589
117	ACAD11	431012.88258665
118	ACAD8	13825.1278897421
119	ACAD9	25829.7166445228
120	ACADL	76.239489704561
121	ACADM	219069.031463833
122	ACADSB	12377.8052689958
123	ACADS	193513.564168754
124	ACADVL	2521896.67801101
125	ACAN	201090.829648998
126	ACAP1	337963.036258786
127	ACAP2	256095.327627901
128	ACAP3	66896.3409014563
129	ACAT1	25872.5710271505
130	ACAT2	125893.011611361
131	ACBD3	119040.317291713
132	ACBD4	3507.06338646371
133	ACBD5	11186.0835663454
134	ACBD6	27211.8198560553
135	ACBD7	8056.23715481245
136	ACCN1	204.635180191982
137	ACCN2	52249.9295569118
138	ACCN3	458156.60650306
139	ACCN4	96.2608994584821
140	ACCN5	0.005073000625
141	ACCSL	0.0501809445411706
142	ACCS	10512.9317880508
143	ACD	42662.2886760117
144	ACE2	13910.5772890775
145	ACER1	0.999848742132937
146	ACER2	37402.2546827109
147	ACER3	10228.7117547266
148	ACE	2951223.82418829
149	ACHE	7663.27436324793
150	ACIN1	2837223.42585493
151	ACLY	2288591.17933809
152	ACMSD	0.0727906951984127
153	ACN9	9685.83996852753
154	ACO1	368657.392529916
155	ACO2	1383886.53080255
156	ACOT11	26128.6540806644
157	ACOT12	78.7532937936682
158	ACOT13	495311.345385845
159	ACOT1	11100.986242192
160	ACOT2	4595.56611108182
161	ACOT4	1366.47924655674
162	ACOT6	11.1093639096801
163	ACOT7	515163.592936597
164	ACOT8	62691.9747461902
165	ACOT9	32513.706019849
166	ACOX1	88135.2933869841
167	ACOX2	963.643845599105
168	ACOX3	7749.60993362299
169	ACOXL	11307.6567699524
170	ACP1	401331.773055516
171	ACP2	829834.796902363
172	ACP5	11968216.0733004
173	ACP6	7298.52551743936
174	ACPL2	4899.95709128896
175	ACPP	1115.01578784877
176	ACPT	3.21120427046627
177	ACRBP	4558.34962115552
178	ACRC	16086.014887465
179	ACRV1	22.3454720234524
180	ACR	4.40145554476191
181	ACSBG1	1013.84113095736
182	ACSBG2	62.9399116385714
183	ACSF2	87255.2785102637
184	ACSF3	13618.7137863968
185	ACSL1	378597.306353603
186	ACSL3	628868.315058626
187	ACSL4	413973.369256586
188	ACSL5	112310.517089128
189	ACSL6	802.114600187262
190	ACSM1	24.0572065549206
191	ACSM2A	0.429806507576885
192	ACSM2B	0.160948031746032
193	ACSM3	1790.78845139097
194	ACSM4	0.0805080689260913
195	ACSM5	1519.95336157999
196	ACSS1	99815.7464790554
197	ACSS2	74814.6227749207
198	ACSS3	693.487106921339
199	ACTA1	167.75856828349
200	ACTA2	1005786.12343137
201	ACTBL2	0.108405262219742
202	ACTB	1869702375.36077
203	ACTC1	59441.8367848819
204	ACTG1	369110182.74849
205	ACTG2	2957996.10125261
206	ACTL6A	304175.65017084
207	ACTL6B	12.2419441466642
208	ACTL7A	10.8099943954663
209	ACTL7B	10.841275079561
210	ACTL8	687.336782105097
211	ACTL9	1.2047699352753
212	ACTN1	6928381.35047855
213	ACTN2	7317.07511077075
214	ACTN3	1421.33897907586
215	ACTN4	1822488.3010372
216	ACTR10	149590.075700811
217	ACTR1A	447231.796903869
218	ACTR1B	186811.554642758
219	ACTR2	1855082.76646982
220	ACTR3B	78524.2635361974
221	ACTR3C	31.1469611698016
222	ACTR3	1208188.88867479
223	ACTR5	27879.5264494878
224	ACTR6	35303.7440671746
225	ACTR8	42550.2038204263
226	ACTRT1	34.9946105766047
227	ACTRT2	6.77035398142609
228	ACVR1B	3800620.53557478
229	ACVR1C	271.693643828095
230	ACVR1	141732.036911895
231	ACVR2A	8296.98606349181
232	ACVR2B	593651.432251245
233	ACVRL1	143457.338490501
234	ACY1	24884.3189700635
235	ACY3	790.023750526506
236	ACYP1	4787.16402013315
237	ACYP2	922.798350949276
238	ADAD1	966.046283066895
239	ADAD2	607.022045202292
240	ADAL	29841.8247684958
241	ADAM10	348213.455980888
242	ADAM11	1464.36632252133
243	ADAM12	10514.5479980142
244	ADAM15	98765.373085499
245	ADAM17	103535.428130254
246	ADAM18	193.481518505238
247	ADAM19	106745.585681689
248	ADAM20	3.97292969094246
249	ADAM21P1	2.73160606904762
250	ADAM21	35.7609345314658
251	ADAM22	1651.13599756158
252	ADAM23	99394.3378972993
253	ADAM28	3489.61197741983
254	ADAM29	6.59308686252976
255	ADAM2	2.02356291011905
256	ADAM30	1.04997481696181
257	ADAM32	2787.77019946125
258	ADAM33	116923.910087888
259	ADAM3A	0.415180676803075
260	ADAM5P	0.284394471706349
261	ADAM6	3812695427.63817
262	ADAM7	0.0991548618824405
263	ADAM8	163851.321173807
264	ADAM9	121128.993306443
265	ADAMDEC1	1779395.04822827
266	ADAMTS10	1677.64558553651
267	ADAMTS12	9302.81290802315
268	ADAMTS13	3858.11456504285
269	ADAMTS14	24863.0732806595
270	ADAMTS15	172.077046072133
271	ADAMTS16	69.5948301477778
272	ADAMTS17	5873.78219712631
273	ADAMTS18	217.348840716248
274	ADAMTS19	37792.860757106
275	ADAMTS1	88307.4168865279
276	ADAMTS20	258.282989266724
277	ADAMTS2	7502.18621369615
278	ADAMTS3	2694.67103314321
279	ADAMTS4	3977.14360236972
280	ADAMTS5	1425.96047305093
281	ADAMTS6	1047.81276934237
282	ADAMTS7	18717.8427803277
